|dates|FairbanksNorthStar_Alaska_UnitedStates.JHU_ConfirmedCases.data|FairbanksNorthStar_Alaska_UnitedStates.JHU_ConfirmedCases.missing|FairbanksNorthStar_Alaska_UnitedStates.NYT_ConfirmedCases.data|FairbanksNorthStar_Alaska_UnitedStates.NYT_ConfirmedCases.missing|FairbanksNorthStar_Alaska_UnitedStates.JHU_ConfirmedDeaths.data|FairbanksNorthStar_Alaska_UnitedStates.JHU_ConfirmedDeaths.missing|FairbanksNorthStar_Alaska_UnitedStates.JHU_ConfirmedRecoveries.data|FairbanksNorthStar_Alaska_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-16|0.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-17|2.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-18|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-19|3.0|0|5.0|0|0.0|0|0.0|100
0|2020-03-20|5.0|0|6.0|0|0.0|0|0.0|100
0|2020-03-21|6.0|0|7.0|0|0.0|0|0.0|100
0|2020-03-22|7.0|0|7.0|0|0.0|0|0.0|100
0|2020-03-23|7.0|0|7.0|0|0.0|0|0.0|100
0|2020-03-24|7.0|0|9.0|0|0.0|0|0.0|100
0|2020-03-25|10.0|0|11.0|0|0.0|0|0.0|100
0|2020-03-26|11.0|0|15.0|0|0.0|0|0.0|100
0|2020-03-27|10.0|0|19.0|0|0.0|0|0.0|100
0|2020-03-28|19.0|0|23.0|0|0.0|0|0.0|100
0|2020-03-29|23.0|0|28.0|0|0.0|0|0.0|100
0|2020-03-30|28.0|0|31.0|0|0.0|0|0.0|100
0|2020-03-31|30.0|0|35.0|0|0.0|0|0.0|100
0|2020-04-01|35.0|0|40.0|0|0.0|0|0.0|100
0|2020-04-02|40.0|0|42.0|0|0.0|0|0.0|100
0|2020-04-03|42.0|0|42.0|0|0.0|0|0.0|100
0|2020-04-04|46.0|0|46.0|0|0.0|0|0.0|100
0|2020-04-05|53.0|0|53.0|0|0.0|0|0.0|100
0|2020-04-06|53.0|0|54.0|0|0.0|0|0.0|100
0|2020-04-07|65.0|0|65.0|0|1.0|0|0.0|100
0|2020-04-08|71.0|0|71.0|0|1.0|0|0.0|100
0|2020-04-09|73.0|0|73.0|0|1.0|0|0.0|100
0|2020-04-10|76.0|0|76.0|0|1.0|0|0.0|100
0|2020-04-11|76.0|0|76.0|0|1.0|0|0.0|100
0|2020-04-12|79.0|0|79.0|0|1.0|0|0.0|100
0|2020-04-13|79.0|0|79.0|0|1.0|0|0.0|100
0|2020-04-14|79.0|0|79.0|0|1.0|0|0.0|100
0|2020-04-15|79.0|0|79.0|0|1.0|0|0.0|100
0|2020-04-16|79.0|0|79.0|0|1.0|0|0.0|100
0|2020-04-17|79.0|0|79.0|0|1.0|0|0.0|100
0|2020-04-18|79.0|0|79.0|0|1.0|0|0.0|100
0|2020-04-19|79.0|0|79.0|0|1.0|0|0.0|100
0|2020-04-20|79.0|0|79.0|0|1.0|0|0.0|100
0|2020-04-21|79.0|0|79.0|0|1.0|0|0.0|100
0|2020-04-22|79.0|0|79.0|0|1.0|0|0.0|100
0|2020-04-23|79.0|0|79.0|0|1.0|0|0.0|100
0|2020-04-24|79.0|0|79.0|0|1.0|0|0.0|100
0|2020-04-25|79.0|0|79.0|0|1.0|0|0.0|100
0|2020-04-26|80.0|0|80.0|0|1.0|0|0.0|100
0|2020-04-27|80.0|0|80.0|0|1.0|0|0.0|100
0|2020-04-28|81.0|0|81.0|0|1.0|0|0.0|100
0|2020-04-29|81.0|0|81.0|0|1.0|0|0.0|100
0|2020-04-30|81.0|0|81.0|0|1.0|0|0.0|100
0|2020-05-01|82.0|0|82.0|0|2.0|0|0.0|100
0|2020-05-02|83.0|0|83.0|0|2.0|0|0.0|100
0|2020-05-03|83.0|0|83.0|0|2.0|0|0.0|100
0|2020-05-04|83.0|0|83.0|0|2.0|0|0.0|100
0|2020-05-05|83.0|0|83.0|0|2.0|0|0.0|100
0|2020-05-06|83.0|0|83.0|0|2.0|0|0.0|100
0|2020-05-07|83.0|0|83.0|0|2.0|0|0.0|100
0|2020-05-08|83.0|0|83.0|0|2.0|0|0.0|100
0|2020-05-09|83.0|0|83.0|0|2.0|0|0.0|100
0|2020-05-10|84.0|0|84.0|0|2.0|0|0.0|100
0|2020-05-11|84.0|0|85.0|0|2.0|0|0.0|100
0|2020-05-12|84.0|0|85.0|0|2.0|0|0.0|100
