|dates|Stanislaus_California_UnitedStates.JHU_ConfirmedCases.data|Stanislaus_California_UnitedStates.JHU_ConfirmedCases.missing|Stanislaus_California_UnitedStates.NYT_ConfirmedCases.data|Stanislaus_California_UnitedStates.NYT_ConfirmedCases.missing|Stanislaus_California_UnitedStates.JHU_ConfirmedDeaths.data|Stanislaus_California_UnitedStates.JHU_ConfirmedDeaths.missing|Stanislaus_California_UnitedStates.JHU_ConfirmedRecoveries.data|Stanislaus_California_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-11|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-12|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-13|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-14|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-15|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-16|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-17|3.0|0|4.0|0|0.0|0|0.0|100
0|2020-03-18|5.0|0|5.0|0|0.0|0|0.0|100
0|2020-03-19|5.0|0|5.0|0|0.0|0|0.0|100
0|2020-03-20|5.0|0|5.0|0|0.0|0|0.0|100
0|2020-03-21|5.0|0|5.0|0|0.0|0|0.0|100
0|2020-03-22|5.0|0|8.0|0|0.0|0|0.0|100
0|2020-03-23|8.0|0|10.0|0|0.0|0|0.0|100
0|2020-03-24|11.0|0|11.0|0|0.0|0|0.0|100
0|2020-03-25|12.0|0|12.0|0|0.0|0|0.0|100
0|2020-03-26|13.0|0|17.0|0|0.0|0|0.0|100
0|2020-03-27|17.0|0|23.0|0|0.0|0|0.0|100
0|2020-03-28|23.0|0|29.0|0|0.0|0|0.0|100
0|2020-03-29|29.0|0|31.0|0|0.0|0|0.0|100
0|2020-03-30|31.0|0|33.0|0|0.0|0|0.0|100
0|2020-03-31|33.0|0|39.0|0|0.0|0|0.0|100
0|2020-04-01|39.0|0|44.0|0|0.0|0|0.0|100
0|2020-04-02|44.0|0|50.0|0|0.0|0|0.0|100
0|2020-04-03|51.0|0|58.0|0|0.0|0|0.0|100
0|2020-04-04|58.0|0|65.0|0|0.0|0|0.0|100
0|2020-04-05|65.0|0|71.0|0|0.0|0|0.0|100
0|2020-04-06|71.0|0|81.0|0|0.0|0|0.0|100
0|2020-04-07|81.0|0|90.0|0|0.0|0|0.0|100
0|2020-04-08|90.0|0|95.0|0|0.0|0|0.0|100
0|2020-04-09|95.0|0|103.0|0|0.0|0|0.0|100
0|2020-04-10|103.0|0|116.0|0|0.0|0|0.0|100
0|2020-04-11|116.0|0|121.0|0|1.0|0|0.0|100
0|2020-04-12|121.0|0|131.0|0|2.0|0|0.0|100
0|2020-04-13|131.0|0|146.0|0|2.0|0|0.0|100
0|2020-04-14|146.0|0|163.0|0|2.0|0|0.0|100
0|2020-04-15|163.0|0|177.0|0|4.0|0|0.0|100
0|2020-04-16|177.0|0|187.0|0|4.0|0|0.0|100
0|2020-04-17|187.0|0|206.0|0|4.0|0|0.0|100
0|2020-04-18|206.0|0|221.0|0|4.0|0|0.0|100
0|2020-04-19|221.0|0|226.0|0|4.0|0|0.0|100
0|2020-04-20|226.0|0|226.0|0|4.0|0|0.0|100
0|2020-04-21|232.0|0|236.0|0|4.0|0|0.0|100
0|2020-04-22|236.0|0|251.0|0|4.0|0|0.0|100
0|2020-04-23|251.0|0|258.0|0|5.0|0|0.0|100
0|2020-04-24|264.0|0|264.0|0|5.0|0|0.0|100
0|2020-04-25|264.0|0|286.0|0|5.0|0|0.0|100
0|2020-04-26|286.0|0|294.0|0|5.0|0|0.0|100
0|2020-04-27|294.0|0|312.0|0|5.0|0|0.0|100
0|2020-04-28|312.0|0|324.0|0|7.0|0|0.0|100
0|2020-04-29|339.0|0|339.0|0|11.0|0|0.0|100
0|2020-04-30|339.0|0|374.0|0|11.0|0|0.0|100
0|2020-05-01|380.0|0|380.0|0|13.0|0|0.0|100
0|2020-05-02|380.0|0|400.0|0|13.0|0|0.0|100
0|2020-05-03|411.0|0|411.0|0|14.0|0|0.0|100
0|2020-05-04|411.0|0|428.0|0|14.0|0|0.0|100
0|2020-05-05|428.0|0|428.0|0|15.0|0|0.0|100
0|2020-05-06|461.0|0|461.0|0|17.0|0|0.0|100
0|2020-05-07|461.0|0|461.0|0|17.0|0|0.0|100
0|2020-05-08|476.0|0|488.0|0|19.0|0|0.0|100
0|2020-05-09|488.0|0|488.0|0|19.0|0|0.0|100
0|2020-05-10|496.0|0|501.0|0|20.0|0|0.0|100
0|2020-05-11|508.0|0|501.0|0|21.0|0|0.0|100
0|2020-05-12|517.0|0|517.0|0|22.0|0|0.0|100
0|2020-05-13|517.0|0|526.0|0|22.0|0|0.0|100
