|dates|IndianRiver_Florida_UnitedStates.JHU_ConfirmedCases.data|IndianRiver_Florida_UnitedStates.JHU_ConfirmedCases.missing|IndianRiver_Florida_UnitedStates.NYT_ConfirmedCases.data|IndianRiver_Florida_UnitedStates.NYT_ConfirmedCases.missing|IndianRiver_Florida_UnitedStates.JHU_ConfirmedDeaths.data|IndianRiver_Florida_UnitedStates.JHU_ConfirmedDeaths.missing|IndianRiver_Florida_UnitedStates.JHU_ConfirmedRecoveries.data|IndianRiver_Florida_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-19|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-20|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-21|5.0|0|5.0|0|0.0|0|0.0|100
0|2020-03-22|8.0|0|8.0|0|0.0|0|0.0|100
0|2020-03-23|10.0|0|10.0|0|0.0|0|0.0|100
0|2020-03-24|11.0|0|12.0|0|0.0|0|0.0|100
0|2020-03-25|12.0|0|12.0|0|0.0|0|0.0|100
0|2020-03-26|13.0|0|14.0|0|0.0|0|0.0|100
0|2020-03-27|14.0|0|15.0|0|0.0|0|0.0|100
0|2020-03-28|16.0|0|16.0|0|0.0|0|0.0|100
0|2020-03-29|17.0|0|20.0|0|0.0|0|0.0|100
0|2020-03-30|24.0|0|25.0|0|0.0|0|0.0|100
0|2020-03-31|33.0|0|33.0|0|0.0|0|0.0|100
0|2020-04-01|33.0|0|35.0|0|0.0|0|0.0|100
0|2020-04-02|41.0|0|41.0|0|0.0|0|0.0|100
0|2020-04-03|47.0|0|47.0|0|0.0|0|0.0|100
0|2020-04-04|50.0|0|50.0|0|0.0|0|0.0|100
0|2020-04-05|55.0|0|55.0|0|0.0|0|0.0|100
0|2020-04-06|61.0|0|60.0|0|0.0|0|0.0|100
0|2020-04-07|62.0|0|62.0|0|0.0|0|0.0|100
0|2020-04-08|63.0|0|65.0|0|0.0|0|0.0|100
0|2020-04-09|68.0|0|68.0|0|0.0|0|0.0|100
0|2020-04-10|68.0|0|70.0|0|1.0|0|0.0|100
0|2020-04-11|70.0|0|72.0|0|1.0|0|0.0|100
0|2020-04-12|74.0|0|74.0|0|1.0|0|0.0|100
0|2020-04-13|77.0|0|77.0|0|1.0|0|0.0|100
0|2020-04-14|77.0|0|77.0|0|1.0|0|0.0|100
0|2020-04-15|78.0|0|78.0|0|1.0|0|0.0|100
0|2020-04-16|83.0|0|83.0|0|2.0|0|0.0|100
0|2020-04-17|85.0|0|83.0|0|2.0|0|0.0|100
0|2020-04-18|83.0|0|83.0|0|2.0|0|0.0|100
0|2020-04-19|84.0|0|84.0|0|3.0|0|0.0|100
0|2020-04-20|85.0|0|85.0|0|4.0|0|0.0|100
0|2020-04-21|85.0|0|85.0|0|4.0|0|0.0|100
0|2020-04-22|85.0|0|85.0|0|5.0|0|0.0|100
0|2020-04-23|88.0|0|88.0|0|5.0|0|0.0|100
0|2020-04-24|89.0|0|89.0|0|5.0|0|0.0|100
0|2020-04-25|89.0|0|89.0|0|5.0|0|0.0|100
0|2020-04-26|89.0|0|89.0|0|5.0|0|0.0|100
0|2020-04-27|90.0|0|90.0|0|5.0|0|0.0|100
0|2020-04-28|90.0|0|90.0|0|6.0|0|0.0|100
0|2020-04-29|90.0|0|90.0|0|7.0|0|0.0|100
0|2020-04-30|90.0|0|90.0|0|7.0|0|0.0|100
0|2020-05-01|91.0|0|91.0|0|8.0|0|0.0|100
0|2020-05-02|92.0|0|92.0|0|8.0|0|0.0|100
0|2020-05-03|97.0|0|97.0|0|8.0|0|0.0|100
0|2020-05-04|98.0|0|98.0|0|8.0|0|0.0|100
0|2020-05-05|99.0|0|99.0|0|8.0|0|0.0|100
0|2020-05-06|99.0|0|99.0|0|8.0|0|0.0|100
0|2020-05-07|99.0|0|99.0|0|8.0|0|0.0|100
0|2020-05-08|100.0|0|100.0|0|8.0|0|0.0|100
0|2020-05-09|100.0|0|100.0|0|8.0|0|0.0|100
0|2020-05-10|100.0|0|100.0|0|8.0|0|0.0|100
0|2020-05-11|100.0|0|100.0|0|8.0|0|0.0|100
0|2020-05-12|102.0|0|102.0|0|9.0|0|0.0|100
0|2020-05-13|102.0|0|102.0|0|9.0|0|0.0|100
