|dates|Lane_Oregon_UnitedStates.JHU_ConfirmedCases.data|Lane_Oregon_UnitedStates.JHU_ConfirmedCases.missing|Lane_Oregon_UnitedStates.NYT_ConfirmedCases.data|Lane_Oregon_UnitedStates.NYT_ConfirmedCases.missing|Lane_Oregon_UnitedStates.JHU_ConfirmedDeaths.data|Lane_Oregon_UnitedStates.JHU_ConfirmedDeaths.missing|Lane_Oregon_UnitedStates.JHU_ConfirmedRecoveries.data|Lane_Oregon_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-17|0.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-18|2.0|0|2.0|0|1.0|0|0.0|100
0|2020-03-19|2.0|0|2.0|0|1.0|0|0.0|100
0|2020-03-20|2.0|0|2.0|0|1.0|0|0.0|100
0|2020-03-21|3.0|0|3.0|0|1.0|0|0.0|100
0|2020-03-22|4.0|0|4.0|0|1.0|0|0.0|100
0|2020-03-23|4.0|0|4.0|0|1.0|0|0.0|100
0|2020-03-24|4.0|0|4.0|0|1.0|0|0.0|100
0|2020-03-25|5.0|0|5.0|0|1.0|0|0.0|100
0|2020-03-26|7.0|0|7.0|0|1.0|0|0.0|100
0|2020-03-27|10.0|0|9.0|0|1.0|0|0.0|100
0|2020-03-28|9.0|0|9.0|0|1.0|0|0.0|100
0|2020-03-29|10.0|0|10.0|0|1.0|0|0.0|100
0|2020-03-30|12.0|0|12.0|0|1.0|0|0.0|100
0|2020-03-31|16.0|0|16.0|0|1.0|0|0.0|100
0|2020-04-01|18.0|0|18.0|0|1.0|0|0.0|100
0|2020-04-02|21.0|0|21.0|0|1.0|0|0.0|100
0|2020-04-03|21.0|0|21.0|0|1.0|0|0.0|100
0|2020-04-04|21.0|0|24.0|0|1.0|0|0.0|100
0|2020-04-05|27.0|0|27.0|0|1.0|0|0.0|100
0|2020-04-06|27.0|0|29.0|0|1.0|0|0.0|100
0|2020-04-07|29.0|0|30.0|0|1.0|0|0.0|100
0|2020-04-08|30.0|0|31.0|0|1.0|0|0.0|100
0|2020-04-09|33.0|0|33.0|0|1.0|0|0.0|100
0|2020-04-10|33.0|0|34.0|0|1.0|0|0.0|100
0|2020-04-11|34.0|0|35.0|0|1.0|0|0.0|100
0|2020-04-12|37.0|0|37.0|0|1.0|0|0.0|100
0|2020-04-13|41.0|0|41.0|0|1.0|0|0.0|100
0|2020-04-14|42.0|0|42.0|0|1.0|0|0.0|100
0|2020-04-15|44.0|0|44.0|0|1.0|0|0.0|100
0|2020-04-16|45.0|0|45.0|0|1.0|0|0.0|100
0|2020-04-17|46.0|0|46.0|0|1.0|0|0.0|100
0|2020-04-18|46.0|0|46.0|0|1.0|0|0.0|100
0|2020-04-19|48.0|0|48.0|0|1.0|0|0.0|100
0|2020-04-20|48.0|0|48.0|0|1.0|0|0.0|100
0|2020-04-21|48.0|0|48.0|0|1.0|0|0.0|100
0|2020-04-22|48.0|0|48.0|0|1.0|0|0.0|100
0|2020-04-23|48.0|0|48.0|0|1.0|0|0.0|100
0|2020-04-24|50.0|0|50.0|0|1.0|0|0.0|100
0|2020-04-25|50.0|0|50.0|0|2.0|0|0.0|100
0|2020-04-26|50.0|0|50.0|0|2.0|0|0.0|100
0|2020-04-27|50.0|0|50.0|0|2.0|0|0.0|100
0|2020-04-28|50.0|0|50.0|0|2.0|0|0.0|100
0|2020-04-29|50.0|0|50.0|0|2.0|0|0.0|100
0|2020-04-30|50.0|0|50.0|0|2.0|0|0.0|100
0|2020-05-01|50.0|0|50.0|0|2.0|0|0.0|100
0|2020-05-02|54.0|0|54.0|0|2.0|0|0.0|100
0|2020-05-03|54.0|0|54.0|0|2.0|0|0.0|100
0|2020-05-04|55.0|0|55.0|0|2.0|0|0.0|100
0|2020-05-05|55.0|0|55.0|0|2.0|0|0.0|100
0|2020-05-06|57.0|0|57.0|0|2.0|0|0.0|100
0|2020-05-07|57.0|0|57.0|0|2.0|0|0.0|100
0|2020-05-08|59.0|0|59.0|0|2.0|0|0.0|100
0|2020-05-09|60.0|0|60.0|0|2.0|0|0.0|100
0|2020-05-10|60.0|0|60.0|0|2.0|0|0.0|100
0|2020-05-11|60.0|0|60.0|0|2.0|0|0.0|100
0|2020-05-12|61.0|0|61.0|0|2.0|0|0.0|100
0|2020-05-13|61.0|0|61.0|0|2.0|0|0.0|100
