|dates|Moore_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Moore_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Moore_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data|Moore_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Moore_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Moore_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Moore_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Moore_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-18|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-19|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-20|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-21|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-22|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-23|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-24|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-25|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-26|3.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-27|3.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-28|5.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-29|7.0|0|6.0|0|0.0|0|0.0|100
0|2020-03-30|8.0|0|6.0|0|0.0|0|0.0|100
0|2020-03-31|8.0|0|8.0|0|0.0|0|0.0|100
0|2020-04-01|8.0|0|8.0|0|0.0|0|0.0|100
0|2020-04-02|11.0|0|8.0|0|0.0|0|0.0|100
0|2020-04-03|11.0|0|8.0|0|0.0|0|0.0|100
0|2020-04-04|12.0|0|9.0|0|0.0|0|0.0|100
0|2020-04-05|14.0|0|9.0|0|1.0|0|0.0|100
0|2020-04-06|14.0|0|10.0|0|2.0|0|0.0|100
0|2020-04-07|20.0|0|10.0|0|2.0|0|0.0|100
0|2020-04-08|37.0|0|37.0|0|2.0|0|0.0|100
0|2020-04-09|57.0|0|57.0|0|2.0|0|0.0|100
0|2020-04-10|74.0|0|57.0|0|2.0|0|0.0|100
0|2020-04-11|84.0|0|65.0|0|2.0|0|0.0|100
0|2020-04-12|84.0|0|66.0|0|2.0|0|0.0|100
0|2020-04-13|84.0|0|66.0|0|2.0|0|0.0|100
0|2020-04-14|84.0|0|66.0|0|2.0|0|0.0|100
0|2020-04-15|88.0|0|66.0|0|3.0|0|0.0|100
0|2020-04-16|89.0|0|67.0|0|4.0|0|0.0|100
0|2020-04-17|89.0|0|67.0|0|4.0|0|0.0|100
0|2020-04-18|93.0|0|67.0|0|4.0|0|0.0|100
0|2020-04-19|93.0|0|67.0|0|4.0|0|0.0|100
0|2020-04-20|93.0|0|67.0|0|4.0|0|0.0|100
0|2020-04-21|95.0|0|67.0|0|6.0|0|0.0|100
0|2020-04-22|99.0|0|67.0|0|6.0|0|0.0|100
0|2020-04-23|104.0|0|67.0|0|6.0|0|0.0|100
0|2020-04-24|104.0|0|67.0|0|6.0|0|0.0|100
0|2020-04-25|108.0|0|67.0|0|6.0|0|0.0|100
0|2020-04-26|108.0|0|68.0|0|6.0|0|0.0|100
0|2020-04-27|116.0|0|68.0|0|6.0|0|0.0|100
0|2020-04-28|116.0|0|69.0|0|6.0|0|0.0|100
0|2020-04-29|125.0|0|71.0|0|6.0|0|0.0|100
0|2020-04-30|125.0|0|79.0|0|6.0|0|0.0|100
0|2020-05-01|125.0|0|79.0|0|6.0|0|0.0|100
0|2020-05-02|125.0|0|83.0|0|6.0|0|0.0|100
0|2020-05-03|125.0|0|83.0|0|6.0|0|0.0|100
0|2020-05-04|140.0|0|84.0|0|6.0|0|0.0|100
0|2020-05-05|147.0|0|93.0|0|6.0|0|0.0|100
0|2020-05-06|148.0|0|106.0|0|6.0|0|0.0|100
0|2020-05-07|148.0|0|109.0|0|7.0|0|0.0|100
0|2020-05-08|148.0|0|109.0|0|9.0|0|0.0|100
0|2020-05-09|148.0|0|110.0|0|9.0|0|0.0|100
0|2020-05-10|151.0|0|111.0|0|9.0|0|0.0|100
0|2020-05-11|156.0|0|111.0|0|9.0|0|0.0|100
0|2020-05-12|156.0|0|110.0|0|9.0|0|0.0|100
0|2020-05-13|162.0|0|112.0|0|10.0|0|0.0|100
