|dates|Maricopa_Arizona_UnitedStates.JHU_ConfirmedCases.data|Maricopa_Arizona_UnitedStates.JHU_ConfirmedCases.missing|Maricopa_Arizona_UnitedStates.NYT_ConfirmedCases.data|Maricopa_Arizona_UnitedStates.NYT_ConfirmedCases.missing|Maricopa_Arizona_UnitedStates.JHU_ConfirmedDeaths.data|Maricopa_Arizona_UnitedStates.JHU_ConfirmedDeaths.missing|Maricopa_Arizona_UnitedStates.JHU_ConfirmedRecoveries.data|Maricopa_Arizona_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-01-27|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-01-28|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-01-29|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-01-30|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-01-31|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-01|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-02|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-03|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-04|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-05|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-06|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-07|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-08|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-09|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-10|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-11|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-12|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-13|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-14|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-15|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-16|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-17|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-18|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-19|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-20|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-21|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-22|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-23|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-24|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-25|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-26|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-27|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-28|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-29|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-01|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-02|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-03|1.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-04|1.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-05|1.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-06|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-07|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-08|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-09|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-10|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-11|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-12|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-13|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-14|4.0|0|4.0|0|0.0|0|0.0|100
0|2020-03-15|4.0|0|4.0|0|0.0|0|0.0|100
0|2020-03-16|8.0|0|8.0|0|0.0|0|0.0|100
0|2020-03-17|9.0|0|9.0|0|0.0|0|0.0|100
0|2020-03-18|11.0|0|11.0|0|0.0|0|0.0|100
0|2020-03-19|22.0|0|22.0|0|0.0|0|0.0|100
0|2020-03-20|34.0|0|34.0|0|0.0|0|0.0|100
0|2020-03-21|49.0|0|49.0|0|1.0|0|0.0|100
0|2020-03-22|81.0|0|81.0|0|2.0|0|0.0|100
0|2020-03-23|139.0|0|139.0|0|2.0|0|0.0|100
0|2020-03-24|199.0|0|199.0|0|2.0|0|0.0|100
0|2020-03-25|251.0|0|251.0|0|2.0|0|0.0|100
0|2020-03-26|299.0|0|299.0|0|2.0|0|0.0|100
0|2020-03-27|399.0|0|399.0|0|5.0|0|0.0|100
0|2020-03-28|454.0|0|454.0|0|5.0|0|0.0|100
0|2020-03-29|545.0|0|546.0|0|5.0|0|0.0|100
0|2020-03-30|690.0|0|690.0|0|5.0|0|0.0|100
0|2020-03-31|788.0|0|791.0|0|5.0|0|0.0|100
0|2020-04-01|871.0|0|871.0|0|5.0|0|0.0|100
0|2020-04-02|961.0|0|961.0|0|12.0|0|0.0|100
0|2020-04-03|1049.0|0|1049.0|0|12.0|0|0.0|100
0|2020-04-04|1171.0|0|1171.0|0|28.0|0|0.0|100
0|2020-04-05|1326.0|0|1326.0|0|31.0|0|0.0|100
0|2020-04-06|1433.0|0|1433.0|0|31.0|0|0.0|100
0|2020-04-07|1495.0|0|1495.0|0|35.0|0|0.0|100
0|2020-04-08|1559.0|0|1559.0|0|37.0|0|0.0|100
0|2020-04-09|1689.0|0|1689.0|0|39.0|0|0.0|100
0|2020-04-10|1741.0|0|1741.0|0|39.0|0|0.0|100
0|2020-04-11|1891.0|0|1891.0|0|47.0|0|0.0|100
0|2020-04-12|1960.0|0|1960.0|0|47.0|0|0.0|100
0|2020-04-13|2020.0|0|2020.0|0|52.0|0|0.0|100
0|2020-04-14|2056.0|0|2056.0|0|54.0|0|0.0|100
0|2020-04-15|2146.0|0|2146.0|0|60.0|0|0.0|100
0|2020-04-16|2264.0|0|2264.0|0|64.0|0|0.0|100
0|2020-04-17|2404.0|0|2404.0|0|69.0|0|0.0|100
0|2020-04-18|2491.0|0|2491.0|0|70.0|0|0.0|100
0|2020-04-19|2589.0|0|2589.0|0|75.0|0|0.0|100
0|2020-04-20|2636.0|0|2636.0|0|75.0|0|0.0|100
0|2020-04-21|2738.0|0|2738.0|0|83.0|0|0.0|100
0|2020-04-22|2846.0|0|2846.0|0|97.0|0|0.0|100
0|2020-04-23|2970.0|0|2970.0|0|115.0|0|0.0|100
0|2020-04-24|3116.0|0|3116.0|0|120.0|0|0.0|100
0|2020-04-25|3234.0|0|3234.0|0|121.0|0|0.0|100
0|2020-04-26|3359.0|0|3359.0|0|122.0|0|0.0|100
0|2020-04-27|3457.0|0|3457.0|0|122.0|0|0.0|100
0|2020-04-28|3578.0|0|3578.0|0|122.0|0|0.0|100
0|2020-04-29|3723.0|0|3723.0|0|140.0|0|0.0|100
0|2020-04-30|3972.0|0|3972.0|0|145.0|0|0.0|100
0|2020-05-01|4156.0|0|4156.0|0|147.0|0|0.0|100
0|2020-05-02|4421.0|0|4421.0|0|147.0|0|0.0|100
0|2020-05-03|4585.0|0|4585.0|0|147.0|0|0.0|100
0|2020-05-04|4751.0|0|4751.0|0|147.0|0|0.0|100
0|2020-05-05|4929.0|0|4929.0|0|175.0|0|0.0|100
0|2020-05-06|5138.0|0|5138.0|0|186.0|0|0.0|100
0|2020-05-07|5196.0|0|5196.0|0|204.0|0|0.0|100
0|2020-05-08|5525.0|0|5525.0|0|238.0|0|0.0|100
0|2020-05-09|5779.0|0|5779.0|0|245.0|0|0.0|100
0|2020-05-10|5827.0|0|5827.0|0|247.0|0|0.0|100
0|2020-05-11|5988.0|0|5988.0|0|250.0|0|0.0|100
