|dates|Hampden_Massachusetts_UnitedStates.JHU_ConfirmedCases.data|Hampden_Massachusetts_UnitedStates.JHU_ConfirmedCases.missing|Hampden_Massachusetts_UnitedStates.NYT_ConfirmedCases.data|Hampden_Massachusetts_UnitedStates.NYT_ConfirmedCases.missing|Hampden_Massachusetts_UnitedStates.JHU_ConfirmedDeaths.data|Hampden_Massachusetts_UnitedStates.JHU_ConfirmedDeaths.missing|Hampden_Massachusetts_UnitedStates.JHU_ConfirmedRecoveries.data|Hampden_Massachusetts_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-15|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-16|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-17|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-18|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-19|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-20|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-21|9.0|0|9.0|0|0.0|0|0.0|100
0|2020-03-22|12.0|0|12.0|0|0.0|0|0.0|100
0|2020-03-23|15.0|0|15.0|0|0.0|0|0.0|100
0|2020-03-24|24.0|0|24.0|0|0.0|0|0.0|100
0|2020-03-25|45.0|0|45.0|0|0.0|0|0.0|100
0|2020-03-26|55.0|0|55.0|0|1.0|0|0.0|100
0|2020-03-27|90.0|0|90.0|0|1.0|0|0.0|100
0|2020-03-28|183.0|0|183.0|0|4.0|0|0.0|100
0|2020-03-29|201.0|0|201.0|0|4.0|0|0.0|100
0|2020-03-30|255.0|0|255.0|0|4.0|0|0.0|100
0|2020-03-31|354.0|0|354.0|0|11.0|0|0.0|100
0|2020-04-01|475.0|0|475.0|0|16.0|0|0.0|100
0|2020-04-02|546.0|0|546.0|0|19.0|0|0.0|100
0|2020-04-03|661.0|0|661.0|0|27.0|0|0.0|100
0|2020-04-04|733.0|0|733.0|0|34.0|0|0.0|100
0|2020-04-05|768.0|0|768.0|0|34.0|0|0.0|100
0|2020-04-06|889.0|0|889.0|0|38.0|0|0.0|100
0|2020-04-07|997.0|0|997.0|0|55.0|0|0.0|100
0|2020-04-08|1081.0|0|1081.0|0|62.0|0|0.0|100
0|2020-04-09|1276.0|0|1276.0|0|62.0|0|0.0|100
0|2020-04-10|1394.0|0|1394.0|0|62.0|0|0.0|100
0|2020-04-11|1545.0|0|1545.0|0|92.0|0|0.0|100
0|2020-04-12|1647.0|0|1647.0|0|102.0|0|0.0|100
0|2020-04-13|1694.0|0|1694.0|0|102.0|0|0.0|100
0|2020-04-14|1798.0|0|1798.0|0|102.0|0|0.0|100
0|2020-04-15|1885.0|0|1885.0|0|151.0|0|0.0|100
0|2020-04-16|1985.0|0|1985.0|0|151.0|0|0.0|100
0|2020-04-17|2134.0|0|2134.0|0|161.0|0|0.0|100
0|2020-04-18|2254.0|0|2254.0|0|181.0|0|0.0|100
0|2020-04-19|2337.0|0|2337.0|0|211.0|0|0.0|100
0|2020-04-20|2337.0|0|2438.0|0|211.0|0|0.0|100
0|2020-04-21|2533.0|0|2533.0|0|244.0|0|0.0|100
0|2020-04-22|2678.0|0|2678.0|0|244.0|0|0.0|100
0|2020-04-23|2836.0|0|2836.0|0|244.0|0|0.0|100
0|2020-04-24|3060.0|0|3060.0|0|244.0|0|0.0|100
0|2020-04-25|3229.0|0|3229.0|0|315.0|0|0.0|100
0|2020-04-26|3295.0|0|3295.0|0|315.0|0|0.0|100
0|2020-04-27|3381.0|0|3381.0|0|337.0|0|0.0|100
0|2020-04-28|3546.0|0|3546.0|0|346.0|0|0.0|100
0|2020-04-29|3698.0|0|3698.0|0|358.0|0|0.0|100
0|2020-04-30|3777.0|0|3777.0|0|373.0|0|0.0|100
0|2020-05-01|3900.0|0|3900.0|0|381.0|0|0.0|100
0|2020-05-02|4003.0|0|4003.0|0|387.0|0|0.0|100
0|2020-05-03|4066.0|0|4066.0|0|398.0|0|0.0|100
0|2020-05-04|4114.0|0|4114.0|0|408.0|0|0.0|100
0|2020-05-05|4203.0|0|4203.0|0|415.0|0|0.0|100
0|2020-05-06|4321.0|0|4321.0|0|425.0|0|0.0|100
0|2020-05-07|4441.0|0|4441.0|0|434.0|0|0.0|100
0|2020-05-08|4522.0|0|4522.0|0|441.0|0|0.0|100
0|2020-05-09|4647.0|0|4647.0|0|445.0|0|0.0|100
0|2020-05-10|4714.0|0|4714.0|0|449.0|0|0.0|100
0|2020-05-11|4763.0|0|4763.0|0|458.0|0|0.0|100
