|dates|Presidio_Texas_UnitedStates.JHU_ConfirmedCases.data|Presidio_Texas_UnitedStates.JHU_ConfirmedCases.missing|Presidio_Texas_UnitedStates.NYT_ConfirmedCases.data|Presidio_Texas_UnitedStates.NYT_ConfirmedCases.missing|Presidio_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Presidio_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Presidio_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Presidio_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-13|0.0|0|2.0|0|0.0|0|0.0|100
0|2020-02-14|0.0|0|2.0|0|0.0|0|0.0|100
0|2020-02-15|0.0|0|2.0|0|0.0|0|0.0|100
0|2020-02-16|0.0|0|2.0|0|0.0|0|0.0|100
0|2020-02-17|0.0|0|2.0|0|0.0|0|0.0|100
0|2020-02-18|0.0|0|2.0|0|0.0|0|0.0|100
0|2020-02-19|0.0|0|2.0|0|0.0|0|0.0|100
0|2020-02-20|0.0|0|2.0|0|0.0|0|0.0|100
0|2020-02-21|0.0|0|4.0|0|0.0|0|0.0|100
0|2020-02-22|0.0|0|4.0|0|0.0|0|0.0|100
0|2020-02-23|0.0|0|4.0|0|0.0|0|0.0|100
0|2020-02-24|0.0|0|10.0|0|0.0|0|0.0|100
0|2020-02-25|0.0|0|10.0|0|0.0|0|0.0|100
0|2020-02-26|0.0|0|10.0|0|0.0|0|0.0|100
0|2020-02-27|0.0|0|10.0|0|0.0|0|0.0|100
0|2020-02-28|0.0|0|11.0|0|0.0|0|0.0|100
0|2020-02-29|0.0|0|11.0|0|0.0|0|0.0|100
0|2020-03-01|0.0|0|11.0|0|0.0|0|0.0|100
0|2020-03-02|0.0|0|11.0|0|0.0|0|0.0|100
0|2020-03-03|0.0|0|11.0|0|0.0|0|0.0|100
0|2020-03-04|0.0|0|12.0|0|0.0|0|0.0|100
0|2020-03-05|0.0|0|16.0|0|0.0|0|0.0|100
0|2020-03-06|0.0|0|19.0|0|0.0|0|0.0|100
0|2020-03-07|0.0|0|19.0|0|0.0|0|0.0|100
0|2020-03-08|0.0|0|23.0|0|0.0|0|0.0|100
0|2020-03-09|0.0|0|24.0|0|0.0|0|0.0|100
0|2020-03-10|0.0|0|31.0|0|0.0|0|0.0|100
0|2020-03-11|0.0|0|33.0|0|0.0|0|0.0|100
0|2020-03-12|0.0|0|41.0|0|0.0|0|0.0|100
0|2020-03-13|0.0|0|58.0|0|0.0|0|0.0|100
0|2020-03-14|0.0|0|69.0|0|0.0|0|0.0|100
0|2020-03-15|0.0|0|80.0|0|0.0|0|0.0|100
0|2020-03-16|0.0|0|87.0|0|0.0|0|0.0|100
0|2020-03-17|0.0|0|106.0|0|0.0|0|0.0|100
0|2020-03-18|0.0|0|166.0|0|0.0|0|0.0|100
0|2020-03-19|0.0|0|248.0|0|0.0|0|0.0|100
0|2020-03-20|0.0|0|382.0|0|0.0|0|0.0|100
0|2020-03-21|0.0|0|547.0|0|0.0|0|0.0|100
0|2020-03-22|0.0|0|636.0|0|0.0|0|0.0|100
0|2020-03-23|0.0|0|728.0|0|0.0|0|0.0|100
0|2020-03-24|0.0|0|857.0|0|0.0|0|0.0|100
0|2020-03-25|0.0|0|1126.0|0|0.0|0|0.0|100
0|2020-03-26|0.0|0|1543.0|0|0.0|0|0.0|100
0|2020-03-27|0.0|0|1958.0|0|0.0|0|0.0|100
0|2020-03-28|0.0|0|2379.0|0|0.0|0|0.0|100
0|2020-03-29|0.0|0|2722.0|0|0.0|0|0.0|100
0|2020-03-30|0.0|0|3059.0|0|0.0|0|0.0|100
0|2020-03-31|0.0|0|3594.0|0|0.0|0|0.0|100
0|2020-04-01|0.0|0|4335.0|0|0.0|0|0.0|100
0|2020-04-02|0.0|0|4952.0|0|0.0|0|0.0|100
0|2020-04-03|0.0|0|5773.0|0|0.0|0|0.0|100
0|2020-04-04|0.0|0|6566.0|0|0.0|0|0.0|100
0|2020-04-05|0.0|0|7119.0|0|0.0|0|0.0|100
0|2020-04-06|0.0|0|8156.0|0|0.0|0|0.0|100
0|2020-04-07|0.0|0|8971.0|0|0.0|0|0.0|100
0|2020-04-08|0.0|0|9899.0|0|0.0|0|0.0|100
0|2020-04-09|0.0|0|11372.0|0|0.0|0|0.0|100
0|2020-04-10|0.0|0|12290.0|0|0.0|0|0.0|100
0|2020-04-11|0.0|0|13207.0|0|0.0|0|0.0|100
0|2020-04-12|0.0|0|13775.0|0|0.0|0|0.0|100
0|2020-04-13|0.0|0|14488.0|0|0.0|0|0.0|100
0|2020-04-14|0.0|0|15304.0|0|0.0|0|0.0|100
0|2020-04-15|0.0|0|16105.0|0|0.0|0|0.0|100
0|2020-04-16|0.0|0|16928.0|0|0.0|0|0.0|100
0|2020-04-17|0.0|0|18131.0|0|0.0|0|0.0|100
0|2020-04-18|0.0|0|18927.0|0|0.0|0|0.0|100
0|2020-04-19|0.0|0|19442.0|0|0.0|0|0.0|100
0|2020-04-20|0.0|0|20040.0|0|0.0|0|0.0|100
0|2020-04-21|0.0|0|20949.0|0|0.0|0|0.0|100
0|2020-04-22|0.0|0|21769.0|0|0.0|0|0.0|100
0|2020-04-23|0.0|0|22706.0|0|0.0|0|0.0|100
0|2020-04-24|0.0|0|23650.0|0|0.0|0|0.0|100
0|2020-04-25|0.0|0|24494.0|0|0.0|0|0.0|100
0|2020-04-26|0.0|0|25206.0|0|0.0|0|0.0|100
0|2020-04-27|0.0|0|25960.0|0|0.0|0|0.0|100
0|2020-04-28|0.0|0|26865.0|0|0.0|0|0.0|100
0|2020-04-29|0.0|0|27836.0|0|0.0|0|0.0|100
0|2020-04-30|0.0|0|29072.0|0|0.0|0|0.0|100
0|2020-05-01|0.0|0|30339.0|0|0.0|0|0.0|100
0|2020-05-02|0.0|0|31430.0|0|0.0|0|0.0|100
0|2020-05-03|0.0|0|32296.0|0|0.0|0|0.0|100
0|2020-05-04|0.0|0|33131.0|0|0.0|0|0.0|100
0|2020-05-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-05-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-05-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-05-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-05-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-05-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-05-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-05-12|0.0|0|0.0|100|0.0|0|0.0|100
