|dates|Johnson_Iowa_UnitedStates.JHU_ConfirmedCases.data|Johnson_Iowa_UnitedStates.JHU_ConfirmedCases.missing|Johnson_Iowa_UnitedStates.NYT_ConfirmedCases.data|Johnson_Iowa_UnitedStates.NYT_ConfirmedCases.missing|Johnson_Iowa_UnitedStates.JHU_ConfirmedDeaths.data|Johnson_Iowa_UnitedStates.JHU_ConfirmedDeaths.missing|Johnson_Iowa_UnitedStates.JHU_ConfirmedRecoveries.data|Johnson_Iowa_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-08|0.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-09|3.0|0|7.0|0|0.0|0|0.0|100
0|2020-03-10|7.0|0|12.0|0|0.0|0|0.0|100
0|2020-03-11|12.0|0|13.0|0|0.0|0|0.0|100
0|2020-03-12|13.0|0|14.0|0|0.0|0|0.0|100
0|2020-03-13|14.0|0|14.0|0|0.0|0|0.0|100
0|2020-03-14|14.0|0|14.0|0|0.0|0|0.0|100
0|2020-03-15|14.0|0|15.0|0|0.0|0|0.0|100
0|2020-03-16|15.0|0|15.0|0|0.0|0|0.0|100
0|2020-03-17|15.0|0|18.0|0|0.0|0|0.0|100
0|2020-03-18|21.0|0|21.0|0|0.0|0|0.0|100
0|2020-03-19|22.0|0|22.0|0|0.0|0|0.0|100
0|2020-03-20|22.0|0|22.0|0|0.0|0|0.0|100
0|2020-03-21|27.0|0|27.0|0|0.0|0|0.0|100
0|2020-03-22|32.0|0|32.0|0|0.0|0|0.0|100
0|2020-03-23|35.0|0|35.0|0|0.0|0|0.0|100
0|2020-03-24|37.0|0|37.0|0|0.0|0|0.0|100
0|2020-03-25|43.0|0|43.0|0|0.0|0|0.0|100
0|2020-03-26|49.0|0|49.0|0|0.0|0|0.0|100
0|2020-03-27|58.0|0|58.0|0|0.0|0|0.0|100
0|2020-03-28|61.0|0|61.0|0|0.0|0|0.0|100
0|2020-03-29|65.0|0|65.0|0|0.0|0|0.0|100
0|2020-03-30|70.0|0|70.0|0|0.0|0|0.0|100
0|2020-03-31|73.0|0|73.0|0|0.0|0|0.0|100
0|2020-04-01|76.0|0|76.0|0|0.0|0|0.0|100
0|2020-04-02|80.0|0|80.0|0|0.0|0|0.0|100
0|2020-04-03|83.0|0|83.0|0|0.0|0|0.0|100
0|2020-04-04|96.0|0|96.0|0|0.0|0|0.0|100
0|2020-04-05|106.0|0|106.0|0|1.0|0|0.0|100
0|2020-04-06|118.0|0|118.0|0|1.0|0|0.0|100
0|2020-04-07|134.0|0|134.0|0|1.0|0|0.0|100
0|2020-04-08|147.0|0|147.0|0|1.0|0|0.0|100
0|2020-04-09|171.0|0|171.0|0|1.0|0|0.0|100
0|2020-04-10|185.0|0|185.0|0|1.0|0|0.0|100
0|2020-04-11|194.0|0|194.0|0|1.0|0|0.0|100
0|2020-04-12|203.0|0|203.0|0|1.0|0|0.0|100
0|2020-04-13|210.0|0|210.0|0|2.0|0|0.0|100
0|2020-04-14|216.0|0|216.0|0|2.0|0|0.0|100
0|2020-04-15|226.0|0|226.0|0|3.0|0|0.0|100
0|2020-04-16|234.0|0|234.0|0|3.0|0|0.0|100
0|2020-04-17|246.0|0|246.0|0|3.0|0|0.0|100
0|2020-04-18|265.0|0|265.0|0|3.0|0|0.0|100
0|2020-04-19|285.0|0|294.0|0|3.0|0|0.0|100
0|2020-04-20|303.0|0|311.0|0|3.0|0|0.0|100
0|2020-04-21|372.0|0|380.0|0|3.0|0|0.0|100
0|2020-04-22|388.0|0|396.0|0|3.0|0|0.0|100
0|2020-04-23|391.0|0|399.0|0|3.0|0|0.0|100
0|2020-04-24|410.0|0|418.0|0|3.0|0|0.0|100
0|2020-04-25|418.0|0|426.0|0|4.0|0|0.0|100
0|2020-04-26|426.0|0|434.0|0|6.0|0|0.0|100
0|2020-04-27|437.0|0|437.0|0|6.0|0|0.0|100
0|2020-04-28|448.0|0|448.0|0|6.0|0|0.0|100
0|2020-04-29|453.0|0|453.0|0|6.0|0|0.0|100
0|2020-04-30|461.0|0|461.0|0|6.0|0|0.0|100
0|2020-05-01|475.0|0|475.0|0|6.0|0|0.0|100
0|2020-05-02|487.0|0|487.0|0|6.0|0|0.0|100
0|2020-05-03|498.0|0|498.0|0|6.0|0|0.0|100
0|2020-05-04|505.0|0|505.0|0|6.0|0|0.0|100
0|2020-05-05|518.0|0|518.0|0|6.0|0|0.0|100
0|2020-05-06|530.0|0|530.0|0|6.0|0|0.0|100
0|2020-05-07|543.0|0|543.0|0|6.0|0|0.0|100
0|2020-05-08|546.0|0|546.0|0|6.0|0|0.0|100
0|2020-05-09|549.0|0|549.0|0|7.0|0|0.0|100
0|2020-05-10|551.0|0|551.0|0|7.0|0|0.0|100
0|2020-05-11|555.0|0|555.0|0|7.0|0|0.0|100
0|2020-05-12|559.0|0|559.0|0|7.0|0|0.0|100
0|2020-05-13|558.0|0|558.0|0|7.0|0|0.0|100
