|dates|Rush_Kansas_UnitedStates.BLS_EmployedPopulation.data|Rush_Kansas_UnitedStates.BLS_EmployedPopulation.missing|Rush_Kansas_UnitedStates.BLS_UnemployedPopulation.data|Rush_Kansas_UnitedStates.BLS_UnemployedPopulation.missing|Rush_Kansas_UnitedStates.BLS_UnemploymentRate.data|Rush_Kansas_UnitedStates.BLS_UnemploymentRate.missing|Rush_Kansas_UnitedStates.BLS_LaborForcePopulation.data|Rush_Kansas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-12-09|1538.0|0|50.0|0|3.1486146095717884|0|1588.0|0
0|2020-12-10|1538.0|0|50.0|0|3.1486146095717884|0|1588.0|0
0|2020-12-11|1538.0|0|50.0|0|3.1486146095717884|0|1588.0|0
0|2020-12-12|1538.0|0|50.0|0|3.1486146095717884|0|1588.0|0
0|2020-12-13|1538.0|0|50.0|0|3.1486146095717884|0|1588.0|0
0|2020-12-14|1538.0|0|50.0|0|3.1486146095717884|0|1588.0|0
0|2020-12-15|1538.0|0|50.0|0|3.1486146095717884|0|1588.0|0
0|2020-12-16|1538.0|0|50.0|0|3.1486146095717884|0|1588.0|0
0|2020-12-17|1538.0|0|50.0|0|3.1486146095717884|0|1588.0|0
0|2020-12-18|1538.0|0|50.0|0|3.1486146095717884|0|1588.0|0
0|2020-12-19|1538.0|0|50.0|0|3.1486146095717884|0|1588.0|0
0|2020-12-20|1538.0|0|50.0|0|3.1486146095717884|0|1588.0|0
0|2020-12-21|1538.0|0|50.0|0|3.1486146095717884|0|1588.0|0
0|2020-12-22|1538.0|0|50.0|0|3.1486146095717884|0|1588.0|0
0|2020-12-23|1538.0|0|50.0|0|3.1486146095717884|0|1588.0|0
0|2020-12-24|1538.0|0|50.0|0|3.1486146095717884|0|1588.0|0
0|2020-12-25|1538.0|0|50.0|0|3.1486146095717884|0|1588.0|0
0|2020-12-26|1538.0|0|50.0|0|3.1486146095717884|0|1588.0|0
0|2020-12-27|1538.0|0|50.0|0|3.1486146095717884|0|1588.0|0
0|2020-12-28|1538.0|0|50.0|0|3.1486146095717884|0|1588.0|0
0|2020-12-29|1538.0|0|50.0|0|3.1486146095717884|0|1588.0|0
0|2020-12-30|1538.0|0|50.0|0|3.1486146095717884|0|1588.0|0
0|2020-12-31|1538.0|0|50.0|0|3.1486146095717884|0|1588.0|0
0|2021-01-01|1489.0|0|56.0|0|3.6245954692556634|0|1545.0|0
0|2021-01-02|1489.0|0|56.0|0|3.6245954692556634|0|1545.0|0
0|2021-01-03|1489.0|0|56.0|0|3.6245954692556634|0|1545.0|0
0|2021-01-04|1489.0|0|56.0|0|3.6245954692556634|0|1545.0|0
0|2021-01-05|1489.0|0|56.0|0|3.6245954692556634|0|1545.0|0
0|2021-01-06|1489.0|0|56.0|0|3.6245954692556634|0|1545.0|0
0|2021-01-07|1489.0|0|56.0|0|3.6245954692556634|0|1545.0|0
0|2021-01-08|1489.0|0|56.0|0|3.6245954692556634|0|1545.0|0
0|2021-01-09|1489.0|0|56.0|0|3.6245954692556634|0|1545.0|0
0|2021-01-10|1489.0|0|56.0|0|3.6245954692556634|0|1545.0|0
0|2021-01-11|1489.0|0|56.0|0|3.6245954692556634|0|1545.0|0
0|2021-01-12|1489.0|0|56.0|0|3.6245954692556634|0|1545.0|0
0|2021-01-13|1489.0|0|56.0|0|3.6245954692556634|0|1545.0|0
0|2021-01-14|1489.0|0|56.0|0|3.6245954692556634|0|1545.0|0
0|2021-01-15|1489.0|0|56.0|0|3.6245954692556634|0|1545.0|0
0|2021-01-16|1489.0|0|56.0|0|3.6245954692556634|0|1545.0|0
0|2021-01-17|1489.0|0|56.0|0|3.6245954692556634|0|1545.0|0
0|2021-01-18|1489.0|0|56.0|0|3.6245954692556634|0|1545.0|0
0|2021-01-19|1489.0|0|56.0|0|3.6245954692556634|0|1545.0|0
0|2021-01-20|1489.0|0|56.0|0|3.6245954692556634|0|1545.0|0
0|2021-01-21|1489.0|0|56.0|0|3.6245954692556634|0|1545.0|0
0|2021-01-22|1489.0|0|56.0|0|3.6245954692556634|0|1545.0|0
0|2021-01-23|1489.0|0|56.0|0|3.6245954692556634|0|1545.0|0
0|2021-01-24|1489.0|0|56.0|0|3.6245954692556634|0|1545.0|0
0|2021-01-25|1489.0|0|56.0|0|3.6245954692556634|0|1545.0|0
0|2021-01-26|1489.0|0|56.0|0|3.6245954692556634|0|1545.0|0
0|2021-01-27|1489.0|0|56.0|0|3.6245954692556634|0|1545.0|0
0|2021-01-28|1489.0|0|56.0|0|3.6245954692556634|0|1545.0|0
0|2021-01-29|1489.0|0|56.0|0|3.6245954692556634|0|1545.0|0
0|2021-01-30|1489.0|0|56.0|0|3.6245954692556634|0|1545.0|0
0|2021-01-31|1489.0|0|56.0|0|3.6245954692556634|0|1545.0|0
0|2021-02-01|1502.0|0|45.0|0|2.9088558500323205|0|1547.0|0
0|2021-02-02|1502.0|0|45.0|0|2.9088558500323205|0|1547.0|0
0|2021-02-03|1502.0|0|45.0|0|2.9088558500323205|0|1547.0|0
0|2021-02-04|1502.0|0|45.0|0|2.9088558500323205|0|1547.0|0
0|2021-02-05|1502.0|0|45.0|0|2.9088558500323205|0|1547.0|0
0|2021-02-06|1502.0|0|45.0|0|2.9088558500323205|0|1547.0|0
0|2021-02-07|1502.0|0|45.0|0|2.9088558500323205|0|1547.0|0
0|2021-02-08|1502.0|0|45.0|0|2.9088558500323205|0|1547.0|0
0|2021-02-09|1502.0|0|45.0|0|2.9088558500323205|0|1547.0|0
0|2021-02-10|1502.0|0|45.0|0|2.9088558500323205|0|1547.0|0
0|2021-02-11|1502.0|0|45.0|0|2.9088558500323205|0|1547.0|0
0|2021-02-12|1502.0|0|45.0|0|2.9088558500323205|0|1547.0|0
0|2021-02-13|1502.0|0|45.0|0|2.9088558500323205|0|1547.0|0
0|2021-02-14|1502.0|0|45.0|0|2.9088558500323205|0|1547.0|0
0|2021-02-15|1502.0|0|45.0|0|2.9088558500323205|0|1547.0|0
0|2021-02-16|1502.0|0|45.0|0|2.9088558500323205|0|1547.0|0
0|2021-02-17|1502.0|0|45.0|0|2.9088558500323205|0|1547.0|0
0|2021-02-18|1502.0|0|45.0|0|2.9088558500323205|0|1547.0|0
0|2021-02-19|1502.0|0|45.0|0|2.9088558500323205|0|1547.0|0
0|2021-02-20|1502.0|0|45.0|0|2.9088558500323205|0|1547.0|0
0|2021-02-21|1502.0|0|45.0|0|2.9088558500323205|0|1547.0|0
0|2021-02-22|1502.0|0|45.0|0|2.9088558500323205|0|1547.0|0
0|2021-02-23|1502.0|0|45.0|0|2.9088558500323205|0|1547.0|0
0|2021-02-24|1502.0|0|45.0|0|2.9088558500323205|0|1547.0|0
0|2021-02-25|1502.0|0|45.0|0|2.9088558500323205|0|1547.0|0
0|2021-02-26|1502.0|0|45.0|0|2.9088558500323205|0|1547.0|0
0|2021-02-27|1502.0|0|45.0|0|2.9088558500323205|0|1547.0|0
0|2021-02-28|1502.0|0|45.0|0|2.9088558500323205|0|1547.0|0
0|2021-03-01|1510.0|0|44.0|0|2.831402831402831|0|1554.0|0
0|2021-03-02|1510.0|0|44.0|0|2.831402831402831|0|1554.0|0
0|2021-03-03|1510.0|0|44.0|0|2.831402831402831|0|1554.0|0
0|2021-03-04|1510.0|0|44.0|0|2.831402831402831|0|1554.0|0
0|2021-03-05|1510.0|0|44.0|0|2.831402831402831|0|1554.0|0
0|2021-03-06|1510.0|0|44.0|0|2.831402831402831|0|1554.0|0
0|2021-03-07|1510.0|0|44.0|0|2.831402831402831|0|1554.0|0
0|2021-03-08|1510.0|0|44.0|0|2.831402831402831|0|1554.0|0
0|2021-03-09|1510.0|0|44.0|0|2.831402831402831|0|1554.0|0
0|2021-03-10|1510.0|0|44.0|0|2.831402831402831|0|1554.0|0
0|2021-03-11|1510.0|0|44.0|0|2.831402831402831|0|1554.0|0
0|2021-03-12|1510.0|0|44.0|0|2.831402831402831|0|1554.0|0
0|2021-03-13|1510.0|0|44.0|0|2.831402831402831|0|1554.0|0
0|2021-03-14|1510.0|0|44.0|0|2.831402831402831|0|1554.0|0
0|2021-03-15|1510.0|0|44.0|0|2.831402831402831|0|1554.0|0
0|2021-03-16|1510.0|0|44.0|0|2.831402831402831|0|1554.0|0
0|2021-03-17|1510.0|0|44.0|0|2.831402831402831|0|1554.0|0
0|2021-03-18|1510.0|0|44.0|0|2.831402831402831|0|1554.0|0
0|2021-03-19|1510.0|0|44.0|0|2.831402831402831|0|1554.0|0
0|2021-03-20|1510.0|0|44.0|0|2.831402831402831|0|1554.0|0
0|2021-03-21|1510.0|0|44.0|0|2.831402831402831|0|1554.0|0
0|2021-03-22|1510.0|0|44.0|0|2.831402831402831|0|1554.0|0
0|2021-03-23|1510.0|0|44.0|0|2.831402831402831|0|1554.0|0
0|2021-03-24|1510.0|0|44.0|0|2.831402831402831|0|1554.0|0
0|2021-03-25|1510.0|0|44.0|0|2.831402831402831|0|1554.0|0
0|2021-03-26|1510.0|0|44.0|0|2.831402831402831|0|1554.0|0
0|2021-03-27|1510.0|0|44.0|0|2.831402831402831|0|1554.0|0
0|2021-03-28|1510.0|0|44.0|0|2.831402831402831|0|1554.0|0
0|2021-03-29|1510.0|0|44.0|0|2.831402831402831|0|1554.0|0
0|2021-03-30|1510.0|0|44.0|0|2.831402831402831|0|1554.0|0
0|2021-03-31|1510.0|0|44.0|0|2.831402831402831|0|1554.0|0
0|2021-04-01|1475.0|0|33.0|0|2.1883289124668437|0|1508.0|0
0|2021-04-02|1475.0|0|33.0|0|2.1883289124668437|0|1508.0|0
0|2021-04-03|1475.0|0|33.0|0|2.1883289124668437|0|1508.0|0
0|2021-04-04|1475.0|0|33.0|0|2.1883289124668437|0|1508.0|0
0|2021-04-05|1475.0|0|33.0|0|2.1883289124668437|0|1508.0|0
0|2021-04-06|1475.0|0|33.0|0|2.1883289124668437|0|1508.0|0
0|2021-04-07|1475.0|0|33.0|0|2.1883289124668437|0|1508.0|0
0|2021-04-08|1475.0|0|33.0|0|2.1883289124668437|0|1508.0|0
0|2021-04-09|1475.0|0|33.0|0|2.1883289124668437|0|1508.0|0
0|2021-04-10|1475.0|0|33.0|0|2.1883289124668437|0|1508.0|0
0|2021-04-11|1475.0|0|33.0|0|2.1883289124668437|0|1508.0|0
0|2021-04-12|1475.0|0|33.0|0|2.1883289124668437|0|1508.0|0
0|2021-04-13|1475.0|0|33.0|0|2.1883289124668437|0|1508.0|0
0|2021-04-14|1475.0|0|33.0|0|2.1883289124668437|0|1508.0|0
0|2021-04-15|1475.0|0|33.0|0|2.1883289124668437|0|1508.0|0
0|2021-04-16|1475.0|0|33.0|0|2.1883289124668437|0|1508.0|0
0|2021-04-17|1475.0|0|33.0|0|2.1883289124668437|0|1508.0|0
0|2021-04-18|1475.0|0|33.0|0|2.1883289124668437|0|1508.0|0
0|2021-04-19|1475.0|0|33.0|0|2.1883289124668437|0|1508.0|0
0|2021-04-20|1475.0|0|33.0|0|2.1883289124668437|0|1508.0|0
0|2021-04-21|1475.0|0|33.0|0|2.1883289124668437|0|1508.0|0
0|2021-04-22|1475.0|0|33.0|0|2.1883289124668437|0|1508.0|0
0|2021-04-23|1475.0|0|33.0|0|2.1883289124668437|0|1508.0|0
0|2021-04-24|1475.0|0|33.0|0|2.1883289124668437|0|1508.0|0
0|2021-04-25|1475.0|0|33.0|0|2.1883289124668437|0|1508.0|0
0|2021-04-26|1475.0|0|33.0|0|2.1883289124668437|0|1508.0|0
0|2021-04-27|1475.0|0|33.0|0|2.1883289124668437|0|1508.0|0
0|2021-04-28|1475.0|0|33.0|0|2.1883289124668437|0|1508.0|0
0|2021-04-29|1475.0|0|33.0|0|2.1883289124668437|0|1508.0|0
0|2021-04-30|1475.0|0|33.0|0|2.1883289124668437|0|1508.0|0
0|2021-05-01|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-05-02|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-05-03|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-05-04|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-05-05|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-05-06|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-05-07|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-05-08|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-05-09|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-05-10|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-05-11|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-05-12|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-05-13|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-05-14|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-05-15|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-05-16|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-05-17|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-05-18|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-05-19|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-05-20|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-05-21|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-05-22|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-05-23|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-05-24|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-05-25|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-05-26|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-05-27|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-05-28|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-05-29|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-05-30|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-05-31|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-06-01|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-06-02|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-06-03|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-06-04|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-06-05|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-06-06|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-06-07|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-06-08|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-06-09|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-06-10|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-06-11|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-06-12|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-06-13|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-06-14|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-06-15|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-06-16|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-06-17|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-06-18|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-06-19|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-06-20|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-06-21|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-06-22|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-06-23|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-06-24|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-06-25|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-06-26|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-06-27|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-06-28|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-06-29|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-06-30|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-07-01|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-07-02|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-07-03|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-07-04|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-07-05|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-07-06|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-07-07|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-07-08|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-07-09|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-07-10|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-07-11|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-07-12|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-07-13|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-07-14|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-07-15|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-07-16|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-07-17|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-07-18|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-07-19|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-07-20|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-07-21|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-07-22|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-07-23|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-07-24|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-07-25|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-07-26|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-07-27|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-07-28|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-07-29|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-07-30|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-07-31|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-08-01|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-08-02|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-08-03|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-08-04|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-08-05|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-08-06|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-08-07|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-08-08|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-08-09|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-08-10|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-08-11|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-08-12|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-08-13|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-08-14|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-08-15|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-08-16|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-08-17|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-08-18|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-08-19|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-08-20|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-08-21|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-08-22|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-08-23|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-08-24|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-08-25|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-08-26|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-08-27|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-08-28|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-08-29|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-08-30|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-08-31|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-09-01|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-09-02|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-09-03|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-09-04|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-09-05|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-09-06|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-09-07|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-09-08|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-09-09|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-09-10|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-09-11|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-09-12|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-09-13|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-09-14|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-09-15|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-09-16|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-09-17|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-09-18|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-09-19|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-09-20|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-09-21|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-09-22|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-09-23|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-09-24|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-09-25|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-09-26|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-09-27|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-09-28|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-09-29|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-09-30|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-10-01|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-10-02|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-10-03|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-10-04|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-10-05|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-10-06|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-10-07|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-10-08|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-10-09|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-10-10|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-10-11|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-10-12|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-10-13|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-10-14|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
0|2021-10-15|1500.0|0|38.0|0|2.4707412223667102|0|1538.0|0
