|dates|Sherman_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Sherman_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Sherman_Nebraska_UnitedStates.Male_Total_Population.data|Sherman_Nebraska_UnitedStates.Male_Total_Population.missing|Sherman_Nebraska_UnitedStates.Female_Total_Population.data|Sherman_Nebraska_UnitedStates.Female_Total_Population.missing|Sherman_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.data|Sherman_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-16|823.0|0|1492.0|0|1546.0|0|638.0|0
