|dates|Limestone_Alabama_UnitedStates.JHU_ConfirmedCases.data|Limestone_Alabama_UnitedStates.JHU_ConfirmedCases.missing|Limestone_Alabama_UnitedStates.NYT_ConfirmedCases.data|Limestone_Alabama_UnitedStates.NYT_ConfirmedCases.missing|Limestone_Alabama_UnitedStates.JHU_ConfirmedDeaths.data|Limestone_Alabama_UnitedStates.JHU_ConfirmedDeaths.missing|Limestone_Alabama_UnitedStates.JHU_ConfirmedRecoveries.data|Limestone_Alabama_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-13|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-14|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-15|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-16|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-17|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-18|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-19|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-20|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-21|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-22|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-23|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-24|4.0|0|4.0|0|0.0|0|0.0|100
0|2020-03-25|6.0|0|6.0|0|0.0|0|0.0|100
0|2020-03-26|13.0|0|13.0|0|0.0|0|0.0|100
0|2020-03-27|14.0|0|16.0|0|0.0|0|0.0|100
0|2020-03-28|16.0|0|16.0|0|0.0|0|0.0|100
0|2020-03-29|16.0|0|16.0|0|0.0|0|0.0|100
0|2020-03-30|20.0|0|20.0|0|0.0|0|0.0|100
0|2020-03-31|22.0|0|22.0|0|0.0|0|0.0|100
0|2020-04-01|23.0|0|23.0|0|0.0|0|0.0|100
0|2020-04-02|25.0|0|25.0|0|0.0|0|0.0|100
0|2020-04-03|30.0|0|30.0|0|0.0|0|0.0|100
0|2020-04-04|31.0|0|31.0|0|0.0|0|0.0|100
0|2020-04-05|31.0|0|32.0|0|0.0|0|0.0|100
0|2020-04-06|33.0|0|33.0|0|0.0|0|0.0|100
0|2020-04-07|32.0|0|32.0|0|0.0|0|0.0|100
0|2020-04-08|32.0|0|32.0|0|0.0|0|0.0|100
0|2020-04-09|34.0|0|35.0|0|0.0|0|0.0|100
0|2020-04-10|36.0|0|36.0|0|0.0|0|0.0|100
0|2020-04-11|36.0|0|36.0|0|0.0|0|0.0|100
0|2020-04-12|37.0|0|37.0|0|0.0|0|0.0|100
0|2020-04-13|37.0|0|37.0|0|0.0|0|0.0|100
0|2020-04-14|37.0|0|37.0|0|0.0|0|0.0|100
0|2020-04-15|37.0|0|38.0|0|0.0|0|0.0|100
0|2020-04-16|38.0|0|38.0|0|0.0|0|0.0|100
0|2020-04-17|40.0|0|40.0|0|0.0|0|0.0|100
0|2020-04-18|40.0|0|40.0|0|0.0|0|0.0|100
0|2020-04-19|40.0|0|40.0|0|0.0|0|0.0|100
0|2020-04-20|40.0|0|40.0|0|0.0|0|0.0|100
0|2020-04-21|40.0|0|40.0|0|0.0|0|0.0|100
0|2020-04-22|39.0|0|38.0|0|0.0|0|0.0|100
0|2020-04-23|40.0|0|40.0|0|0.0|0|0.0|100
0|2020-04-24|41.0|0|41.0|0|0.0|0|0.0|100
0|2020-04-25|41.0|0|41.0|0|0.0|0|0.0|100
0|2020-04-26|41.0|0|41.0|0|0.0|0|0.0|100
0|2020-04-27|42.0|0|42.0|0|0.0|0|0.0|100
0|2020-04-28|44.0|0|44.0|0|0.0|0|0.0|100
0|2020-04-29|44.0|0|44.0|0|0.0|0|0.0|100
0|2020-04-30|44.0|0|44.0|0|0.0|0|0.0|100
0|2020-05-01|44.0|0|44.0|0|0.0|0|0.0|100
0|2020-05-02|44.0|0|44.0|0|0.0|0|0.0|100
0|2020-05-03|45.0|0|45.0|0|0.0|0|0.0|100
0|2020-05-04|47.0|0|47.0|0|0.0|0|0.0|100
0|2020-05-05|48.0|0|48.0|0|0.0|0|0.0|100
0|2020-05-06|49.0|0|49.0|0|0.0|0|0.0|100
0|2020-05-07|54.0|0|54.0|0|0.0|0|0.0|100
0|2020-05-08|55.0|0|55.0|0|0.0|0|0.0|100
0|2020-05-09|57.0|0|57.0|0|0.0|0|0.0|100
0|2020-05-10|57.0|0|57.0|0|0.0|0|0.0|100
0|2020-05-11|57.0|0|57.0|0|0.0|0|0.0|100
0|2020-05-12|58.0|0|58.0|0|0.0|0|0.0|100
0|2020-05-13|60.0|0|60.0|0|0.0|0|0.0|100
