|dates|Amherst_Virginia_UnitedStates.BLS_EmployedPopulation.data|Amherst_Virginia_UnitedStates.BLS_EmployedPopulation.missing|Amherst_Virginia_UnitedStates.BLS_UnemployedPopulation.data|Amherst_Virginia_UnitedStates.BLS_UnemployedPopulation.missing|Amherst_Virginia_UnitedStates.BLS_UnemploymentRate.data|Amherst_Virginia_UnitedStates.BLS_UnemploymentRate.missing|Amherst_Virginia_UnitedStates.BLS_LaborForcePopulation.data|Amherst_Virginia_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-12-06|13569.0|0|761.0|0|5.310537334263782|0|14330.0|0
0|2020-12-07|13569.0|0|761.0|0|5.310537334263782|0|14330.0|0
0|2020-12-08|13569.0|0|761.0|0|5.310537334263782|0|14330.0|0
0|2020-12-09|13569.0|0|761.0|0|5.310537334263782|0|14330.0|0
0|2020-12-10|13569.0|0|761.0|0|5.310537334263782|0|14330.0|0
0|2020-12-11|13569.0|0|761.0|0|5.310537334263782|0|14330.0|0
0|2020-12-12|13569.0|0|761.0|0|5.310537334263782|0|14330.0|0
0|2020-12-13|13569.0|0|761.0|0|5.310537334263782|0|14330.0|0
0|2020-12-14|13569.0|0|761.0|0|5.310537334263782|0|14330.0|0
0|2020-12-15|13569.0|0|761.0|0|5.310537334263782|0|14330.0|0
0|2020-12-16|13569.0|0|761.0|0|5.310537334263782|0|14330.0|0
0|2020-12-17|13569.0|0|761.0|0|5.310537334263782|0|14330.0|0
0|2020-12-18|13569.0|0|761.0|0|5.310537334263782|0|14330.0|0
0|2020-12-19|13569.0|0|761.0|0|5.310537334263782|0|14330.0|0
0|2020-12-20|13569.0|0|761.0|0|5.310537334263782|0|14330.0|0
0|2020-12-21|13569.0|0|761.0|0|5.310537334263782|0|14330.0|0
0|2020-12-22|13569.0|0|761.0|0|5.310537334263782|0|14330.0|0
0|2020-12-23|13569.0|0|761.0|0|5.310537334263782|0|14330.0|0
0|2020-12-24|13569.0|0|761.0|0|5.310537334263782|0|14330.0|0
0|2020-12-25|13569.0|0|761.0|0|5.310537334263782|0|14330.0|0
0|2020-12-26|13569.0|0|761.0|0|5.310537334263782|0|14330.0|0
0|2020-12-27|13569.0|0|761.0|0|5.310537334263782|0|14330.0|0
0|2020-12-28|13569.0|0|761.0|0|5.310537334263782|0|14330.0|0
0|2020-12-29|13569.0|0|761.0|0|5.310537334263782|0|14330.0|0
0|2020-12-30|13569.0|0|761.0|0|5.310537334263782|0|14330.0|0
0|2020-12-31|13569.0|0|761.0|0|5.310537334263782|0|14330.0|0
0|2021-01-01|13476.0|0|766.0|0|5.378458081730094|0|14242.0|0
0|2021-01-02|13476.0|0|766.0|0|5.378458081730094|0|14242.0|0
0|2021-01-03|13476.0|0|766.0|0|5.378458081730094|0|14242.0|0
0|2021-01-04|13476.0|0|766.0|0|5.378458081730094|0|14242.0|0
0|2021-01-05|13476.0|0|766.0|0|5.378458081730094|0|14242.0|0
0|2021-01-06|13476.0|0|766.0|0|5.378458081730094|0|14242.0|0
0|2021-01-07|13476.0|0|766.0|0|5.378458081730094|0|14242.0|0
0|2021-01-08|13476.0|0|766.0|0|5.378458081730094|0|14242.0|0
0|2021-01-09|13476.0|0|766.0|0|5.378458081730094|0|14242.0|0
0|2021-01-10|13476.0|0|766.0|0|5.378458081730094|0|14242.0|0
0|2021-01-11|13476.0|0|766.0|0|5.378458081730094|0|14242.0|0
0|2021-01-12|13476.0|0|766.0|0|5.378458081730094|0|14242.0|0
0|2021-01-13|13476.0|0|766.0|0|5.378458081730094|0|14242.0|0
0|2021-01-14|13476.0|0|766.0|0|5.378458081730094|0|14242.0|0
0|2021-01-15|13476.0|0|766.0|0|5.378458081730094|0|14242.0|0
0|2021-01-16|13476.0|0|766.0|0|5.378458081730094|0|14242.0|0
0|2021-01-17|13476.0|0|766.0|0|5.378458081730094|0|14242.0|0
0|2021-01-18|13476.0|0|766.0|0|5.378458081730094|0|14242.0|0
0|2021-01-19|13476.0|0|766.0|0|5.378458081730094|0|14242.0|0
0|2021-01-20|13476.0|0|766.0|0|5.378458081730094|0|14242.0|0
0|2021-01-21|13476.0|0|766.0|0|5.378458081730094|0|14242.0|0
0|2021-01-22|13476.0|0|766.0|0|5.378458081730094|0|14242.0|0
0|2021-01-23|13476.0|0|766.0|0|5.378458081730094|0|14242.0|0
0|2021-01-24|13476.0|0|766.0|0|5.378458081730094|0|14242.0|0
0|2021-01-25|13476.0|0|766.0|0|5.378458081730094|0|14242.0|0
0|2021-01-26|13476.0|0|766.0|0|5.378458081730094|0|14242.0|0
0|2021-01-27|13476.0|0|766.0|0|5.378458081730094|0|14242.0|0
0|2021-01-28|13476.0|0|766.0|0|5.378458081730094|0|14242.0|0
0|2021-01-29|13476.0|0|766.0|0|5.378458081730094|0|14242.0|0
0|2021-01-30|13476.0|0|766.0|0|5.378458081730094|0|14242.0|0
0|2021-01-31|13476.0|0|766.0|0|5.378458081730094|0|14242.0|0
0|2021-02-01|13414.0|0|712.0|0|5.04035112558403|0|14126.0|0
0|2021-02-02|13414.0|0|712.0|0|5.04035112558403|0|14126.0|0
0|2021-02-03|13414.0|0|712.0|0|5.04035112558403|0|14126.0|0
0|2021-02-04|13414.0|0|712.0|0|5.04035112558403|0|14126.0|0
0|2021-02-05|13414.0|0|712.0|0|5.04035112558403|0|14126.0|0
0|2021-02-06|13414.0|0|712.0|0|5.04035112558403|0|14126.0|0
0|2021-02-07|13414.0|0|712.0|0|5.04035112558403|0|14126.0|0
0|2021-02-08|13414.0|0|712.0|0|5.04035112558403|0|14126.0|0
0|2021-02-09|13414.0|0|712.0|0|5.04035112558403|0|14126.0|0
0|2021-02-10|13414.0|0|712.0|0|5.04035112558403|0|14126.0|0
0|2021-02-11|13414.0|0|712.0|0|5.04035112558403|0|14126.0|0
0|2021-02-12|13414.0|0|712.0|0|5.04035112558403|0|14126.0|0
0|2021-02-13|13414.0|0|712.0|0|5.04035112558403|0|14126.0|0
0|2021-02-14|13414.0|0|712.0|0|5.04035112558403|0|14126.0|0
0|2021-02-15|13414.0|0|712.0|0|5.04035112558403|0|14126.0|0
0|2021-02-16|13414.0|0|712.0|0|5.04035112558403|0|14126.0|0
0|2021-02-17|13414.0|0|712.0|0|5.04035112558403|0|14126.0|0
0|2021-02-18|13414.0|0|712.0|0|5.04035112558403|0|14126.0|0
0|2021-02-19|13414.0|0|712.0|0|5.04035112558403|0|14126.0|0
0|2021-02-20|13414.0|0|712.0|0|5.04035112558403|0|14126.0|0
0|2021-02-21|13414.0|0|712.0|0|5.04035112558403|0|14126.0|0
0|2021-02-22|13414.0|0|712.0|0|5.04035112558403|0|14126.0|0
0|2021-02-23|13414.0|0|712.0|0|5.04035112558403|0|14126.0|0
0|2021-02-24|13414.0|0|712.0|0|5.04035112558403|0|14126.0|0
0|2021-02-25|13414.0|0|712.0|0|5.04035112558403|0|14126.0|0
0|2021-02-26|13414.0|0|712.0|0|5.04035112558403|0|14126.0|0
0|2021-02-27|13414.0|0|712.0|0|5.04035112558403|0|14126.0|0
0|2021-02-28|13414.0|0|712.0|0|5.04035112558403|0|14126.0|0
0|2021-03-01|13487.0|0|674.0|0|4.759550879175199|0|14161.0|0
0|2021-03-02|13487.0|0|674.0|0|4.759550879175199|0|14161.0|0
0|2021-03-03|13487.0|0|674.0|0|4.759550879175199|0|14161.0|0
0|2021-03-04|13487.0|0|674.0|0|4.759550879175199|0|14161.0|0
0|2021-03-05|13487.0|0|674.0|0|4.759550879175199|0|14161.0|0
0|2021-03-06|13487.0|0|674.0|0|4.759550879175199|0|14161.0|0
0|2021-03-07|13487.0|0|674.0|0|4.759550879175199|0|14161.0|0
0|2021-03-08|13487.0|0|674.0|0|4.759550879175199|0|14161.0|0
0|2021-03-09|13487.0|0|674.0|0|4.759550879175199|0|14161.0|0
0|2021-03-10|13487.0|0|674.0|0|4.759550879175199|0|14161.0|0
0|2021-03-11|13487.0|0|674.0|0|4.759550879175199|0|14161.0|0
0|2021-03-12|13487.0|0|674.0|0|4.759550879175199|0|14161.0|0
0|2021-03-13|13487.0|0|674.0|0|4.759550879175199|0|14161.0|0
0|2021-03-14|13487.0|0|674.0|0|4.759550879175199|0|14161.0|0
0|2021-03-15|13487.0|0|674.0|0|4.759550879175199|0|14161.0|0
0|2021-03-16|13487.0|0|674.0|0|4.759550879175199|0|14161.0|0
0|2021-03-17|13487.0|0|674.0|0|4.759550879175199|0|14161.0|0
0|2021-03-18|13487.0|0|674.0|0|4.759550879175199|0|14161.0|0
0|2021-03-19|13487.0|0|674.0|0|4.759550879175199|0|14161.0|0
0|2021-03-20|13487.0|0|674.0|0|4.759550879175199|0|14161.0|0
0|2021-03-21|13487.0|0|674.0|0|4.759550879175199|0|14161.0|0
0|2021-03-22|13487.0|0|674.0|0|4.759550879175199|0|14161.0|0
0|2021-03-23|13487.0|0|674.0|0|4.759550879175199|0|14161.0|0
0|2021-03-24|13487.0|0|674.0|0|4.759550879175199|0|14161.0|0
0|2021-03-25|13487.0|0|674.0|0|4.759550879175199|0|14161.0|0
0|2021-03-26|13487.0|0|674.0|0|4.759550879175199|0|14161.0|0
0|2021-03-27|13487.0|0|674.0|0|4.759550879175199|0|14161.0|0
0|2021-03-28|13487.0|0|674.0|0|4.759550879175199|0|14161.0|0
0|2021-03-29|13487.0|0|674.0|0|4.759550879175199|0|14161.0|0
0|2021-03-30|13487.0|0|674.0|0|4.759550879175199|0|14161.0|0
0|2021-03-31|13487.0|0|674.0|0|4.759550879175199|0|14161.0|0
0|2021-04-01|13523.0|0|502.0|0|3.5793226381461674|0|14025.0|0
0|2021-04-02|13523.0|0|502.0|0|3.5793226381461674|0|14025.0|0
0|2021-04-03|13523.0|0|502.0|0|3.5793226381461674|0|14025.0|0
0|2021-04-04|13523.0|0|502.0|0|3.5793226381461674|0|14025.0|0
0|2021-04-05|13523.0|0|502.0|0|3.5793226381461674|0|14025.0|0
0|2021-04-06|13523.0|0|502.0|0|3.5793226381461674|0|14025.0|0
0|2021-04-07|13523.0|0|502.0|0|3.5793226381461674|0|14025.0|0
0|2021-04-08|13523.0|0|502.0|0|3.5793226381461674|0|14025.0|0
0|2021-04-09|13523.0|0|502.0|0|3.5793226381461674|0|14025.0|0
0|2021-04-10|13523.0|0|502.0|0|3.5793226381461674|0|14025.0|0
0|2021-04-11|13523.0|0|502.0|0|3.5793226381461674|0|14025.0|0
0|2021-04-12|13523.0|0|502.0|0|3.5793226381461674|0|14025.0|0
0|2021-04-13|13523.0|0|502.0|0|3.5793226381461674|0|14025.0|0
0|2021-04-14|13523.0|0|502.0|0|3.5793226381461674|0|14025.0|0
0|2021-04-15|13523.0|0|502.0|0|3.5793226381461674|0|14025.0|0
0|2021-04-16|13523.0|0|502.0|0|3.5793226381461674|0|14025.0|0
0|2021-04-17|13523.0|0|502.0|0|3.5793226381461674|0|14025.0|0
0|2021-04-18|13523.0|0|502.0|0|3.5793226381461674|0|14025.0|0
0|2021-04-19|13523.0|0|502.0|0|3.5793226381461674|0|14025.0|0
0|2021-04-20|13523.0|0|502.0|0|3.5793226381461674|0|14025.0|0
0|2021-04-21|13523.0|0|502.0|0|3.5793226381461674|0|14025.0|0
0|2021-04-22|13523.0|0|502.0|0|3.5793226381461674|0|14025.0|0
0|2021-04-23|13523.0|0|502.0|0|3.5793226381461674|0|14025.0|0
0|2021-04-24|13523.0|0|502.0|0|3.5793226381461674|0|14025.0|0
0|2021-04-25|13523.0|0|502.0|0|3.5793226381461674|0|14025.0|0
0|2021-04-26|13523.0|0|502.0|0|3.5793226381461674|0|14025.0|0
0|2021-04-27|13523.0|0|502.0|0|3.5793226381461674|0|14025.0|0
0|2021-04-28|13523.0|0|502.0|0|3.5793226381461674|0|14025.0|0
0|2021-04-29|13523.0|0|502.0|0|3.5793226381461674|0|14025.0|0
0|2021-04-30|13523.0|0|502.0|0|3.5793226381461674|0|14025.0|0
0|2021-05-01|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-05-02|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-05-03|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-05-04|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-05-05|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-05-06|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-05-07|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-05-08|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-05-09|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-05-10|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-05-11|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-05-12|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-05-13|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-05-14|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-05-15|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-05-16|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-05-17|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-05-18|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-05-19|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-05-20|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-05-21|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-05-22|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-05-23|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-05-24|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-05-25|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-05-26|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-05-27|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-05-28|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-05-29|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-05-30|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-05-31|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-06-01|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-06-02|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-06-03|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-06-04|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-06-05|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-06-06|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-06-07|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-06-08|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-06-09|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-06-10|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-06-11|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-06-12|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-06-13|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-06-14|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-06-15|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-06-16|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-06-17|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-06-18|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-06-19|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-06-20|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-06-21|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-06-22|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-06-23|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-06-24|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-06-25|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-06-26|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-06-27|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-06-28|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-06-29|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-06-30|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-07-01|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-07-02|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-07-03|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-07-04|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-07-05|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-07-06|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-07-07|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-07-08|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-07-09|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-07-10|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-07-11|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-07-12|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-07-13|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-07-14|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-07-15|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-07-16|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-07-17|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-07-18|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-07-19|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-07-20|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-07-21|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-07-22|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-07-23|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-07-24|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-07-25|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-07-26|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-07-27|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-07-28|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-07-29|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-07-30|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-07-31|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-08-01|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-08-02|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-08-03|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-08-04|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-08-05|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-08-06|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-08-07|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-08-08|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-08-09|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-08-10|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-08-11|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-08-12|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-08-13|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-08-14|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-08-15|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-08-16|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-08-17|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-08-18|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-08-19|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-08-20|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-08-21|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-08-22|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-08-23|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-08-24|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-08-25|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-08-26|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-08-27|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-08-28|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-08-29|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-08-30|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-08-31|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-09-01|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-09-02|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-09-03|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-09-04|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-09-05|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-09-06|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-09-07|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-09-08|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-09-09|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-09-10|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-09-11|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-09-12|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-09-13|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-09-14|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-09-15|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-09-16|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-09-17|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-09-18|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-09-19|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-09-20|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-09-21|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-09-22|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-09-23|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-09-24|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-09-25|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-09-26|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-09-27|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-09-28|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-09-29|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-09-30|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-10-01|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-10-02|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-10-03|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-10-04|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-10-05|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-10-06|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-10-07|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-10-08|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-10-09|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-10-10|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-10-11|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-10-12|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-10-13|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-10-14|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
0|2021-10-15|13478.0|0|547.0|0|3.90017825311943|0|14025.0|0
