|dates|Shelby_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Shelby_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Shelby_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Shelby_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Shelby_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Shelby_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Shelby_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Shelby_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-08|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-09|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-10|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-11|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-12|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-13|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-14|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-15|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-16|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-17|3.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-18|4.0|0|4.0|0|0.0|0|0.0|100
0|2020-03-19|10.0|0|22.0|0|0.0|0|0.0|100
0|2020-03-20|4.0|0|42.0|0|0.0|0|0.0|100
0|2020-03-21|42.0|0|42.0|0|0.0|0|0.0|100
0|2020-03-22|66.0|0|66.0|0|0.0|0|0.0|100
0|2020-03-23|93.0|0|66.0|0|0.0|0|0.0|100
0|2020-03-24|135.0|0|135.0|0|0.0|0|0.0|100
0|2020-03-25|170.0|0|170.0|0|0.0|0|0.0|100
0|2020-03-26|198.0|0|198.0|0|0.0|0|0.0|100
0|2020-03-27|223.0|0|223.0|0|0.0|0|0.0|100
0|2020-03-28|275.0|0|275.0|0|0.0|0|0.0|100
0|2020-03-29|362.0|0|362.0|0|1.0|0|0.0|100
0|2020-03-30|396.0|0|396.0|0|1.0|0|0.0|100
0|2020-03-31|428.0|0|396.0|0|1.0|0|0.0|100
0|2020-04-01|496.0|0|496.0|0|1.0|0|0.0|100
0|2020-04-02|638.0|0|638.0|0|7.0|0|0.0|100
0|2020-04-03|640.0|0|640.0|0|7.0|0|0.0|100
0|2020-04-04|689.0|0|706.0|0|8.0|0|0.0|100
0|2020-04-05|736.0|0|754.0|0|11.0|0|0.0|100
0|2020-04-06|766.0|0|766.0|0|13.0|0|0.0|100
0|2020-04-07|835.0|0|845.0|0|15.0|0|0.0|100
0|2020-04-08|912.0|0|912.0|0|17.0|0|0.0|100
0|2020-04-09|1006.0|0|1006.0|0|20.0|0|0.0|100
0|2020-04-10|1083.0|0|1083.0|0|20.0|0|0.0|100
0|2020-04-11|1147.0|0|1147.0|0|26.0|0|0.0|100
0|2020-04-12|1215.0|0|1216.0|0|26.0|0|0.0|100
0|2020-04-13|1331.0|0|1331.0|0|21.0|0|0.0|100
0|2020-04-14|1359.0|0|1359.0|0|26.0|0|0.0|100
0|2020-04-15|1359.0|0|1432.0|0|26.0|0|0.0|100
0|2020-04-16|1508.0|0|1508.0|0|32.0|0|0.0|100
0|2020-04-17|1492.0|0|1682.0|0|33.0|0|0.0|100
0|2020-04-18|1682.0|0|1730.0|0|33.0|0|0.0|100
0|2020-04-19|1778.0|0|1778.0|0|35.0|0|0.0|100
0|2020-04-20|1839.0|0|1839.0|0|35.0|0|0.0|100
0|2020-04-21|1873.0|0|1873.0|0|39.0|0|0.0|100
0|2020-04-22|1873.0|0|1924.0|0|39.0|0|0.0|100
0|2020-04-23|1953.0|0|1953.0|0|44.0|0|0.0|100
0|2020-04-24|2001.0|0|2001.0|0|42.0|0|0.0|100
0|2020-04-25|2086.0|0|2086.0|0|43.0|0|0.0|100
0|2020-04-26|2296.0|0|2296.0|0|44.0|0|0.0|100
0|2020-04-27|2327.0|0|2327.0|0|44.0|0|0.0|100
0|2020-04-28|2376.0|0|2376.0|0|44.0|0|0.0|100
0|2020-04-29|2432.0|0|2432.0|0|44.0|0|0.0|100
0|2020-04-30|2507.0|0|2507.0|0|47.0|0|0.0|100
0|2020-05-01|2599.0|0|2599.0|0|51.0|0|0.0|100
0|2020-05-02|2672.0|0|2672.0|0|55.0|0|0.0|100
0|2020-05-03|2815.0|0|2815.0|0|55.0|0|0.0|100
0|2020-05-04|2878.0|0|2878.0|0|58.0|0|0.0|100
0|2020-05-05|2901.0|0|2922.0|0|60.0|0|0.0|100
0|2020-05-06|3010.0|0|3010.0|0|64.0|0|0.0|100
0|2020-05-07|3066.0|0|3066.0|0|64.0|0|0.0|100
0|2020-05-08|3108.0|0|3113.0|0|67.0|0|0.0|100
0|2020-05-09|3189.0|0|3189.0|0|68.0|0|0.0|100
0|2020-05-10|3260.0|0|3260.0|0|68.0|0|0.0|100
0|2020-05-11|3372.0|0|3372.0|0|70.0|0|0.0|100
