|dates|Rankin_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Rankin_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Rankin_Mississippi_UnitedStates.NYT_ConfirmedCases.data|Rankin_Mississippi_UnitedStates.NYT_ConfirmedCases.missing|Rankin_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Rankin_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Rankin_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Rankin_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-20|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-21|3.0|0|7.0|0|0.0|0|0.0|100
0|2020-03-22|7.0|0|7.0|0|0.0|0|0.0|100
0|2020-03-23|8.0|0|8.0|0|0.0|0|0.0|100
0|2020-03-24|13.0|0|13.0|0|0.0|0|0.0|100
0|2020-03-25|20.0|0|20.0|0|0.0|0|0.0|100
0|2020-03-26|23.0|0|23.0|0|1.0|0|0.0|100
0|2020-03-27|29.0|0|29.0|0|1.0|0|0.0|100
0|2020-03-28|31.0|0|31.0|0|1.0|0|0.0|100
0|2020-03-29|35.0|0|35.0|0|1.0|0|0.0|100
0|2020-03-30|35.0|0|37.0|0|1.0|0|0.0|100
0|2020-03-31|40.0|0|40.0|0|1.0|0|0.0|100
0|2020-04-01|48.0|0|48.0|0|1.0|0|0.0|100
0|2020-04-02|50.0|0|50.0|0|1.0|0|0.0|100
0|2020-04-03|64.0|0|64.0|0|1.0|0|0.0|100
0|2020-04-04|66.0|0|66.0|0|1.0|0|0.0|100
0|2020-04-05|72.0|0|72.0|0|1.0|0|0.0|100
0|2020-04-06|74.0|0|74.0|0|1.0|0|0.0|100
0|2020-04-07|78.0|0|78.0|0|1.0|0|0.0|100
0|2020-04-08|79.0|0|79.0|0|2.0|0|0.0|100
0|2020-04-09|85.0|0|85.0|0|2.0|0|0.0|100
0|2020-04-10|88.0|0|88.0|0|2.0|0|0.0|100
0|2020-04-11|94.0|0|94.0|0|2.0|0|0.0|100
0|2020-04-12|99.0|0|99.0|0|2.0|0|0.0|100
0|2020-04-13|100.0|0|100.0|0|2.0|0|0.0|100
0|2020-04-14|105.0|0|105.0|0|2.0|0|0.0|100
0|2020-04-15|113.0|0|113.0|0|2.0|0|0.0|100
0|2020-04-16|122.0|0|122.0|0|2.0|0|0.0|100
0|2020-04-17|128.0|0|128.0|0|2.0|0|0.0|100
0|2020-04-18|130.0|0|130.0|0|2.0|0|0.0|100
0|2020-04-19|133.0|0|133.0|0|2.0|0|0.0|100
0|2020-04-20|141.0|0|141.0|0|2.0|0|0.0|100
0|2020-04-21|146.0|0|146.0|0|4.0|0|0.0|100
0|2020-04-22|148.0|0|148.0|0|4.0|0|0.0|100
0|2020-04-23|153.0|0|153.0|0|4.0|0|0.0|100
0|2020-04-24|154.0|0|154.0|0|4.0|0|0.0|100
0|2020-04-25|162.0|0|162.0|0|5.0|0|0.0|100
0|2020-04-26|167.0|0|167.0|0|5.0|0|0.0|100
0|2020-04-27|171.0|0|171.0|0|5.0|0|0.0|100
0|2020-04-28|179.0|0|179.0|0|5.0|0|0.0|100
0|2020-04-29|182.0|0|182.0|0|5.0|0|0.0|100
0|2020-04-30|186.0|0|186.0|0|5.0|0|0.0|100
0|2020-05-01|194.0|0|194.0|0|5.0|0|0.0|100
0|2020-05-02|197.0|0|197.0|0|5.0|0|0.0|100
0|2020-05-03|200.0|0|200.0|0|6.0|0|0.0|100
0|2020-05-04|207.0|0|207.0|0|6.0|0|0.0|100
0|2020-05-05|221.0|0|221.0|0|6.0|0|0.0|100
0|2020-05-06|226.0|0|226.0|0|6.0|0|0.0|100
0|2020-05-07|231.0|0|231.0|0|6.0|0|0.0|100
0|2020-05-08|238.0|0|238.0|0|6.0|0|0.0|100
0|2020-05-09|248.0|0|248.0|0|6.0|0|0.0|100
0|2020-05-10|250.0|0|250.0|0|6.0|0|0.0|100
0|2020-05-11|251.0|0|251.0|0|6.0|0|0.0|100
0|2020-05-12|256.0|0|256.0|0|6.0|0|0.0|100
0|2020-05-13|262.0|0|262.0|0|6.0|0|0.0|100
