|dates|Forsyth_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Forsyth_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Forsyth_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data|Forsyth_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Forsyth_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Forsyth_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Forsyth_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Forsyth_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-12|3.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-13|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-14|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-15|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-16|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-17|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-18|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-19|5.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-20|7.0|0|7.0|0|0.0|0|0.0|100
0|2020-03-21|12.0|0|8.0|0|0.0|0|0.0|100
0|2020-03-22|12.0|0|12.0|0|0.0|0|0.0|100
0|2020-03-23|12.0|0|12.0|0|0.0|0|0.0|100
0|2020-03-24|14.0|0|12.0|0|0.0|0|0.0|100
0|2020-03-25|15.0|0|17.0|0|0.0|0|0.0|100
0|2020-03-26|17.0|0|17.0|0|0.0|0|0.0|100
0|2020-03-27|24.0|0|17.0|0|0.0|0|0.0|100
0|2020-03-28|33.0|0|24.0|0|0.0|0|0.0|100
0|2020-03-29|35.0|0|35.0|0|0.0|0|0.0|100
0|2020-03-30|40.0|0|39.0|0|0.0|0|0.0|100
0|2020-03-31|42.0|0|42.0|0|1.0|0|0.0|100
0|2020-04-01|57.0|0|42.0|0|1.0|0|0.0|100
0|2020-04-02|63.0|0|56.0|0|1.0|0|0.0|100
0|2020-04-03|80.0|0|63.0|0|1.0|0|0.0|100
0|2020-04-04|88.0|0|82.0|0|1.0|0|0.0|100
0|2020-04-05|89.0|0|86.0|0|2.0|0|0.0|100
0|2020-04-06|99.0|0|94.0|0|2.0|0|0.0|100
0|2020-04-07|106.0|0|105.0|0|2.0|0|0.0|100
0|2020-04-08|108.0|0|104.0|0|2.0|0|0.0|100
0|2020-04-09|113.0|0|105.0|0|3.0|0|0.0|100
0|2020-04-10|111.0|0|111.0|0|3.0|0|0.0|100
0|2020-04-11|115.0|0|112.0|0|4.0|0|0.0|100
0|2020-04-12|115.0|0|114.0|0|4.0|0|0.0|100
0|2020-04-13|117.0|0|117.0|0|4.0|0|0.0|100
0|2020-04-14|121.0|0|121.0|0|4.0|0|0.0|100
0|2020-04-15|125.0|0|123.0|0|4.0|0|0.0|100
0|2020-04-16|125.0|0|122.0|0|5.0|0|0.0|100
0|2020-04-17|126.0|0|122.0|0|5.0|0|0.0|100
0|2020-04-18|126.0|0|124.0|0|5.0|0|0.0|100
0|2020-04-19|126.0|0|125.0|0|5.0|0|0.0|100
0|2020-04-20|126.0|0|126.0|0|5.0|0|0.0|100
0|2020-04-21|131.0|0|128.0|0|5.0|0|0.0|100
0|2020-04-22|141.0|0|133.0|0|5.0|0|0.0|100
0|2020-04-23|143.0|0|139.0|0|5.0|0|0.0|100
0|2020-04-24|146.0|0|142.0|0|5.0|0|0.0|100
0|2020-04-25|152.0|0|149.0|0|5.0|0|0.0|100
0|2020-04-26|153.0|0|150.0|0|5.0|0|0.0|100
0|2020-04-27|156.0|0|156.0|0|5.0|0|0.0|100
0|2020-04-28|183.0|0|179.0|0|5.0|0|0.0|100
0|2020-04-29|210.0|0|194.0|0|5.0|0|0.0|100
0|2020-04-30|242.0|0|219.0|0|5.0|0|0.0|100
0|2020-05-01|245.0|0|245.0|0|5.0|0|0.0|100
0|2020-05-02|266.0|0|266.0|0|5.0|0|0.0|100
0|2020-05-03|267.0|0|267.0|0|5.0|0|0.0|100
0|2020-05-04|271.0|0|271.0|0|5.0|0|0.0|100
0|2020-05-05|287.0|0|287.0|0|5.0|0|0.0|100
0|2020-05-06|329.0|0|308.0|0|5.0|0|0.0|100
0|2020-05-07|332.0|0|332.0|0|5.0|0|0.0|100
0|2020-05-08|353.0|0|353.0|0|5.0|0|0.0|100
0|2020-05-09|369.0|0|369.0|0|5.0|0|0.0|100
0|2020-05-10|386.0|0|373.0|0|5.0|0|0.0|100
0|2020-05-11|395.0|0|379.0|0|5.0|0|0.0|100
0|2020-05-12|445.0|0|397.0|0|5.0|0|0.0|100
