|dates|Allen_Indiana_UnitedStates.JHU_ConfirmedCases.data|Allen_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Allen_Indiana_UnitedStates.NYT_ConfirmedCases.data|Allen_Indiana_UnitedStates.NYT_ConfirmedCases.missing|Allen_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Allen_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Allen_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Allen_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-19|2.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-20|4.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-21|4.0|0|4.0|0|0.0|0|0.0|100
0|2020-03-22|4.0|0|4.0|0|0.0|0|0.0|100
0|2020-03-23|4.0|0|7.0|0|1.0|0|0.0|100
0|2020-03-24|7.0|0|8.0|0|1.0|0|0.0|100
0|2020-03-25|7.0|0|8.0|0|1.0|0|0.0|100
0|2020-03-26|8.0|0|20.0|0|1.0|0|0.0|100
0|2020-03-27|21.0|0|22.0|0|1.0|0|0.0|100
0|2020-03-28|23.0|0|24.0|0|1.0|0|0.0|100
0|2020-03-29|26.0|0|27.0|0|1.0|0|0.0|100
0|2020-03-30|28.0|0|31.0|0|1.0|0|0.0|100
0|2020-03-31|30.0|0|37.0|0|1.0|0|0.0|100
0|2020-04-01|39.0|0|40.0|0|2.0|0|0.0|100
0|2020-04-02|46.0|0|47.0|0|2.0|0|0.0|100
0|2020-04-03|58.0|0|59.0|0|2.0|0|0.0|100
0|2020-04-04|59.0|0|61.0|0|2.0|0|0.0|100
0|2020-04-05|63.0|0|65.0|0|2.0|0|0.0|100
0|2020-04-06|87.0|0|89.0|0|6.0|0|0.0|100
0|2020-04-07|90.0|0|89.0|0|6.0|0|0.0|100
0|2020-04-08|95.0|0|97.0|0|7.0|0|0.0|100
0|2020-04-09|105.0|0|107.0|0|7.0|0|0.0|100
0|2020-04-10|119.0|0|121.0|0|9.0|0|0.0|100
0|2020-04-11|136.0|0|138.0|0|10.0|0|0.0|100
0|2020-04-12|147.0|0|149.0|0|10.0|0|0.0|100
0|2020-04-13|156.0|0|158.0|0|11.0|0|0.0|100
0|2020-04-14|167.0|0|169.0|0|13.0|0|0.0|100
0|2020-04-15|180.0|0|182.0|0|15.0|0|0.0|100
0|2020-04-16|224.0|0|226.0|0|16.0|0|0.0|100
0|2020-04-17|271.0|0|273.0|0|19.0|0|0.0|100
0|2020-04-18|293.0|0|296.0|0|16.0|0|0.0|100
0|2020-04-19|301.0|0|304.0|0|19.0|0|0.0|100
0|2020-04-20|327.0|0|329.0|0|27.0|0|0.0|100
0|2020-04-21|336.0|0|341.0|0|27.0|0|0.0|100
0|2020-04-22|343.0|0|348.0|0|27.0|0|0.0|100
0|2020-04-23|387.0|0|392.0|0|23.0|0|0.0|100
0|2020-04-24|400.0|0|405.0|0|24.0|0|0.0|100
0|2020-04-25|427.0|0|432.0|0|26.0|0|0.0|100
0|2020-04-26|439.0|0|444.0|0|27.0|0|0.0|100
0|2020-04-27|486.0|0|489.0|0|33.0|0|0.0|100
0|2020-04-28|504.0|0|507.0|0|37.0|0|0.0|100
0|2020-04-29|528.0|0|532.0|0|43.0|0|0.0|100
0|2020-04-30|560.0|0|565.0|0|50.0|0|0.0|100
0|2020-05-01|588.0|0|593.0|0|51.0|0|0.0|100
0|2020-05-02|600.0|0|605.0|0|52.0|0|0.0|100
0|2020-05-03|619.0|0|624.0|0|54.0|0|0.0|100
0|2020-05-04|664.0|0|669.0|0|54.0|0|0.0|100
0|2020-05-05|695.0|0|700.0|0|55.0|0|0.0|100
0|2020-05-06|718.0|0|723.0|0|56.0|0|0.0|100
0|2020-05-07|743.0|0|748.0|0|58.0|0|0.0|100
0|2020-05-08|781.0|0|786.0|0|58.0|0|0.0|100
0|2020-05-09|800.0|0|805.0|0|58.0|0|0.0|100
0|2020-05-10|816.0|0|821.0|0|58.0|0|0.0|100
0|2020-05-11|834.0|0|839.0|0|59.0|0|0.0|100
0|2020-05-12|867.0|0|874.0|0|59.0|0|0.0|100
0|2020-05-13|877.0|0|884.0|0|60.0|0|0.0|100
