|dates|Kershaw_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Kershaw_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Kershaw_SouthCarolina_UnitedStates.NYT_ConfirmedCases.data|Kershaw_SouthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Kershaw_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Kershaw_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Kershaw_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Kershaw_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-07|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-08|1.0|0|4.0|0|0.0|0|0.0|100
0|2020-03-09|1.0|0|5.0|0|0.0|0|0.0|100
0|2020-03-10|5.0|0|7.0|0|0.0|0|0.0|100
0|2020-03-11|7.0|0|7.0|0|0.0|0|0.0|100
0|2020-03-12|4.0|0|8.0|0|0.0|0|0.0|100
0|2020-03-13|5.0|0|9.0|0|0.0|0|0.0|100
0|2020-03-14|11.0|0|11.0|0|0.0|0|0.0|100
0|2020-03-15|11.0|0|14.0|0|0.0|0|0.0|100
0|2020-03-16|15.0|0|17.0|0|0.0|0|0.0|100
0|2020-03-17|22.0|0|22.0|0|0.0|0|0.0|100
0|2020-03-18|25.0|0|25.0|0|0.0|0|0.0|100
0|2020-03-19|29.0|0|29.0|0|0.0|0|0.0|100
0|2020-03-20|36.0|0|36.0|0|0.0|0|0.0|100
0|2020-03-21|43.0|0|42.0|0|0.0|0|0.0|100
0|2020-03-22|44.0|0|44.0|0|0.0|0|0.0|100
0|2020-03-23|54.0|0|54.0|0|1.0|0|0.0|100
0|2020-03-24|58.0|0|58.0|0|1.0|0|0.0|100
0|2020-03-25|63.0|0|63.0|0|1.0|0|0.0|100
0|2020-03-26|63.0|0|64.0|0|1.0|0|0.0|100
0|2020-03-27|70.0|0|70.0|0|2.0|0|0.0|100
0|2020-03-28|77.0|0|77.0|0|2.0|0|0.0|100
0|2020-03-29|83.0|0|83.0|0|2.0|0|0.0|100
0|2020-03-30|99.0|0|99.0|0|2.0|0|0.0|100
0|2020-03-31|105.0|0|105.0|0|2.0|0|0.0|100
0|2020-04-01|116.0|0|116.0|0|2.0|0|0.0|100
0|2020-04-02|129.0|0|129.0|0|2.0|0|0.0|100
0|2020-04-03|136.0|0|136.0|0|2.0|0|0.0|100
0|2020-04-04|141.0|0|141.0|0|2.0|0|0.0|100
0|2020-04-05|148.0|0|148.0|0|2.0|0|0.0|100
0|2020-04-06|152.0|0|152.0|0|2.0|0|0.0|100
0|2020-04-07|159.0|0|159.0|0|2.0|0|0.0|100
0|2020-04-08|159.0|0|165.0|0|2.0|0|0.0|100
0|2020-04-09|170.0|0|170.0|0|3.0|0|0.0|100
0|2020-04-10|177.0|0|177.0|0|3.0|0|0.0|100
0|2020-04-11|178.0|0|178.0|0|4.0|0|0.0|100
0|2020-04-12|179.0|0|179.0|0|4.0|0|0.0|100
0|2020-04-13|181.0|0|181.0|0|4.0|0|0.0|100
0|2020-04-14|187.0|0|187.0|0|5.0|0|0.0|100
0|2020-04-15|187.0|0|187.0|0|7.0|0|0.0|100
0|2020-04-16|189.0|0|189.0|0|8.0|0|0.0|100
0|2020-04-17|190.0|0|190.0|0|8.0|0|0.0|100
0|2020-04-18|195.0|0|195.0|0|8.0|0|0.0|100
0|2020-04-19|197.0|0|197.0|0|8.0|0|0.0|100
0|2020-04-20|201.0|0|201.0|0|9.0|0|0.0|100
0|2020-04-21|201.0|0|203.0|0|9.0|0|0.0|100
0|2020-04-22|205.0|0|205.0|0|9.0|0|0.0|100
0|2020-04-23|208.0|0|208.0|0|9.0|0|0.0|100
0|2020-04-24|211.0|0|211.0|0|10.0|0|0.0|100
0|2020-04-25|215.0|0|215.0|0|10.0|0|0.0|100
0|2020-04-26|218.0|0|218.0|0|10.0|0|0.0|100
0|2020-04-27|223.0|0|223.0|0|10.0|0|0.0|100
0|2020-04-28|229.0|0|229.0|0|10.0|0|0.0|100
0|2020-04-29|234.0|0|234.0|0|10.0|0|0.0|100
0|2020-04-30|237.0|0|237.0|0|10.0|0|0.0|100
0|2020-05-01|237.0|0|237.0|0|10.0|0|0.0|100
0|2020-05-02|243.0|0|243.0|0|10.0|0|0.0|100
0|2020-05-03|245.0|0|245.0|0|10.0|0|0.0|100
0|2020-05-04|245.0|0|245.0|0|10.0|0|0.0|100
0|2020-05-05|247.0|0|247.0|0|10.0|0|0.0|100
0|2020-05-06|245.0|0|245.0|0|10.0|0|0.0|100
0|2020-05-07|250.0|0|250.0|0|12.0|0|0.0|100
0|2020-05-08|250.0|0|250.0|0|12.0|0|0.0|100
0|2020-05-09|253.0|0|253.0|0|12.0|0|0.0|100
0|2020-05-10|253.0|0|253.0|0|12.0|0|0.0|100
0|2020-05-11|257.0|0|257.0|0|12.0|0|0.0|100
0|2020-05-12|259.0|0|259.0|0|12.0|0|0.0|100
