|dates|Washington_Oklahoma_UnitedStates.JHU_ConfirmedCases.data|Washington_Oklahoma_UnitedStates.JHU_ConfirmedCases.missing|Washington_Oklahoma_UnitedStates.NYT_ConfirmedCases.data|Washington_Oklahoma_UnitedStates.NYT_ConfirmedCases.missing|Washington_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.data|Washington_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.missing|Washington_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.data|Washington_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-19|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-20|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-21|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-22|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-23|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-24|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-25|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-26|5.0|0|5.0|0|0.0|0|0.0|100
0|2020-03-27|9.0|0|9.0|0|0.0|0|0.0|100
0|2020-03-28|14.0|0|14.0|0|0.0|0|0.0|100
0|2020-03-29|18.0|0|18.0|0|0.0|0|0.0|100
0|2020-03-30|20.0|0|20.0|0|0.0|0|0.0|100
0|2020-03-31|21.0|0|21.0|0|0.0|0|0.0|100
0|2020-04-01|23.0|0|23.0|0|0.0|0|0.0|100
0|2020-04-02|24.0|0|24.0|0|0.0|0|0.0|100
0|2020-04-03|28.0|0|28.0|0|0.0|0|0.0|100
0|2020-04-04|33.0|0|33.0|0|1.0|0|0.0|100
0|2020-04-05|35.0|0|35.0|0|1.0|0|0.0|100
0|2020-04-06|39.0|0|39.0|0|1.0|0|0.0|100
0|2020-04-07|43.0|0|43.0|0|2.0|0|0.0|100
0|2020-04-08|45.0|0|45.0|0|2.0|0|0.0|100
0|2020-04-09|54.0|0|54.0|0|2.0|0|0.0|100
0|2020-04-10|57.0|0|57.0|0|2.0|0|0.0|100
0|2020-04-11|83.0|0|83.0|0|2.0|0|0.0|100
0|2020-04-12|104.0|0|104.0|0|2.0|0|0.0|100
0|2020-04-13|114.0|0|114.0|0|2.0|0|0.0|100
0|2020-04-14|118.0|0|118.0|0|3.0|0|0.0|100
0|2020-04-15|118.0|0|118.0|0|5.0|0|0.0|100
0|2020-04-16|124.0|0|124.0|0|6.0|0|0.0|100
0|2020-04-17|124.0|0|133.0|0|6.0|0|0.0|100
0|2020-04-18|124.0|0|138.0|0|6.0|0|0.0|100
0|2020-04-19|140.0|0|140.0|0|6.0|0|0.0|100
0|2020-04-20|148.0|0|148.0|0|6.0|0|0.0|100
0|2020-04-21|192.0|0|192.0|0|10.0|0|0.0|100
0|2020-04-22|201.0|0|201.0|0|11.0|0|0.0|100
0|2020-04-23|208.0|0|208.0|0|13.0|0|0.0|100
0|2020-04-24|216.0|0|216.0|0|13.0|0|0.0|100
0|2020-04-25|222.0|0|222.0|0|15.0|0|0.0|100
0|2020-04-26|229.0|0|229.0|0|15.0|0|0.0|100
0|2020-04-27|231.0|0|231.0|0|15.0|0|0.0|100
0|2020-04-28|244.0|0|244.0|0|18.0|0|0.0|100
0|2020-04-29|248.0|0|248.0|0|19.0|0|0.0|100
0|2020-04-30|256.0|0|256.0|0|19.0|0|0.0|100
0|2020-05-01|263.0|0|263.0|0|22.0|0|0.0|100
0|2020-05-02|268.0|0|268.0|0|23.0|0|0.0|100
0|2020-05-03|273.0|0|273.0|0|23.0|0|0.0|100
0|2020-05-04|276.0|0|276.0|0|23.0|0|0.0|100
0|2020-05-05|281.0|0|281.0|0|23.0|0|0.0|100
0|2020-05-06|283.0|0|283.0|0|23.0|0|0.0|100
0|2020-05-07|289.0|0|289.0|0|26.0|0|0.0|100
0|2020-05-08|291.0|0|291.0|0|27.0|0|0.0|100
0|2020-05-09|296.0|0|296.0|0|28.0|0|0.0|100
0|2020-05-10|296.0|0|296.0|0|29.0|0|0.0|100
0|2020-05-11|301.0|0|301.0|0|29.0|0|0.0|100
0|2020-05-12|300.0|0|300.0|0|28.0|0|0.0|100
0|2020-05-13|300.0|0|300.0|0|28.0|0|0.0|100
