|dates|SanDiego_California_UnitedStates.JHU_ConfirmedCases.data|SanDiego_California_UnitedStates.JHU_ConfirmedCases.missing|SanDiego_California_UnitedStates.NYT_ConfirmedCases.data|SanDiego_California_UnitedStates.NYT_ConfirmedCases.missing|SanDiego_California_UnitedStates.JHU_ConfirmedDeaths.data|SanDiego_California_UnitedStates.JHU_ConfirmedDeaths.missing|SanDiego_California_UnitedStates.JHU_ConfirmedRecoveries.data|SanDiego_California_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-11|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-12|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-13|2.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-14|2.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-15|2.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-16|2.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-17|2.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-18|2.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-19|2.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-20|2.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-21|2.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-22|2.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-23|2.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-24|2.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-25|2.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-26|2.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-27|2.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-28|2.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-29|2.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-01|2.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-02|2.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-03|2.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-04|2.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-05|3.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-06|3.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-07|3.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-08|3.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-09|3.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-10|3.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-11|3.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-12|5.0|0|5.0|0|0.0|0|0.0|100
0|2020-03-13|8.0|0|9.0|0|0.0|0|0.0|100
0|2020-03-14|10.0|0|10.0|0|0.0|0|0.0|100
0|2020-03-15|16.0|0|40.0|0|0.0|0|0.0|100
0|2020-03-16|55.0|0|56.0|0|0.0|0|0.0|100
0|2020-03-17|55.0|0|61.0|0|0.0|0|0.0|100
0|2020-03-18|60.0|0|81.0|0|0.0|0|0.0|100
0|2020-03-19|80.0|0|105.0|0|0.0|0|0.0|100
0|2020-03-20|127.0|0|131.0|0|0.0|0|0.0|100
0|2020-03-21|127.0|0|159.0|0|0.0|0|0.0|100
0|2020-03-22|155.0|0|205.0|0|0.0|0|0.0|100
0|2020-03-23|201.0|0|230.0|0|1.0|0|0.0|100
0|2020-03-24|226.0|0|242.0|0|1.0|0|0.0|100
0|2020-03-25|238.0|0|297.0|0|2.0|0|0.0|100
0|2020-03-26|293.0|0|341.0|0|3.0|0|0.0|100
0|2020-03-27|341.0|0|417.0|0|3.0|0|0.0|100
0|2020-03-28|413.0|0|488.0|0|6.0|0|0.0|100
0|2020-03-29|484.0|0|519.0|0|7.0|0|0.0|100
0|2020-03-30|515.0|0|603.0|0|7.0|0|0.0|100
0|2020-03-31|603.0|0|734.0|0|7.0|0|0.0|100
0|2020-04-01|733.0|0|849.0|0|9.0|0|0.0|100
0|2020-04-02|849.0|0|966.0|0|15.0|0|0.0|100
0|2020-04-03|966.0|0|1112.0|0|16.0|0|0.0|100
0|2020-04-04|1112.0|0|1209.0|0|17.0|0|0.0|100
0|2020-04-05|1209.0|0|1326.0|0|18.0|0|0.0|100
0|2020-04-06|1326.0|0|1404.0|0|19.0|0|0.0|100
0|2020-04-07|1404.0|0|1454.0|0|19.0|0|0.0|100
0|2020-04-08|1454.0|0|1530.0|0|31.0|0|0.0|100
0|2020-04-09|1530.0|0|1628.0|0|36.0|0|0.0|100
0|2020-04-10|1628.0|0|1696.0|0|40.0|0|0.0|100
0|2020-04-11|1693.0|0|1761.0|0|44.0|0|0.0|100
0|2020-04-12|1761.0|0|1804.0|0|45.0|0|0.0|100
0|2020-04-13|1804.0|0|1847.0|0|45.0|0|0.0|100
0|2020-04-14|1847.0|0|1930.0|0|47.0|0|0.0|100
0|2020-04-15|1930.0|0|2012.0|0|53.0|0|0.0|100
0|2020-04-16|2012.0|0|2087.0|0|60.0|0|0.0|100
0|2020-04-17|2087.0|0|2158.0|0|63.0|0|0.0|100
0|2020-04-18|2158.0|0|2213.0|0|70.0|0|0.0|100
0|2020-04-19|2213.0|0|2268.0|0|71.0|0|0.0|100
0|2020-04-20|2268.0|0|2325.0|0|71.0|0|0.0|100
0|2020-04-21|2325.0|0|2434.0|0|72.0|0|0.0|100
0|2020-04-22|2491.0|0|2491.0|0|96.0|0|0.0|100
0|2020-04-23|2643.0|0|2643.0|0|100.0|0|0.0|100
0|2020-04-24|2826.0|0|2826.0|0|102.0|0|0.0|100
0|2020-04-25|2943.0|0|2943.0|0|111.0|0|0.0|100
0|2020-04-26|2943.0|0|3043.0|0|111.0|0|0.0|100
0|2020-04-27|3043.0|0|3141.0|0|111.0|0|0.0|100
0|2020-04-28|3141.0|0|3378.0|0|113.0|0|0.0|100
0|2020-04-29|3432.0|0|3432.0|0|120.0|0|0.0|100
0|2020-04-30|3432.0|0|3627.0|0|120.0|0|0.0|100
0|2020-05-01|3564.0|0|3774.0|0|124.0|0|0.0|100
0|2020-05-02|3711.0|0|3905.0|0|134.0|0|0.0|100
0|2020-05-03|3927.0|0|3990.0|0|139.0|0|0.0|100
0|2020-05-04|3927.0|0|4083.0|0|139.0|0|0.0|100
0|2020-05-05|4020.0|0|4223.0|0|144.0|0|0.0|100
0|2020-05-06|4319.0|0|4382.0|0|158.0|0|0.0|100
0|2020-05-07|4319.0|0|4492.0|0|158.0|0|0.0|100
0|2020-05-08|4429.0|0|4725.0|0|165.0|0|0.0|100
0|2020-05-09|4662.0|0|4839.0|0|169.0|0|0.0|100
0|2020-05-10|4776.0|0|4989.0|0|175.0|0|0.0|100
0|2020-05-11|5065.0|0|5128.0|0|175.0|0|0.0|100
