|dates|Grant_Kansas_UnitedStates.BLS_EmployedPopulation.data|Grant_Kansas_UnitedStates.BLS_EmployedPopulation.missing|Grant_Kansas_UnitedStates.BLS_UnemployedPopulation.data|Grant_Kansas_UnitedStates.BLS_UnemployedPopulation.missing|Grant_Kansas_UnitedStates.BLS_UnemploymentRate.data|Grant_Kansas_UnitedStates.BLS_UnemploymentRate.missing|Grant_Kansas_UnitedStates.BLS_LaborForcePopulation.data|Grant_Kansas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|3015.0|0|76.5|0|2.4745269286754|0|3091.5|0
0|2020-01-02|3015.0|0|76.5|0|2.4745269286754|0|3091.5|0
0|2020-01-03|3015.0|0|76.5|0|2.4745269286754|0|3091.5|0
0|2020-01-04|3015.0|0|76.5|0|2.4745269286754|0|3091.5|0
0|2020-01-05|3015.0|0|76.5|0|2.4745269286754|0|3091.5|0
0|2020-01-06|3015.0|0|76.5|0|2.4745269286754|0|3091.5|0
0|2020-01-07|3015.0|0|76.5|0|2.4745269286754|0|3091.5|0
0|2020-01-08|3015.0|0|76.5|0|2.4745269286754|0|3091.5|0
0|2020-01-09|3015.0|0|76.5|0|2.4745269286754|0|3091.5|0
0|2020-01-10|3015.0|0|76.5|0|2.4745269286754|0|3091.5|0
0|2020-01-11|3015.0|0|76.5|0|2.4745269286754|0|3091.5|0
0|2020-01-12|3015.0|0|76.5|0|2.4745269286754|0|3091.5|0
0|2020-01-13|3015.0|0|76.5|0|2.4745269286754|0|3091.5|0
0|2020-01-14|3015.0|0|76.5|0|2.4745269286754|0|3091.5|0
0|2020-01-15|3015.0|0|76.5|0|2.4745269286754|0|3091.5|0
0|2020-01-16|3015.0|0|76.5|0|2.4745269286754|0|3091.5|0
0|2020-01-17|3015.0|0|76.5|0|2.4745269286754|0|3091.5|0
0|2020-01-18|3015.0|0|76.5|0|2.4745269286754|0|3091.5|0
0|2020-01-19|3015.0|0|76.5|0|2.4745269286754|0|3091.5|0
0|2020-01-20|3015.0|0|76.5|0|2.4745269286754|0|3091.5|0
0|2020-01-21|3015.0|0|76.5|0|2.4745269286754|0|3091.5|0
0|2020-01-22|3015.0|0|76.5|0|2.4745269286754|0|3091.5|0
0|2020-01-23|3015.0|0|76.5|0|2.4745269286754|0|3091.5|0
0|2020-01-24|3015.0|0|76.5|0|2.4745269286754|0|3091.5|0
0|2020-01-25|3015.0|0|76.5|0|2.4745269286754|0|3091.5|0
0|2020-01-26|3015.0|0|76.5|0|2.4745269286754|0|3091.5|0
0|2020-01-27|3015.0|0|76.5|0|2.4745269286754|0|3091.5|0
0|2020-01-28|3015.0|0|76.5|0|2.4745269286754|0|3091.5|0
