|dates|Lincoln_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Lincoln_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Lincoln_Mississippi_UnitedStates.NYT_ConfirmedCases.data|Lincoln_Mississippi_UnitedStates.NYT_ConfirmedCases.missing|Lincoln_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Lincoln_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Lincoln_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Lincoln_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-21|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-22|4.0|0|4.0|0|0.0|0|0.0|100
0|2020-03-23|4.0|0|4.0|0|0.0|0|0.0|100
0|2020-03-24|4.0|0|4.0|0|0.0|0|0.0|100
0|2020-03-25|4.0|0|4.0|0|0.0|0|0.0|100
0|2020-03-26|6.0|0|6.0|0|0.0|0|0.0|100
0|2020-03-27|6.0|0|6.0|0|0.0|0|0.0|100
0|2020-03-28|8.0|0|8.0|0|0.0|0|0.0|100
0|2020-03-29|9.0|0|9.0|0|0.0|0|0.0|100
0|2020-03-30|9.0|0|11.0|0|0.0|0|0.0|100
0|2020-03-31|11.0|0|11.0|0|0.0|0|0.0|100
0|2020-04-01|13.0|0|13.0|0|0.0|0|0.0|100
0|2020-04-02|14.0|0|14.0|0|0.0|0|0.0|100
0|2020-04-03|14.0|0|14.0|0|0.0|0|0.0|100
0|2020-04-04|14.0|0|14.0|0|0.0|0|0.0|100
0|2020-04-05|16.0|0|16.0|0|0.0|0|0.0|100
0|2020-04-06|18.0|0|18.0|0|0.0|0|0.0|100
0|2020-04-07|21.0|0|21.0|0|1.0|0|0.0|100
0|2020-04-08|26.0|0|26.0|0|1.0|0|0.0|100
0|2020-04-09|32.0|0|32.0|0|2.0|0|0.0|100
0|2020-04-10|41.0|0|41.0|0|3.0|0|0.0|100
0|2020-04-11|41.0|0|41.0|0|3.0|0|0.0|100
0|2020-04-12|46.0|0|46.0|0|4.0|0|0.0|100
0|2020-04-13|49.0|0|49.0|0|4.0|0|0.0|100
0|2020-04-14|56.0|0|56.0|0|4.0|0|0.0|100
0|2020-04-15|81.0|0|81.0|0|4.0|0|0.0|100
0|2020-04-16|86.0|0|86.0|0|6.0|0|0.0|100
0|2020-04-17|95.0|0|95.0|0|6.0|0|0.0|100
0|2020-04-18|102.0|0|102.0|0|6.0|0|0.0|100
0|2020-04-19|101.0|0|101.0|0|6.0|0|0.0|100
0|2020-04-20|107.0|0|107.0|0|6.0|0|0.0|100
0|2020-04-21|109.0|0|109.0|0|6.0|0|0.0|100
0|2020-04-22|121.0|0|121.0|0|7.0|0|0.0|100
0|2020-04-23|125.0|0|125.0|0|7.0|0|0.0|100
0|2020-04-24|132.0|0|132.0|0|7.0|0|0.0|100
0|2020-04-25|136.0|0|136.0|0|8.0|0|0.0|100
0|2020-04-26|136.0|0|136.0|0|9.0|0|0.0|100
0|2020-04-27|136.0|0|136.0|0|9.0|0|0.0|100
0|2020-04-28|136.0|0|136.0|0|9.0|0|0.0|100
0|2020-04-29|141.0|0|141.0|0|9.0|0|0.0|100
0|2020-04-30|141.0|0|141.0|0|10.0|0|0.0|100
0|2020-05-01|143.0|0|143.0|0|11.0|0|0.0|100
0|2020-05-02|150.0|0|150.0|0|11.0|0|0.0|100
0|2020-05-03|151.0|0|151.0|0|11.0|0|0.0|100
0|2020-05-04|154.0|0|154.0|0|11.0|0|0.0|100
0|2020-05-05|155.0|0|155.0|0|12.0|0|0.0|100
0|2020-05-06|166.0|0|166.0|0|12.0|0|0.0|100
0|2020-05-07|179.0|0|179.0|0|12.0|0|0.0|100
0|2020-05-08|179.0|0|179.0|0|12.0|0|0.0|100
0|2020-05-09|184.0|0|184.0|0|13.0|0|0.0|100
0|2020-05-10|186.0|0|186.0|0|14.0|0|0.0|100
0|2020-05-11|186.0|0|186.0|0|14.0|0|0.0|100
0|2020-05-12|189.0|0|189.0|0|14.0|0|0.0|100
0|2020-05-13|191.0|0|191.0|0|15.0|0|0.0|100
