|dates|Fremont_Wyoming_UnitedStates.JHU_ConfirmedCases.data|Fremont_Wyoming_UnitedStates.JHU_ConfirmedCases.missing|Fremont_Wyoming_UnitedStates.NYT_ConfirmedCases.data|Fremont_Wyoming_UnitedStates.NYT_ConfirmedCases.missing|Fremont_Wyoming_UnitedStates.JHU_ConfirmedDeaths.data|Fremont_Wyoming_UnitedStates.JHU_ConfirmedDeaths.missing|Fremont_Wyoming_UnitedStates.JHU_ConfirmedRecoveries.data|Fremont_Wyoming_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-13|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-14|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-15|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-16|1.0|0|8.0|0|0.0|0|0.0|100
0|2020-03-17|8.0|0|8.0|0|0.0|0|0.0|100
0|2020-03-18|8.0|0|8.0|0|0.0|0|0.0|100
0|2020-03-19|8.0|0|8.0|0|0.0|0|0.0|100
0|2020-03-20|9.0|0|9.0|0|0.0|0|0.0|100
0|2020-03-21|9.0|0|9.0|0|0.0|0|0.0|100
0|2020-03-22|10.0|0|10.0|0|0.0|0|0.0|100
0|2020-03-23|10.0|0|10.0|0|0.0|0|0.0|100
0|2020-03-24|10.0|0|12.0|0|0.0|0|0.0|100
0|2020-03-25|13.0|0|14.0|0|0.0|0|0.0|100
0|2020-03-26|14.0|0|14.0|0|0.0|0|0.0|100
0|2020-03-27|17.0|0|17.0|0|0.0|0|0.0|100
0|2020-03-28|20.0|0|21.0|0|0.0|0|0.0|100
0|2020-03-29|23.0|0|23.0|0|0.0|0|0.0|100
0|2020-03-30|24.0|0|24.0|0|0.0|0|0.0|100
0|2020-03-31|25.0|0|25.0|0|0.0|0|0.0|100
0|2020-04-01|25.0|0|25.0|0|0.0|0|0.0|100
0|2020-04-02|26.0|0|26.0|0|0.0|0|0.0|100
0|2020-04-03|27.0|0|27.0|0|0.0|0|0.0|100
0|2020-04-04|36.0|0|36.0|0|0.0|0|0.0|100
0|2020-04-05|37.0|0|37.0|0|0.0|0|0.0|100
0|2020-04-06|38.0|0|38.0|0|0.0|0|0.0|100
0|2020-04-07|38.0|0|38.0|0|0.0|0|0.0|100
0|2020-04-08|38.0|0|37.0|0|0.0|0|0.0|100
0|2020-04-09|38.0|0|45.0|0|0.0|0|0.0|100
0|2020-04-10|38.0|0|45.0|0|0.0|0|0.0|100
0|2020-04-11|39.0|0|46.0|0|0.0|0|0.0|100
0|2020-04-12|40.0|0|47.0|0|0.0|0|0.0|100
0|2020-04-13|41.0|0|48.0|0|0.0|0|0.0|100
0|2020-04-14|42.0|0|48.0|0|0.0|0|0.0|100
0|2020-04-15|42.0|0|50.0|0|0.0|0|0.0|100
0|2020-04-16|43.0|0|50.0|0|0.0|0|0.0|100
0|2020-04-17|45.0|0|50.0|0|0.0|0|0.0|100
0|2020-04-18|47.0|0|52.0|0|0.0|0|0.0|100
0|2020-04-19|49.0|0|54.0|0|0.0|0|0.0|100
0|2020-04-20|51.0|0|56.0|0|0.0|0|0.0|100
0|2020-04-21|58.0|0|57.0|0|0.0|0|0.0|100
0|2020-04-22|57.0|0|57.0|0|0.0|0|0.0|100
0|2020-04-23|59.0|0|59.0|0|0.0|0|0.0|100
0|2020-04-24|72.0|0|72.0|0|0.0|0|0.0|100
0|2020-04-25|83.0|0|76.0|0|0.0|0|0.0|100
0|2020-04-26|91.0|0|91.0|0|0.0|0|0.0|100
0|2020-04-27|106.0|0|106.0|0|0.0|0|0.0|100
0|2020-04-28|109.0|0|109.0|0|0.0|0|0.0|100
0|2020-04-29|110.0|0|110.0|0|0.0|0|0.0|100
0|2020-04-30|116.0|0|116.0|0|0.0|0|0.0|100
0|2020-05-01|120.0|0|120.0|0|0.0|0|0.0|100
0|2020-05-02|128.0|0|128.0|0|0.0|0|0.0|100
0|2020-05-03|131.0|0|131.0|0|0.0|0|0.0|100
0|2020-05-04|137.0|0|137.0|0|0.0|0|0.0|100
0|2020-05-05|140.0|0|140.0|0|0.0|0|0.0|100
0|2020-05-06|164.0|0|164.0|0|0.0|0|0.0|100
0|2020-05-07|168.0|0|168.0|0|0.0|0|0.0|100
0|2020-05-08|175.0|0|175.0|0|0.0|0|0.0|100
0|2020-05-09|180.0|0|180.0|0|0.0|0|0.0|100
0|2020-05-10|187.0|0|187.0|0|0.0|0|0.0|100
0|2020-05-11|191.0|0|191.0|0|0.0|0|0.0|100
0|2020-05-12|193.0|0|193.0|0|0.0|0|0.0|100
0|2020-05-13|202.0|0|202.0|0|0.0|0|0.0|100
