|dates|Wilson_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Wilson_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Wilson_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Wilson_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Wilson_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Wilson_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Wilson_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Wilson_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-19|0.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-20|1.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-21|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-22|2.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-23|6.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-24|7.0|0|7.0|0|0.0|0|0.0|100
0|2020-03-25|10.0|0|10.0|0|0.0|0|0.0|100
0|2020-03-26|13.0|0|13.0|0|0.0|0|0.0|100
0|2020-03-27|20.0|0|20.0|0|0.0|0|0.0|100
0|2020-03-28|20.0|0|20.0|0|0.0|0|0.0|100
0|2020-03-29|27.0|0|27.0|0|0.0|0|0.0|100
0|2020-03-30|27.0|0|32.0|0|0.0|0|0.0|100
0|2020-03-31|39.0|0|32.0|0|0.0|0|0.0|100
0|2020-04-01|45.0|0|45.0|0|0.0|0|0.0|100
0|2020-04-02|62.0|0|62.0|0|0.0|0|0.0|100
0|2020-04-03|71.0|0|71.0|0|0.0|0|0.0|100
0|2020-04-04|82.0|0|82.0|0|0.0|0|0.0|100
0|2020-04-05|93.0|0|93.0|0|0.0|0|0.0|100
0|2020-04-06|97.0|0|97.0|0|0.0|0|0.0|100
0|2020-04-07|113.0|0|113.0|0|0.0|0|0.0|100
0|2020-04-08|117.0|0|117.0|0|0.0|0|0.0|100
0|2020-04-09|123.0|0|123.0|0|1.0|0|0.0|100
0|2020-04-10|129.0|0|129.0|0|1.0|0|0.0|100
0|2020-04-11|135.0|0|135.0|0|1.0|0|0.0|100
0|2020-04-12|135.0|0|135.0|0|1.0|0|0.0|100
0|2020-04-13|143.0|0|143.0|0|1.0|0|0.0|100
0|2020-04-14|145.0|0|145.0|0|1.0|0|0.0|100
0|2020-04-15|145.0|0|155.0|0|1.0|0|0.0|100
0|2020-04-16|155.0|0|161.0|0|1.0|0|0.0|100
0|2020-04-17|161.0|0|171.0|0|1.0|0|0.0|100
0|2020-04-18|171.0|0|173.0|0|1.0|0|0.0|100
0|2020-04-19|181.0|0|181.0|0|1.0|0|0.0|100
0|2020-04-20|185.0|0|185.0|0|1.0|0|0.0|100
0|2020-04-21|187.0|0|187.0|0|1.0|0|0.0|100
0|2020-04-22|187.0|0|194.0|0|1.0|0|0.0|100
0|2020-04-23|196.0|0|196.0|0|1.0|0|0.0|100
0|2020-04-24|197.0|0|197.0|0|1.0|0|0.0|100
0|2020-04-25|199.0|0|199.0|0|3.0|0|0.0|100
0|2020-04-26|233.0|0|233.0|0|3.0|0|0.0|100
0|2020-04-27|246.0|0|246.0|0|3.0|0|0.0|100
0|2020-04-28|249.0|0|249.0|0|3.0|0|0.0|100
0|2020-04-29|250.0|0|250.0|0|4.0|0|0.0|100
0|2020-04-30|253.0|0|253.0|0|4.0|0|0.0|100
0|2020-05-01|259.0|0|259.0|0|5.0|0|0.0|100
0|2020-05-02|268.0|0|268.0|0|5.0|0|0.0|100
0|2020-05-03|273.0|0|273.0|0|5.0|0|0.0|100
0|2020-05-04|276.0|0|276.0|0|5.0|0|0.0|100
0|2020-05-05|281.0|0|281.0|0|5.0|0|0.0|100
0|2020-05-06|287.0|0|287.0|0|7.0|0|0.0|100
0|2020-05-07|288.0|0|288.0|0|6.0|0|0.0|100
0|2020-05-08|290.0|0|290.0|0|6.0|0|0.0|100
0|2020-05-09|297.0|0|297.0|0|6.0|0|0.0|100
0|2020-05-10|300.0|0|300.0|0|6.0|0|0.0|100
0|2020-05-11|302.0|0|302.0|0|7.0|0|0.0|100
0|2020-05-12|306.0|0|306.0|0|8.0|0|0.0|100
0|2020-05-13|309.0|0|309.0|0|8.0|0|0.0|100
