|dates|Arapahoe_Colorado_UnitedStates.JHU_ConfirmedCases.data|Arapahoe_Colorado_UnitedStates.JHU_ConfirmedCases.missing|Arapahoe_Colorado_UnitedStates.NYT_ConfirmedCases.data|Arapahoe_Colorado_UnitedStates.NYT_ConfirmedCases.missing|Arapahoe_Colorado_UnitedStates.JHU_ConfirmedDeaths.data|Arapahoe_Colorado_UnitedStates.JHU_ConfirmedDeaths.missing|Arapahoe_Colorado_UnitedStates.JHU_ConfirmedRecoveries.data|Arapahoe_Colorado_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-09|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-10|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-11|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-12|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-13|7.0|0|7.0|0|0.0|0|0.0|100
0|2020-03-14|10.0|0|10.0|0|0.0|0|0.0|100
0|2020-03-15|10.0|0|15.0|0|0.0|0|0.0|100
0|2020-03-16|15.0|0|15.0|0|0.0|0|0.0|100
0|2020-03-17|15.0|0|18.0|0|0.0|0|0.0|100
0|2020-03-18|22.0|0|22.0|0|0.0|0|0.0|100
0|2020-03-19|22.0|0|22.0|0|0.0|0|0.0|100
0|2020-03-20|29.0|0|29.0|0|0.0|0|0.0|100
0|2020-03-21|40.0|0|40.0|0|0.0|0|0.0|100
0|2020-03-22|45.0|0|45.0|0|0.0|0|0.0|100
0|2020-03-23|58.0|0|58.0|0|0.0|0|0.0|100
0|2020-03-24|58.0|0|69.0|0|0.0|0|0.0|100
0|2020-03-25|69.0|0|88.0|0|0.0|0|0.0|100
0|2020-03-26|119.0|0|119.0|0|0.0|0|0.0|100
0|2020-03-27|119.0|0|155.0|0|0.0|0|0.0|100
0|2020-03-28|155.0|0|204.0|0|1.0|0|0.0|100
0|2020-03-29|241.0|0|241.0|0|3.0|0|0.0|100
0|2020-03-30|241.0|0|308.0|0|3.0|0|0.0|100
0|2020-03-31|333.0|0|350.0|0|6.0|0|0.0|100
0|2020-04-01|333.0|0|381.0|0|6.0|0|0.0|100
0|2020-04-02|381.0|0|441.0|0|7.0|0|0.0|100
0|2020-04-03|441.0|0|500.0|0|10.0|0|0.0|100
0|2020-04-04|500.0|0|552.0|0|10.0|0|0.0|100
0|2020-04-05|608.0|0|608.0|0|13.0|0|0.0|100
0|2020-04-06|652.0|0|652.0|0|15.0|0|0.0|100
0|2020-04-07|718.0|0|718.0|0|15.0|0|0.0|100
0|2020-04-08|764.0|0|764.0|0|19.0|0|0.0|100
0|2020-04-09|764.0|0|877.0|0|19.0|0|0.0|100
0|2020-04-10|877.0|0|931.0|0|19.0|0|0.0|100
0|2020-04-11|931.0|0|998.0|0|30.0|0|0.0|100
0|2020-04-12|1083.0|0|1083.0|0|38.0|0|0.0|100
0|2020-04-13|1142.0|0|1142.0|0|39.0|0|0.0|100
0|2020-04-14|1183.0|0|1183.0|0|43.0|0|0.0|100
0|2020-04-15|1183.0|0|1243.0|0|43.0|0|0.0|100
0|2020-04-16|1243.0|0|1342.0|0|52.0|0|0.0|100
0|2020-04-17|1342.0|0|1419.0|0|55.0|0|0.0|100
0|2020-04-18|1419.0|0|1498.0|0|58.0|0|0.0|100
0|2020-04-19|1536.0|0|1536.0|0|65.0|0|0.0|100
0|2020-04-20|1536.0|0|1602.0|0|65.0|0|0.0|100
0|2020-04-21|1649.0|0|1649.0|0|80.0|0|0.0|100
0|2020-04-22|1717.0|0|1717.0|0|87.0|0|0.0|100
0|2020-04-23|1824.0|0|1824.0|0|101.0|0|0.0|100
0|2020-04-24|2030.0|0|2030.0|0|125.0|0|0.0|100
0|2020-04-25|2083.0|0|2083.0|0|127.0|0|0.0|100
0|2020-04-26|2160.0|0|2160.0|0|127.0|0|0.0|100
0|2020-04-27|2252.0|0|2252.0|0|130.0|0|0.0|100
0|2020-04-28|2312.0|0|2312.0|0|136.0|0|0.0|100
0|2020-04-29|2389.0|0|2389.0|0|140.0|0|0.0|100
0|2020-04-30|2472.0|0|2472.0|0|141.0|0|0.0|100
0|2020-05-01|2557.0|0|2557.0|0|152.0|0|0.0|100
0|2020-05-02|2625.0|0|2625.0|0|153.0|0|0.0|100
0|2020-05-03|2706.0|0|2706.0|0|156.0|0|0.0|100
0|2020-05-04|2758.0|0|2758.0|0|157.0|0|0.0|100
0|2020-05-05|2883.0|0|2883.0|0|165.0|0|0.0|100
0|2020-05-06|2977.0|0|2977.0|0|167.0|0|0.0|100
0|2020-05-07|3089.0|0|3089.0|0|172.0|0|0.0|100
0|2020-05-08|3148.0|0|3148.0|0|177.0|0|0.0|100
0|2020-05-09|3228.0|0|3228.0|0|176.0|0|0.0|100
0|2020-05-10|3272.0|0|3272.0|0|176.0|0|0.0|100
0|2020-05-11|3313.0|0|3313.0|0|179.0|0|0.0|100
