|dates|Monroe_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Monroe_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Monroe_Pennsylvania_UnitedStates.NYT_ConfirmedCases.data|Monroe_Pennsylvania_UnitedStates.NYT_ConfirmedCases.missing|Monroe_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Monroe_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Monroe_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Monroe_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-09|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-10|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-11|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-12|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-13|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-14|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-15|3.0|0|7.0|0|0.0|0|0.0|100
0|2020-03-16|8.0|0|9.0|0|0.0|0|0.0|100
0|2020-03-17|8.0|0|9.0|0|0.0|0|0.0|100
0|2020-03-18|8.0|0|9.0|0|0.0|0|0.0|100
0|2020-03-19|15.0|0|15.0|0|0.0|0|0.0|100
0|2020-03-20|19.0|0|19.0|0|0.0|0|0.0|100
0|2020-03-21|25.0|0|25.0|0|0.0|0|0.0|100
0|2020-03-22|31.0|0|31.0|0|0.0|0|0.0|100
0|2020-03-23|43.0|0|43.0|0|1.0|0|0.0|100
0|2020-03-24|45.0|0|45.0|0|1.0|0|0.0|100
0|2020-03-25|51.0|0|51.0|0|1.0|0|0.0|100
0|2020-03-26|67.0|0|67.0|0|2.0|0|0.0|100
0|2020-03-27|98.0|0|98.0|0|2.0|0|0.0|100
0|2020-03-28|106.0|0|106.0|0|2.0|0|0.0|100
0|2020-03-29|135.0|0|135.0|0|3.0|0|0.0|100
0|2020-03-30|182.0|0|182.0|0|7.0|0|0.0|100
0|2020-03-31|236.0|0|236.0|0|7.0|0|0.0|100
0|2020-04-01|278.0|0|278.0|0|8.0|0|0.0|100
0|2020-04-02|321.0|0|321.0|0|10.0|0|0.0|100
0|2020-04-03|397.0|0|397.0|0|10.0|0|0.0|100
0|2020-04-04|484.0|0|484.0|0|11.0|0|0.0|100
0|2020-04-05|528.0|0|528.0|0|11.0|0|0.0|100
0|2020-04-06|572.0|0|572.0|0|11.0|0|0.0|100
0|2020-04-07|610.0|0|610.0|0|12.0|0|0.0|100
0|2020-04-08|671.0|0|671.0|0|17.0|0|0.0|100
0|2020-04-09|716.0|0|716.0|0|19.0|0|0.0|100
0|2020-04-10|752.0|0|752.0|0|19.0|0|0.0|100
0|2020-04-11|774.0|0|774.0|0|22.0|0|0.0|100
0|2020-04-12|795.0|0|795.0|0|23.0|0|0.0|100
0|2020-04-13|816.0|0|816.0|0|24.0|0|0.0|100
0|2020-04-14|847.0|0|847.0|0|27.0|0|0.0|100
0|2020-04-15|872.0|0|872.0|0|28.0|0|0.0|100
0|2020-04-16|898.0|0|898.0|0|29.0|0|0.0|100
0|2020-04-17|929.0|0|929.0|0|29.0|0|0.0|100
0|2020-04-18|943.0|0|943.0|0|34.0|0|0.0|100
0|2020-04-19|963.0|0|963.0|0|38.0|0|0.0|100
0|2020-04-20|970.0|0|970.0|0|39.0|0|0.0|100
0|2020-04-21|995.0|0|995.0|0|46.0|0|0.0|100
0|2020-04-22|1015.0|0|1015.0|0|48.0|0|0.0|100
0|2020-04-23|1024.0|0|1024.0|0|48.0|0|0.0|100
0|2020-04-24|1037.0|0|1037.0|0|48.0|0|0.0|100
0|2020-04-25|1054.0|0|1054.0|0|44.0|0|0.0|100
0|2020-04-26|1065.0|0|1065.0|0|45.0|0|0.0|100
0|2020-04-27|1083.0|0|1083.0|0|46.0|0|0.0|100
0|2020-04-28|1097.0|0|1097.0|0|48.0|0|0.0|100
0|2020-04-29|1111.0|0|1111.0|0|54.0|0|0.0|100
0|2020-04-30|1127.0|0|1127.0|0|54.0|0|0.0|100
0|2020-05-01|1147.0|0|1147.0|0|54.0|0|0.0|100
0|2020-05-02|1165.0|0|1165.0|0|55.0|0|0.0|100
0|2020-05-03|1172.0|0|1172.0|0|55.0|0|0.0|100
0|2020-05-04|1173.0|0|1173.0|0|55.0|0|0.0|100
0|2020-05-05|1186.0|0|1186.0|0|60.0|0|0.0|100
0|2020-05-06|1190.0|0|1190.0|0|60.0|0|0.0|100
0|2020-05-07|1194.0|0|1194.0|0|63.0|0|0.0|100
0|2020-05-08|1198.0|0|1198.0|0|63.0|0|0.0|100
0|2020-05-09|1206.0|0|1206.0|0|63.0|0|0.0|100
0|2020-05-10|1218.0|0|1218.0|0|64.0|0|0.0|100
0|2020-05-11|1224.0|0|1224.0|0|64.0|0|0.0|100
