|dates|Alpena_Michigan_UnitedStates.BLS_EmployedPopulation.data|Alpena_Michigan_UnitedStates.BLS_EmployedPopulation.missing|Alpena_Michigan_UnitedStates.BLS_UnemployedPopulation.data|Alpena_Michigan_UnitedStates.BLS_UnemployedPopulation.missing|Alpena_Michigan_UnitedStates.BLS_UnemploymentRate.data|Alpena_Michigan_UnitedStates.BLS_UnemploymentRate.missing|Alpena_Michigan_UnitedStates.BLS_LaborForcePopulation.data|Alpena_Michigan_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-12-07|12433.0|0|900.0|0|6.750168754218856|0|13333.0|0
0|2020-12-08|12433.0|0|900.0|0|6.750168754218856|0|13333.0|0
0|2020-12-09|12433.0|0|900.0|0|6.750168754218856|0|13333.0|0
0|2020-12-10|12433.0|0|900.0|0|6.750168754218856|0|13333.0|0
0|2020-12-11|12433.0|0|900.0|0|6.750168754218856|0|13333.0|0
0|2020-12-12|12433.0|0|900.0|0|6.750168754218856|0|13333.0|0
0|2020-12-13|12433.0|0|900.0|0|6.750168754218856|0|13333.0|0
0|2020-12-14|12433.0|0|900.0|0|6.750168754218856|0|13333.0|0
0|2020-12-15|12433.0|0|900.0|0|6.750168754218856|0|13333.0|0
0|2020-12-16|12433.0|0|900.0|0|6.750168754218856|0|13333.0|0
0|2020-12-17|12433.0|0|900.0|0|6.750168754218856|0|13333.0|0
0|2020-12-18|12433.0|0|900.0|0|6.750168754218856|0|13333.0|0
0|2020-12-19|12433.0|0|900.0|0|6.750168754218856|0|13333.0|0
0|2020-12-20|12433.0|0|900.0|0|6.750168754218856|0|13333.0|0
0|2020-12-21|12433.0|0|900.0|0|6.750168754218856|0|13333.0|0
0|2020-12-22|12433.0|0|900.0|0|6.750168754218856|0|13333.0|0
0|2020-12-23|12433.0|0|900.0|0|6.750168754218856|0|13333.0|0
0|2020-12-24|12433.0|0|900.0|0|6.750168754218856|0|13333.0|0
0|2020-12-25|12433.0|0|900.0|0|6.750168754218856|0|13333.0|0
0|2020-12-26|12433.0|0|900.0|0|6.750168754218856|0|13333.0|0
0|2020-12-27|12433.0|0|900.0|0|6.750168754218856|0|13333.0|0
0|2020-12-28|12433.0|0|900.0|0|6.750168754218856|0|13333.0|0
0|2020-12-29|12433.0|0|900.0|0|6.750168754218856|0|13333.0|0
0|2020-12-30|12433.0|0|900.0|0|6.750168754218856|0|13333.0|0
0|2020-12-31|12433.0|0|900.0|0|6.750168754218856|0|13333.0|0
0|2021-01-01|12260.0|0|900.0|0|6.838905775075988|0|13160.0|0
0|2021-01-02|12260.0|0|900.0|0|6.838905775075988|0|13160.0|0
0|2021-01-03|12260.0|0|900.0|0|6.838905775075988|0|13160.0|0
0|2021-01-04|12260.0|0|900.0|0|6.838905775075988|0|13160.0|0
0|2021-01-05|12260.0|0|900.0|0|6.838905775075988|0|13160.0|0
0|2021-01-06|12260.0|0|900.0|0|6.838905775075988|0|13160.0|0
0|2021-01-07|12260.0|0|900.0|0|6.838905775075988|0|13160.0|0
0|2021-01-08|12260.0|0|900.0|0|6.838905775075988|0|13160.0|0
0|2021-01-09|12260.0|0|900.0|0|6.838905775075988|0|13160.0|0
0|2021-01-10|12260.0|0|900.0|0|6.838905775075988|0|13160.0|0
0|2021-01-11|12260.0|0|900.0|0|6.838905775075988|0|13160.0|0
0|2021-01-12|12260.0|0|900.0|0|6.838905775075988|0|13160.0|0
0|2021-01-13|12260.0|0|900.0|0|6.838905775075988|0|13160.0|0
0|2021-01-14|12260.0|0|900.0|0|6.838905775075988|0|13160.0|0
0|2021-01-15|12260.0|0|900.0|0|6.838905775075988|0|13160.0|0
0|2021-01-16|12260.0|0|900.0|0|6.838905775075988|0|13160.0|0
0|2021-01-17|12260.0|0|900.0|0|6.838905775075988|0|13160.0|0
0|2021-01-18|12260.0|0|900.0|0|6.838905775075988|0|13160.0|0
0|2021-01-19|12260.0|0|900.0|0|6.838905775075988|0|13160.0|0
0|2021-01-20|12260.0|0|900.0|0|6.838905775075988|0|13160.0|0
0|2021-01-21|12260.0|0|900.0|0|6.838905775075988|0|13160.0|0
0|2021-01-22|12260.0|0|900.0|0|6.838905775075988|0|13160.0|0
0|2021-01-23|12260.0|0|900.0|0|6.838905775075988|0|13160.0|0
0|2021-01-24|12260.0|0|900.0|0|6.838905775075988|0|13160.0|0
0|2021-01-25|12260.0|0|900.0|0|6.838905775075988|0|13160.0|0
0|2021-01-26|12260.0|0|900.0|0|6.838905775075988|0|13160.0|0
0|2021-01-27|12260.0|0|900.0|0|6.838905775075988|0|13160.0|0
0|2021-01-28|12260.0|0|900.0|0|6.838905775075988|0|13160.0|0
0|2021-01-29|12260.0|0|900.0|0|6.838905775075988|0|13160.0|0
0|2021-01-30|12260.0|0|900.0|0|6.838905775075988|0|13160.0|0
0|2021-01-31|12260.0|0|900.0|0|6.838905775075988|0|13160.0|0
0|2021-02-01|12431.0|0|769.0|0|5.825757575757576|0|13200.0|0
0|2021-02-02|12431.0|0|769.0|0|5.825757575757576|0|13200.0|0
0|2021-02-03|12431.0|0|769.0|0|5.825757575757576|0|13200.0|0
0|2021-02-04|12431.0|0|769.0|0|5.825757575757576|0|13200.0|0
0|2021-02-05|12431.0|0|769.0|0|5.825757575757576|0|13200.0|0
0|2021-02-06|12431.0|0|769.0|0|5.825757575757576|0|13200.0|0
0|2021-02-07|12431.0|0|769.0|0|5.825757575757576|0|13200.0|0
0|2021-02-08|12431.0|0|769.0|0|5.825757575757576|0|13200.0|0
0|2021-02-09|12431.0|0|769.0|0|5.825757575757576|0|13200.0|0
0|2021-02-10|12431.0|0|769.0|0|5.825757575757576|0|13200.0|0
0|2021-02-11|12431.0|0|769.0|0|5.825757575757576|0|13200.0|0
0|2021-02-12|12431.0|0|769.0|0|5.825757575757576|0|13200.0|0
0|2021-02-13|12431.0|0|769.0|0|5.825757575757576|0|13200.0|0
0|2021-02-14|12431.0|0|769.0|0|5.825757575757576|0|13200.0|0
0|2021-02-15|12431.0|0|769.0|0|5.825757575757576|0|13200.0|0
0|2021-02-16|12431.0|0|769.0|0|5.825757575757576|0|13200.0|0
0|2021-02-17|12431.0|0|769.0|0|5.825757575757576|0|13200.0|0
0|2021-02-18|12431.0|0|769.0|0|5.825757575757576|0|13200.0|0
0|2021-02-19|12431.0|0|769.0|0|5.825757575757576|0|13200.0|0
0|2021-02-20|12431.0|0|769.0|0|5.825757575757576|0|13200.0|0
0|2021-02-21|12431.0|0|769.0|0|5.825757575757576|0|13200.0|0
0|2021-02-22|12431.0|0|769.0|0|5.825757575757576|0|13200.0|0
0|2021-02-23|12431.0|0|769.0|0|5.825757575757576|0|13200.0|0
0|2021-02-24|12431.0|0|769.0|0|5.825757575757576|0|13200.0|0
0|2021-02-25|12431.0|0|769.0|0|5.825757575757576|0|13200.0|0
0|2021-02-26|12431.0|0|769.0|0|5.825757575757576|0|13200.0|0
0|2021-02-27|12431.0|0|769.0|0|5.825757575757576|0|13200.0|0
0|2021-02-28|12431.0|0|769.0|0|5.825757575757576|0|13200.0|0
0|2021-03-01|12460.0|0|793.0|0|5.983550894137177|0|13253.0|0
0|2021-03-02|12460.0|0|793.0|0|5.983550894137177|0|13253.0|0
0|2021-03-03|12460.0|0|793.0|0|5.983550894137177|0|13253.0|0
0|2021-03-04|12460.0|0|793.0|0|5.983550894137177|0|13253.0|0
0|2021-03-05|12460.0|0|793.0|0|5.983550894137177|0|13253.0|0
0|2021-03-06|12460.0|0|793.0|0|5.983550894137177|0|13253.0|0
0|2021-03-07|12460.0|0|793.0|0|5.983550894137177|0|13253.0|0
0|2021-03-08|12460.0|0|793.0|0|5.983550894137177|0|13253.0|0
0|2021-03-09|12460.0|0|793.0|0|5.983550894137177|0|13253.0|0
0|2021-03-10|12460.0|0|793.0|0|5.983550894137177|0|13253.0|0
0|2021-03-11|12460.0|0|793.0|0|5.983550894137177|0|13253.0|0
0|2021-03-12|12460.0|0|793.0|0|5.983550894137177|0|13253.0|0
0|2021-03-13|12460.0|0|793.0|0|5.983550894137177|0|13253.0|0
0|2021-03-14|12460.0|0|793.0|0|5.983550894137177|0|13253.0|0
0|2021-03-15|12460.0|0|793.0|0|5.983550894137177|0|13253.0|0
0|2021-03-16|12460.0|0|793.0|0|5.983550894137177|0|13253.0|0
0|2021-03-17|12460.0|0|793.0|0|5.983550894137177|0|13253.0|0
0|2021-03-18|12460.0|0|793.0|0|5.983550894137177|0|13253.0|0
0|2021-03-19|12460.0|0|793.0|0|5.983550894137177|0|13253.0|0
0|2021-03-20|12460.0|0|793.0|0|5.983550894137177|0|13253.0|0
0|2021-03-21|12460.0|0|793.0|0|5.983550894137177|0|13253.0|0
0|2021-03-22|12460.0|0|793.0|0|5.983550894137177|0|13253.0|0
0|2021-03-23|12460.0|0|793.0|0|5.983550894137177|0|13253.0|0
0|2021-03-24|12460.0|0|793.0|0|5.983550894137177|0|13253.0|0
0|2021-03-25|12460.0|0|793.0|0|5.983550894137177|0|13253.0|0
0|2021-03-26|12460.0|0|793.0|0|5.983550894137177|0|13253.0|0
0|2021-03-27|12460.0|0|793.0|0|5.983550894137177|0|13253.0|0
0|2021-03-28|12460.0|0|793.0|0|5.983550894137177|0|13253.0|0
0|2021-03-29|12460.0|0|793.0|0|5.983550894137177|0|13253.0|0
0|2021-03-30|12460.0|0|793.0|0|5.983550894137177|0|13253.0|0
0|2021-03-31|12460.0|0|793.0|0|5.983550894137177|0|13253.0|0
0|2021-04-01|12432.0|0|691.0|0|5.265564276461175|0|13123.0|0
0|2021-04-02|12432.0|0|691.0|0|5.265564276461175|0|13123.0|0
0|2021-04-03|12432.0|0|691.0|0|5.265564276461175|0|13123.0|0
0|2021-04-04|12432.0|0|691.0|0|5.265564276461175|0|13123.0|0
0|2021-04-05|12432.0|0|691.0|0|5.265564276461175|0|13123.0|0
0|2021-04-06|12432.0|0|691.0|0|5.265564276461175|0|13123.0|0
0|2021-04-07|12432.0|0|691.0|0|5.265564276461175|0|13123.0|0
0|2021-04-08|12432.0|0|691.0|0|5.265564276461175|0|13123.0|0
0|2021-04-09|12432.0|0|691.0|0|5.265564276461175|0|13123.0|0
0|2021-04-10|12432.0|0|691.0|0|5.265564276461175|0|13123.0|0
0|2021-04-11|12432.0|0|691.0|0|5.265564276461175|0|13123.0|0
0|2021-04-12|12432.0|0|691.0|0|5.265564276461175|0|13123.0|0
0|2021-04-13|12432.0|0|691.0|0|5.265564276461175|0|13123.0|0
0|2021-04-14|12432.0|0|691.0|0|5.265564276461175|0|13123.0|0
0|2021-04-15|12432.0|0|691.0|0|5.265564276461175|0|13123.0|0
0|2021-04-16|12432.0|0|691.0|0|5.265564276461175|0|13123.0|0
0|2021-04-17|12432.0|0|691.0|0|5.265564276461175|0|13123.0|0
0|2021-04-18|12432.0|0|691.0|0|5.265564276461175|0|13123.0|0
0|2021-04-19|12432.0|0|691.0|0|5.265564276461175|0|13123.0|0
0|2021-04-20|12432.0|0|691.0|0|5.265564276461175|0|13123.0|0
0|2021-04-21|12432.0|0|691.0|0|5.265564276461175|0|13123.0|0
0|2021-04-22|12432.0|0|691.0|0|5.265564276461175|0|13123.0|0
0|2021-04-23|12432.0|0|691.0|0|5.265564276461175|0|13123.0|0
0|2021-04-24|12432.0|0|691.0|0|5.265564276461175|0|13123.0|0
0|2021-04-25|12432.0|0|691.0|0|5.265564276461175|0|13123.0|0
0|2021-04-26|12432.0|0|691.0|0|5.265564276461175|0|13123.0|0
0|2021-04-27|12432.0|0|691.0|0|5.265564276461175|0|13123.0|0
0|2021-04-28|12432.0|0|691.0|0|5.265564276461175|0|13123.0|0
0|2021-04-29|12432.0|0|691.0|0|5.265564276461175|0|13123.0|0
0|2021-04-30|12432.0|0|691.0|0|5.265564276461175|0|13123.0|0
0|2021-05-01|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-05-02|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-05-03|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-05-04|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-05-05|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-05-06|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-05-07|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-05-08|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-05-09|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-05-10|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-05-11|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-05-12|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-05-13|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-05-14|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-05-15|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-05-16|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-05-17|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-05-18|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-05-19|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-05-20|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-05-21|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-05-22|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-05-23|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-05-24|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-05-25|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-05-26|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-05-27|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-05-28|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-05-29|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-05-30|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-05-31|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-06-01|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-06-02|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-06-03|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-06-04|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-06-05|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-06-06|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-06-07|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-06-08|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-06-09|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-06-10|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-06-11|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-06-12|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-06-13|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-06-14|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-06-15|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-06-16|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-06-17|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-06-18|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-06-19|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-06-20|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-06-21|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-06-22|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-06-23|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-06-24|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-06-25|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-06-26|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-06-27|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-06-28|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-06-29|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-06-30|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-07-01|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-07-02|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-07-03|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-07-04|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-07-05|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-07-06|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-07-07|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-07-08|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-07-09|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-07-10|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-07-11|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-07-12|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-07-13|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-07-14|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-07-15|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-07-16|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-07-17|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-07-18|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-07-19|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-07-20|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-07-21|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-07-22|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-07-23|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-07-24|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-07-25|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-07-26|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-07-27|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-07-28|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-07-29|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-07-30|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-07-31|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-08-01|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-08-02|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-08-03|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-08-04|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-08-05|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-08-06|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-08-07|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-08-08|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-08-09|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-08-10|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-08-11|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-08-12|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-08-13|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-08-14|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-08-15|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-08-16|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-08-17|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-08-18|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-08-19|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-08-20|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-08-21|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-08-22|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-08-23|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-08-24|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-08-25|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-08-26|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-08-27|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-08-28|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-08-29|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-08-30|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-08-31|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-09-01|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-09-02|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-09-03|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-09-04|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-09-05|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-09-06|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-09-07|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-09-08|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-09-09|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-09-10|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-09-11|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-09-12|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-09-13|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-09-14|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-09-15|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-09-16|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-09-17|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-09-18|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-09-19|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-09-20|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-09-21|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-09-22|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-09-23|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-09-24|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-09-25|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-09-26|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-09-27|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-09-28|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-09-29|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-09-30|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-10-01|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-10-02|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-10-03|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-10-04|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-10-05|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-10-06|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-10-07|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-10-08|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-10-09|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-10-10|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-10-11|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-10-12|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-10-13|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-10-14|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-10-15|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
