|dates|Baca_Colorado_UnitedStates.BLS_EmployedPopulation.data|Baca_Colorado_UnitedStates.BLS_EmployedPopulation.missing|Baca_Colorado_UnitedStates.BLS_UnemployedPopulation.data|Baca_Colorado_UnitedStates.BLS_UnemployedPopulation.missing|Baca_Colorado_UnitedStates.BLS_UnemploymentRate.data|Baca_Colorado_UnitedStates.BLS_UnemploymentRate.missing|Baca_Colorado_UnitedStates.BLS_LaborForcePopulation.data|Baca_Colorado_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-12-03|2307.0|0|56.0|0|2.369868810833686|0|2363.0|0
0|2020-12-04|2307.0|0|56.0|0|2.369868810833686|0|2363.0|0
0|2020-12-05|2307.0|0|56.0|0|2.369868810833686|0|2363.0|0
0|2020-12-06|2307.0|0|56.0|0|2.369868810833686|0|2363.0|0
0|2020-12-07|2307.0|0|56.0|0|2.369868810833686|0|2363.0|0
0|2020-12-08|2307.0|0|56.0|0|2.369868810833686|0|2363.0|0
0|2020-12-09|2307.0|0|56.0|0|2.369868810833686|0|2363.0|0
0|2020-12-10|2307.0|0|56.0|0|2.369868810833686|0|2363.0|0
0|2020-12-11|2307.0|0|56.0|0|2.369868810833686|0|2363.0|0
0|2020-12-12|2307.0|0|56.0|0|2.369868810833686|0|2363.0|0
0|2020-12-13|2307.0|0|56.0|0|2.369868810833686|0|2363.0|0
0|2020-12-14|2307.0|0|56.0|0|2.369868810833686|0|2363.0|0
0|2020-12-15|2307.0|0|56.0|0|2.369868810833686|0|2363.0|0
0|2020-12-16|2307.0|0|56.0|0|2.369868810833686|0|2363.0|0
0|2020-12-17|2307.0|0|56.0|0|2.369868810833686|0|2363.0|0
0|2020-12-18|2307.0|0|56.0|0|2.369868810833686|0|2363.0|0
0|2020-12-19|2307.0|0|56.0|0|2.369868810833686|0|2363.0|0
0|2020-12-20|2307.0|0|56.0|0|2.369868810833686|0|2363.0|0
0|2020-12-21|2307.0|0|56.0|0|2.369868810833686|0|2363.0|0
0|2020-12-22|2307.0|0|56.0|0|2.369868810833686|0|2363.0|0
0|2020-12-23|2307.0|0|56.0|0|2.369868810833686|0|2363.0|0
0|2020-12-24|2307.0|0|56.0|0|2.369868810833686|0|2363.0|0
0|2020-12-25|2307.0|0|56.0|0|2.369868810833686|0|2363.0|0
0|2020-12-26|2307.0|0|56.0|0|2.369868810833686|0|2363.0|0
0|2020-12-27|2307.0|0|56.0|0|2.369868810833686|0|2363.0|0
0|2020-12-28|2307.0|0|56.0|0|2.369868810833686|0|2363.0|0
0|2020-12-29|2307.0|0|56.0|0|2.369868810833686|0|2363.0|0
0|2020-12-30|2307.0|0|56.0|0|2.369868810833686|0|2363.0|0
0|2020-12-31|2307.0|0|56.0|0|2.369868810833686|0|2363.0|0
0|2021-01-01|2213.0|0|66.0|0|2.89600702062308|0|2279.0|0
0|2021-01-02|2213.0|0|66.0|0|2.89600702062308|0|2279.0|0
0|2021-01-03|2213.0|0|66.0|0|2.89600702062308|0|2279.0|0
0|2021-01-04|2213.0|0|66.0|0|2.89600702062308|0|2279.0|0
0|2021-01-05|2213.0|0|66.0|0|2.89600702062308|0|2279.0|0
0|2021-01-06|2213.0|0|66.0|0|2.89600702062308|0|2279.0|0
0|2021-01-07|2213.0|0|66.0|0|2.89600702062308|0|2279.0|0
0|2021-01-08|2213.0|0|66.0|0|2.89600702062308|0|2279.0|0
0|2021-01-09|2213.0|0|66.0|0|2.89600702062308|0|2279.0|0
0|2021-01-10|2213.0|0|66.0|0|2.89600702062308|0|2279.0|0
0|2021-01-11|2213.0|0|66.0|0|2.89600702062308|0|2279.0|0
0|2021-01-12|2213.0|0|66.0|0|2.89600702062308|0|2279.0|0
0|2021-01-13|2213.0|0|66.0|0|2.89600702062308|0|2279.0|0
0|2021-01-14|2213.0|0|66.0|0|2.89600702062308|0|2279.0|0
0|2021-01-15|2213.0|0|66.0|0|2.89600702062308|0|2279.0|0
0|2021-01-16|2213.0|0|66.0|0|2.89600702062308|0|2279.0|0
0|2021-01-17|2213.0|0|66.0|0|2.89600702062308|0|2279.0|0
0|2021-01-18|2213.0|0|66.0|0|2.89600702062308|0|2279.0|0
0|2021-01-19|2213.0|0|66.0|0|2.89600702062308|0|2279.0|0
0|2021-01-20|2213.0|0|66.0|0|2.89600702062308|0|2279.0|0
0|2021-01-21|2213.0|0|66.0|0|2.89600702062308|0|2279.0|0
0|2021-01-22|2213.0|0|66.0|0|2.89600702062308|0|2279.0|0
0|2021-01-23|2213.0|0|66.0|0|2.89600702062308|0|2279.0|0
0|2021-01-24|2213.0|0|66.0|0|2.89600702062308|0|2279.0|0
0|2021-01-25|2213.0|0|66.0|0|2.89600702062308|0|2279.0|0
0|2021-01-26|2213.0|0|66.0|0|2.89600702062308|0|2279.0|0
0|2021-01-27|2213.0|0|66.0|0|2.89600702062308|0|2279.0|0
0|2021-01-28|2213.0|0|66.0|0|2.89600702062308|0|2279.0|0
0|2021-01-29|2213.0|0|66.0|0|2.89600702062308|0|2279.0|0
0|2021-01-30|2213.0|0|66.0|0|2.89600702062308|0|2279.0|0
0|2021-01-31|2213.0|0|66.0|0|2.89600702062308|0|2279.0|0
0|2021-02-01|2091.0|0|64.0|0|2.9698375870069604|0|2155.0|0
0|2021-02-02|2091.0|0|64.0|0|2.9698375870069604|0|2155.0|0
0|2021-02-03|2091.0|0|64.0|0|2.9698375870069604|0|2155.0|0
0|2021-02-04|2091.0|0|64.0|0|2.9698375870069604|0|2155.0|0
0|2021-02-05|2091.0|0|64.0|0|2.9698375870069604|0|2155.0|0
0|2021-02-06|2091.0|0|64.0|0|2.9698375870069604|0|2155.0|0
0|2021-02-07|2091.0|0|64.0|0|2.9698375870069604|0|2155.0|0
0|2021-02-08|2091.0|0|64.0|0|2.9698375870069604|0|2155.0|0
0|2021-02-09|2091.0|0|64.0|0|2.9698375870069604|0|2155.0|0
0|2021-02-10|2091.0|0|64.0|0|2.9698375870069604|0|2155.0|0
0|2021-02-11|2091.0|0|64.0|0|2.9698375870069604|0|2155.0|0
0|2021-02-12|2091.0|0|64.0|0|2.9698375870069604|0|2155.0|0
0|2021-02-13|2091.0|0|64.0|0|2.9698375870069604|0|2155.0|0
0|2021-02-14|2091.0|0|64.0|0|2.9698375870069604|0|2155.0|0
0|2021-02-15|2091.0|0|64.0|0|2.9698375870069604|0|2155.0|0
0|2021-02-16|2091.0|0|64.0|0|2.9698375870069604|0|2155.0|0
0|2021-02-17|2091.0|0|64.0|0|2.9698375870069604|0|2155.0|0
0|2021-02-18|2091.0|0|64.0|0|2.9698375870069604|0|2155.0|0
0|2021-02-19|2091.0|0|64.0|0|2.9698375870069604|0|2155.0|0
0|2021-02-20|2091.0|0|64.0|0|2.9698375870069604|0|2155.0|0
0|2021-02-21|2091.0|0|64.0|0|2.9698375870069604|0|2155.0|0
0|2021-02-22|2091.0|0|64.0|0|2.9698375870069604|0|2155.0|0
0|2021-02-23|2091.0|0|64.0|0|2.9698375870069604|0|2155.0|0
0|2021-02-24|2091.0|0|64.0|0|2.9698375870069604|0|2155.0|0
0|2021-02-25|2091.0|0|64.0|0|2.9698375870069604|0|2155.0|0
0|2021-02-26|2091.0|0|64.0|0|2.9698375870069604|0|2155.0|0
0|2021-02-27|2091.0|0|64.0|0|2.9698375870069604|0|2155.0|0
0|2021-02-28|2091.0|0|64.0|0|2.9698375870069604|0|2155.0|0
0|2021-03-01|2104.0|0|76.0|0|3.4862385321100917|0|2180.0|0
0|2021-03-02|2104.0|0|76.0|0|3.4862385321100917|0|2180.0|0
0|2021-03-03|2104.0|0|76.0|0|3.4862385321100917|0|2180.0|0
0|2021-03-04|2104.0|0|76.0|0|3.4862385321100917|0|2180.0|0
0|2021-03-05|2104.0|0|76.0|0|3.4862385321100917|0|2180.0|0
0|2021-03-06|2104.0|0|76.0|0|3.4862385321100917|0|2180.0|0
0|2021-03-07|2104.0|0|76.0|0|3.4862385321100917|0|2180.0|0
0|2021-03-08|2104.0|0|76.0|0|3.4862385321100917|0|2180.0|0
0|2021-03-09|2104.0|0|76.0|0|3.4862385321100917|0|2180.0|0
0|2021-03-10|2104.0|0|76.0|0|3.4862385321100917|0|2180.0|0
0|2021-03-11|2104.0|0|76.0|0|3.4862385321100917|0|2180.0|0
0|2021-03-12|2104.0|0|76.0|0|3.4862385321100917|0|2180.0|0
0|2021-03-13|2104.0|0|76.0|0|3.4862385321100917|0|2180.0|0
0|2021-03-14|2104.0|0|76.0|0|3.4862385321100917|0|2180.0|0
0|2021-03-15|2104.0|0|76.0|0|3.4862385321100917|0|2180.0|0
0|2021-03-16|2104.0|0|76.0|0|3.4862385321100917|0|2180.0|0
0|2021-03-17|2104.0|0|76.0|0|3.4862385321100917|0|2180.0|0
0|2021-03-18|2104.0|0|76.0|0|3.4862385321100917|0|2180.0|0
0|2021-03-19|2104.0|0|76.0|0|3.4862385321100917|0|2180.0|0
0|2021-03-20|2104.0|0|76.0|0|3.4862385321100917|0|2180.0|0
0|2021-03-21|2104.0|0|76.0|0|3.4862385321100917|0|2180.0|0
0|2021-03-22|2104.0|0|76.0|0|3.4862385321100917|0|2180.0|0
0|2021-03-23|2104.0|0|76.0|0|3.4862385321100917|0|2180.0|0
0|2021-03-24|2104.0|0|76.0|0|3.4862385321100917|0|2180.0|0
0|2021-03-25|2104.0|0|76.0|0|3.4862385321100917|0|2180.0|0
0|2021-03-26|2104.0|0|76.0|0|3.4862385321100917|0|2180.0|0
0|2021-03-27|2104.0|0|76.0|0|3.4862385321100917|0|2180.0|0
0|2021-03-28|2104.0|0|76.0|0|3.4862385321100917|0|2180.0|0
0|2021-03-29|2104.0|0|76.0|0|3.4862385321100917|0|2180.0|0
0|2021-03-30|2104.0|0|76.0|0|3.4862385321100917|0|2180.0|0
0|2021-03-31|2104.0|0|76.0|0|3.4862385321100917|0|2180.0|0
0|2021-04-01|2173.0|0|57.0|0|2.5560538116591927|0|2230.0|0
0|2021-04-02|2173.0|0|57.0|0|2.5560538116591927|0|2230.0|0
0|2021-04-03|2173.0|0|57.0|0|2.5560538116591927|0|2230.0|0
0|2021-04-04|2173.0|0|57.0|0|2.5560538116591927|0|2230.0|0
0|2021-04-05|2173.0|0|57.0|0|2.5560538116591927|0|2230.0|0
0|2021-04-06|2173.0|0|57.0|0|2.5560538116591927|0|2230.0|0
0|2021-04-07|2173.0|0|57.0|0|2.5560538116591927|0|2230.0|0
0|2021-04-08|2173.0|0|57.0|0|2.5560538116591927|0|2230.0|0
0|2021-04-09|2173.0|0|57.0|0|2.5560538116591927|0|2230.0|0
0|2021-04-10|2173.0|0|57.0|0|2.5560538116591927|0|2230.0|0
0|2021-04-11|2173.0|0|57.0|0|2.5560538116591927|0|2230.0|0
0|2021-04-12|2173.0|0|57.0|0|2.5560538116591927|0|2230.0|0
0|2021-04-13|2173.0|0|57.0|0|2.5560538116591927|0|2230.0|0
0|2021-04-14|2173.0|0|57.0|0|2.5560538116591927|0|2230.0|0
0|2021-04-15|2173.0|0|57.0|0|2.5560538116591927|0|2230.0|0
0|2021-04-16|2173.0|0|57.0|0|2.5560538116591927|0|2230.0|0
0|2021-04-17|2173.0|0|57.0|0|2.5560538116591927|0|2230.0|0
0|2021-04-18|2173.0|0|57.0|0|2.5560538116591927|0|2230.0|0
0|2021-04-19|2173.0|0|57.0|0|2.5560538116591927|0|2230.0|0
0|2021-04-20|2173.0|0|57.0|0|2.5560538116591927|0|2230.0|0
0|2021-04-21|2173.0|0|57.0|0|2.5560538116591927|0|2230.0|0
0|2021-04-22|2173.0|0|57.0|0|2.5560538116591927|0|2230.0|0
0|2021-04-23|2173.0|0|57.0|0|2.5560538116591927|0|2230.0|0
0|2021-04-24|2173.0|0|57.0|0|2.5560538116591927|0|2230.0|0
0|2021-04-25|2173.0|0|57.0|0|2.5560538116591927|0|2230.0|0
0|2021-04-26|2173.0|0|57.0|0|2.5560538116591927|0|2230.0|0
0|2021-04-27|2173.0|0|57.0|0|2.5560538116591927|0|2230.0|0
0|2021-04-28|2173.0|0|57.0|0|2.5560538116591927|0|2230.0|0
0|2021-04-29|2173.0|0|57.0|0|2.5560538116591927|0|2230.0|0
0|2021-04-30|2173.0|0|57.0|0|2.5560538116591927|0|2230.0|0
0|2021-05-01|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-05-02|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-05-03|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-05-04|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-05-05|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-05-06|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-05-07|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-05-08|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-05-09|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-05-10|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-05-11|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-05-12|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-05-13|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-05-14|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-05-15|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-05-16|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-05-17|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-05-18|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-05-19|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-05-20|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-05-21|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-05-22|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-05-23|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-05-24|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-05-25|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-05-26|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-05-27|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-05-28|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-05-29|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-05-30|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-05-31|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-06-01|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-06-02|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-06-03|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-06-04|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-06-05|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-06-06|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-06-07|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-06-08|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-06-09|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-06-10|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-06-11|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-06-12|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-06-13|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-06-14|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-06-15|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-06-16|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-06-17|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-06-18|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-06-19|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-06-20|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-06-21|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-06-22|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-06-23|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-06-24|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-06-25|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-06-26|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-06-27|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-06-28|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-06-29|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-06-30|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-07-01|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-07-02|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-07-03|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-07-04|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-07-05|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-07-06|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-07-07|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-07-08|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-07-09|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-07-10|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-07-11|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-07-12|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-07-13|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-07-14|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-07-15|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-07-16|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-07-17|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-07-18|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-07-19|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-07-20|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-07-21|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-07-22|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-07-23|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-07-24|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-07-25|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-07-26|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-07-27|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-07-28|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-07-29|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-07-30|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-07-31|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-08-01|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-08-02|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-08-03|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-08-04|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-08-05|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-08-06|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-08-07|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-08-08|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-08-09|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-08-10|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-08-11|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-08-12|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-08-13|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-08-14|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-08-15|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-08-16|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-08-17|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-08-18|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-08-19|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-08-20|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-08-21|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-08-22|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-08-23|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-08-24|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-08-25|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-08-26|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-08-27|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-08-28|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-08-29|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-08-30|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-08-31|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-09-01|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-09-02|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-09-03|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-09-04|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-09-05|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-09-06|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-09-07|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-09-08|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-09-09|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-09-10|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-09-11|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-09-12|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-09-13|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-09-14|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-09-15|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-09-16|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-09-17|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-09-18|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-09-19|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-09-20|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-09-21|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-09-22|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-09-23|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-09-24|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-09-25|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-09-26|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-09-27|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-09-28|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-09-29|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-09-30|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-10-01|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-10-02|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-10-03|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-10-04|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-10-05|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-10-06|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-10-07|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-10-08|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-10-09|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-10-10|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-10-11|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-10-12|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-10-13|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-10-14|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
0|2021-10-15|2112.0|0|47.0|0|2.176933765632237|0|2159.0|0
