|dates|Lee_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Lee_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Lee_Mississippi_UnitedStates.NYT_ConfirmedCases.data|Lee_Mississippi_UnitedStates.NYT_ConfirmedCases.missing|Lee_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Lee_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Lee_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Lee_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-20|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-21|1.0|0|5.0|0|0.0|0|0.0|100
0|2020-03-22|6.0|0|6.0|0|0.0|0|0.0|100
0|2020-03-23|8.0|0|8.0|0|0.0|0|0.0|100
0|2020-03-24|12.0|0|12.0|0|0.0|0|0.0|100
0|2020-03-25|14.0|0|14.0|0|0.0|0|0.0|100
0|2020-03-26|15.0|0|15.0|0|0.0|0|0.0|100
0|2020-03-27|15.0|0|15.0|0|0.0|0|0.0|100
0|2020-03-28|17.0|0|17.0|0|1.0|0|0.0|100
0|2020-03-29|21.0|0|21.0|0|1.0|0|0.0|100
0|2020-03-30|21.0|0|23.0|0|1.0|0|0.0|100
0|2020-03-31|24.0|0|24.0|0|1.0|0|0.0|100
0|2020-04-01|25.0|0|25.0|0|1.0|0|0.0|100
0|2020-04-02|24.0|0|24.0|0|1.0|0|0.0|100
0|2020-04-03|26.0|0|26.0|0|1.0|0|0.0|100
0|2020-04-04|28.0|0|28.0|0|1.0|0|0.0|100
0|2020-04-05|30.0|0|30.0|0|1.0|0|0.0|100
0|2020-04-06|30.0|0|30.0|0|2.0|0|0.0|100
0|2020-04-07|38.0|0|38.0|0|2.0|0|0.0|100
0|2020-04-08|40.0|0|40.0|0|2.0|0|0.0|100
0|2020-04-09|40.0|0|40.0|0|2.0|0|0.0|100
0|2020-04-10|41.0|0|41.0|0|2.0|0|0.0|100
0|2020-04-11|42.0|0|42.0|0|3.0|0|0.0|100
0|2020-04-12|43.0|0|43.0|0|4.0|0|0.0|100
0|2020-04-13|46.0|0|46.0|0|4.0|0|0.0|100
0|2020-04-14|46.0|0|46.0|0|4.0|0|0.0|100
0|2020-04-15|46.0|0|46.0|0|4.0|0|0.0|100
0|2020-04-16|48.0|0|48.0|0|4.0|0|0.0|100
0|2020-04-17|49.0|0|49.0|0|4.0|0|0.0|100
0|2020-04-18|54.0|0|54.0|0|4.0|0|0.0|100
0|2020-04-19|60.0|0|60.0|0|4.0|0|0.0|100
0|2020-04-20|63.0|0|63.0|0|4.0|0|0.0|100
0|2020-04-21|64.0|0|64.0|0|4.0|0|0.0|100
0|2020-04-22|64.0|0|64.0|0|4.0|0|0.0|100
0|2020-04-23|66.0|0|66.0|0|4.0|0|0.0|100
0|2020-04-24|70.0|0|70.0|0|4.0|0|0.0|100
0|2020-04-25|72.0|0|72.0|0|5.0|0|0.0|100
0|2020-04-26|72.0|0|72.0|0|5.0|0|0.0|100
0|2020-04-27|70.0|0|70.0|0|4.0|0|0.0|100
0|2020-04-28|71.0|0|71.0|0|4.0|0|0.0|100
0|2020-04-29|70.0|0|70.0|0|4.0|0|0.0|100
0|2020-04-30|69.0|0|69.0|0|4.0|0|0.0|100
0|2020-05-01|71.0|0|71.0|0|4.0|0|0.0|100
0|2020-05-02|71.0|0|71.0|0|4.0|0|0.0|100
0|2020-05-03|71.0|0|71.0|0|4.0|0|0.0|100
0|2020-05-04|72.0|0|72.0|0|4.0|0|0.0|100
0|2020-05-05|75.0|0|75.0|0|4.0|0|0.0|100
0|2020-05-06|73.0|0|73.0|0|4.0|0|0.0|100
0|2020-05-07|73.0|0|73.0|0|4.0|0|0.0|100
0|2020-05-08|77.0|0|77.0|0|4.0|0|0.0|100
0|2020-05-09|78.0|0|78.0|0|4.0|0|0.0|100
0|2020-05-10|77.0|0|77.0|0|4.0|0|0.0|100
0|2020-05-11|80.0|0|80.0|0|4.0|0|0.0|100
0|2020-05-12|81.0|0|81.0|0|4.0|0|0.0|100
0|2020-05-13|81.0|0|81.0|0|4.0|0|0.0|100
