|dates|Caddo_Louisiana_UnitedStates.JHU_ConfirmedCases.data|Caddo_Louisiana_UnitedStates.JHU_ConfirmedCases.missing|Caddo_Louisiana_UnitedStates.NYT_ConfirmedCases.data|Caddo_Louisiana_UnitedStates.NYT_ConfirmedCases.missing|Caddo_Louisiana_UnitedStates.JHU_ConfirmedDeaths.data|Caddo_Louisiana_UnitedStates.JHU_ConfirmedDeaths.missing|Caddo_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.data|Caddo_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-11|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-12|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-13|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-14|1.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-15|1.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-16|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-17|4.0|0|4.0|0|0.0|0|0.0|100
0|2020-03-18|5.0|0|6.0|0|0.0|0|0.0|100
0|2020-03-19|7.0|0|10.0|0|0.0|0|0.0|100
0|2020-03-20|12.0|0|12.0|0|0.0|0|0.0|100
0|2020-03-21|15.0|0|15.0|0|0.0|0|0.0|100
0|2020-03-22|15.0|0|16.0|0|0.0|0|0.0|100
0|2020-03-23|34.0|0|34.0|0|0.0|0|0.0|100
0|2020-03-24|40.0|0|40.0|0|0.0|0|0.0|100
0|2020-03-25|93.0|0|93.0|0|0.0|0|0.0|100
0|2020-03-26|115.0|0|115.0|0|1.0|0|0.0|100
0|2020-03-27|140.0|0|140.0|0|2.0|0|0.0|100
0|2020-03-28|189.0|0|189.0|0|2.0|0|0.0|100
0|2020-03-29|219.0|0|219.0|0|5.0|0|0.0|100
0|2020-03-30|222.0|0|222.0|0|5.0|0|0.0|100
0|2020-03-31|242.0|0|242.0|0|7.0|0|0.0|100
0|2020-04-01|298.0|0|298.0|0|7.0|0|0.0|100
0|2020-04-02|336.0|0|336.0|0|10.0|0|0.0|100
0|2020-04-03|377.0|0|377.0|0|10.0|0|0.0|100
0|2020-04-04|598.0|0|598.0|0|10.0|0|0.0|100
0|2020-04-05|647.0|0|647.0|0|19.0|0|0.0|100
0|2020-04-06|711.0|0|711.0|0|21.0|0|0.0|100
0|2020-04-07|756.0|0|756.0|0|26.0|0|0.0|100
0|2020-04-08|803.0|0|803.0|0|25.0|0|0.0|100
0|2020-04-09|906.0|0|906.0|0|26.0|0|0.0|100
0|2020-04-10|950.0|0|950.0|0|39.0|0|0.0|100
0|2020-04-11|974.0|0|974.0|0|39.0|0|0.0|100
0|2020-04-12|1018.0|0|1018.0|0|39.0|0|0.0|100
0|2020-04-13|1033.0|0|1033.0|0|39.0|0|0.0|100
0|2020-04-14|1097.0|0|1097.0|0|56.0|0|0.0|100
0|2020-04-15|1118.0|0|1118.0|0|57.0|0|0.0|100
0|2020-04-16|1154.0|0|1154.0|0|55.0|0|0.0|100
0|2020-04-17|1220.0|0|1220.0|0|56.0|0|0.0|100
0|2020-04-18|1244.0|0|1244.0|0|68.0|0|0.0|100
0|2020-04-19|1261.0|0|1261.0|0|70.0|0|0.0|100
0|2020-04-20|1276.0|0|1276.0|0|72.0|0|0.0|100
0|2020-04-21|1310.0|0|1310.0|0|83.0|0|0.0|100
0|2020-04-22|1332.0|0|1332.0|0|84.0|0|0.0|100
0|2020-04-23|1389.0|0|1389.0|0|85.0|0|0.0|100
0|2020-04-24|1407.0|0|1407.0|0|85.0|0|0.0|100
0|2020-04-25|1432.0|0|1432.0|0|92.0|0|0.0|100
0|2020-04-26|1448.0|0|1448.0|0|93.0|0|0.0|100
0|2020-04-27|1470.0|0|1470.0|0|93.0|0|0.0|100
0|2020-04-28|1497.0|0|1497.0|0|100.0|0|0.0|100
0|2020-04-29|1525.0|0|1525.0|0|106.0|0|0.0|100
0|2020-04-30|1540.0|0|1540.0|0|107.0|0|0.0|100
0|2020-05-01|1579.0|0|1579.0|0|113.0|0|0.0|100
0|2020-05-02|1601.0|0|1601.0|0|113.0|0|0.0|100
0|2020-05-03|1610.0|0|1610.0|0|114.0|0|0.0|100
0|2020-05-04|1629.0|0|1629.0|0|114.0|0|0.0|100
0|2020-05-05|1639.0|0|1639.0|0|123.0|0|0.0|100
0|2020-05-06|1667.0|0|1667.0|0|124.0|0|0.0|100
0|2020-05-07|1690.0|0|1690.0|0|126.0|0|0.0|100
0|2020-05-08|1712.0|0|1712.0|0|128.0|0|0.0|100
0|2020-05-09|1743.0|0|1743.0|0|129.0|0|0.0|100
0|2020-05-10|1751.0|0|1751.0|0|133.0|0|0.0|100
0|2020-05-11|1765.0|0|1765.0|0|132.0|0|0.0|100
