|dates|Pinellas_Florida_UnitedStates.JHU_ConfirmedCases.data|Pinellas_Florida_UnitedStates.JHU_ConfirmedCases.missing|Pinellas_Florida_UnitedStates.NYT_ConfirmedCases.data|Pinellas_Florida_UnitedStates.NYT_ConfirmedCases.missing|Pinellas_Florida_UnitedStates.JHU_ConfirmedDeaths.data|Pinellas_Florida_UnitedStates.JHU_ConfirmedDeaths.missing|Pinellas_Florida_UnitedStates.JHU_ConfirmedRecoveries.data|Pinellas_Florida_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-10|0.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-11|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-12|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-13|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-14|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-15|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-16|2.0|0|4.0|0|0.0|0|0.0|100
0|2020-03-17|4.0|0|4.0|0|0.0|0|0.0|100
0|2020-03-18|10.0|0|12.0|0|0.0|0|0.0|100
0|2020-03-19|16.0|0|16.0|0|0.0|0|0.0|100
0|2020-03-20|22.0|0|22.0|0|0.0|0|0.0|100
0|2020-03-21|29.0|0|29.0|0|0.0|0|0.0|100
0|2020-03-22|38.0|0|38.0|0|0.0|0|0.0|100
0|2020-03-23|41.0|0|41.0|0|0.0|0|0.0|100
0|2020-03-24|45.0|0|45.0|0|0.0|0|0.0|100
0|2020-03-25|50.0|0|54.0|0|1.0|0|0.0|100
0|2020-03-26|64.0|0|65.0|0|1.0|0|0.0|100
0|2020-03-27|77.0|0|82.0|0|1.0|0|0.0|100
0|2020-03-28|94.0|0|111.0|0|1.0|0|0.0|100
0|2020-03-29|113.0|0|116.0|0|4.0|0|0.0|100
0|2020-03-30|126.0|0|129.0|0|5.0|0|0.0|100
0|2020-03-31|167.0|0|167.0|0|5.0|0|0.0|100
0|2020-04-01|170.0|0|233.0|0|5.0|0|0.0|100
0|2020-04-02|273.0|0|273.0|0|6.0|0|0.0|100
0|2020-04-03|318.0|0|318.0|0|7.0|0|0.0|100
0|2020-04-04|342.0|0|342.0|0|7.0|0|0.0|100
0|2020-04-05|359.0|0|359.0|0|8.0|0|0.0|100
0|2020-04-06|362.0|0|372.0|0|8.0|0|0.0|100
0|2020-04-07|380.0|0|387.0|0|8.0|0|0.0|100
0|2020-04-08|394.0|0|395.0|0|9.0|0|0.0|100
0|2020-04-09|413.0|0|422.0|0|10.0|0|0.0|100
0|2020-04-10|428.0|0|431.0|0|10.0|0|0.0|100
0|2020-04-11|444.0|0|446.0|0|12.0|0|0.0|100
0|2020-04-12|455.0|0|455.0|0|13.0|0|0.0|100
0|2020-04-13|479.0|0|479.0|0|13.0|0|0.0|100
0|2020-04-14|494.0|0|494.0|0|14.0|0|0.0|100
0|2020-04-15|513.0|0|513.0|0|14.0|0|0.0|100
0|2020-04-16|530.0|0|530.0|0|14.0|0|0.0|100
0|2020-04-17|565.0|0|565.0|0|16.0|0|0.0|100
0|2020-04-18|587.0|0|587.0|0|16.0|0|0.0|100
0|2020-04-19|592.0|0|592.0|0|16.0|0|0.0|100
0|2020-04-20|607.0|0|607.0|0|16.0|0|0.0|100
0|2020-04-21|632.0|0|632.0|0|18.0|0|0.0|100
0|2020-04-22|638.0|0|638.0|0|19.0|0|0.0|100
0|2020-04-23|656.0|0|656.0|0|23.0|0|0.0|100
0|2020-04-24|673.0|0|673.0|0|24.0|0|0.0|100
0|2020-04-25|677.0|0|677.0|0|24.0|0|0.0|100
0|2020-04-26|687.0|0|687.0|0|24.0|0|0.0|100
0|2020-04-27|698.0|0|698.0|0|25.0|0|0.0|100
0|2020-04-28|709.0|0|709.0|0|31.0|0|0.0|100
0|2020-04-29|718.0|0|718.0|0|34.0|0|0.0|100
0|2020-04-30|729.0|0|729.0|0|37.0|0|0.0|100
0|2020-05-01|748.0|0|748.0|0|38.0|0|0.0|100
0|2020-05-02|757.0|0|757.0|0|41.0|0|0.0|100
0|2020-05-03|766.0|0|766.0|0|41.0|0|0.0|100
0|2020-05-04|784.0|0|784.0|0|42.0|0|0.0|100
0|2020-05-05|788.0|0|788.0|0|44.0|0|0.0|100
0|2020-05-06|801.0|0|801.0|0|50.0|0|0.0|100
0|2020-05-07|820.0|0|820.0|0|56.0|0|0.0|100
0|2020-05-08|828.0|0|828.0|0|59.0|0|0.0|100
0|2020-05-09|848.0|0|848.0|0|59.0|0|0.0|100
0|2020-05-10|861.0|0|861.0|0|60.0|0|0.0|100
0|2020-05-11|876.0|0|876.0|0|61.0|0|0.0|100
0|2020-05-12|909.0|0|909.0|0|62.0|0|0.0|100
0|2020-05-13|923.0|0|923.0|0|63.0|0|0.0|100
