|dates|Escambia_Florida_UnitedStates.JHU_ConfirmedCases.data|Escambia_Florida_UnitedStates.JHU_ConfirmedCases.missing|Escambia_Florida_UnitedStates.NYT_ConfirmedCases.data|Escambia_Florida_UnitedStates.NYT_ConfirmedCases.missing|Escambia_Florida_UnitedStates.JHU_ConfirmedDeaths.data|Escambia_Florida_UnitedStates.JHU_ConfirmedDeaths.missing|Escambia_Florida_UnitedStates.JHU_ConfirmedRecoveries.data|Escambia_Florida_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-16|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-17|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-18|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-19|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-20|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-21|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-22|4.0|0|4.0|0|0.0|0|0.0|100
0|2020-03-23|9.0|0|9.0|0|0.0|0|0.0|100
0|2020-03-24|10.0|0|13.0|0|0.0|0|0.0|100
0|2020-03-25|14.0|0|17.0|0|0.0|0|0.0|100
0|2020-03-26|19.0|0|20.0|0|0.0|0|0.0|100
0|2020-03-27|22.0|0|28.0|0|0.0|0|0.0|100
0|2020-03-28|28.0|0|28.0|0|0.0|0|0.0|100
0|2020-03-29|30.0|0|37.0|0|0.0|0|0.0|100
0|2020-03-30|42.0|0|81.0|0|0.0|0|0.0|100
0|2020-03-31|94.0|0|94.0|0|0.0|0|0.0|100
0|2020-04-01|94.0|0|96.0|0|0.0|0|0.0|100
0|2020-04-02|101.0|0|101.0|0|0.0|0|0.0|100
0|2020-04-03|113.0|0|113.0|0|0.0|0|0.0|100
0|2020-04-04|118.0|0|118.0|0|1.0|0|0.0|100
0|2020-04-05|125.0|0|125.0|0|1.0|0|0.0|100
0|2020-04-06|136.0|0|141.0|0|1.0|0|0.0|100
0|2020-04-07|168.0|0|168.0|0|1.0|0|0.0|100
0|2020-04-08|180.0|0|182.0|0|2.0|0|0.0|100
0|2020-04-09|184.0|0|192.0|0|3.0|0|0.0|100
0|2020-04-10|197.0|0|204.0|0|3.0|0|0.0|100
0|2020-04-11|206.0|0|210.0|0|3.0|0|0.0|100
0|2020-04-12|224.0|0|224.0|0|3.0|0|0.0|100
0|2020-04-13|241.0|0|241.0|0|3.0|0|0.0|100
0|2020-04-14|247.0|0|247.0|0|3.0|0|0.0|100
0|2020-04-15|260.0|0|261.0|0|4.0|0|0.0|100
0|2020-04-16|277.0|0|277.0|0|4.0|0|0.0|100
0|2020-04-17|290.0|0|290.0|0|6.0|0|0.0|100
0|2020-04-18|304.0|0|304.0|0|8.0|0|0.0|100
0|2020-04-19|309.0|0|309.0|0|8.0|0|0.0|100
0|2020-04-20|315.0|0|315.0|0|8.0|0|0.0|100
0|2020-04-21|340.0|0|340.0|0|10.0|0|0.0|100
0|2020-04-22|418.0|0|418.0|0|10.0|0|0.0|100
0|2020-04-23|420.0|0|420.0|0|10.0|0|0.0|100
0|2020-04-24|434.0|0|434.0|0|11.0|0|0.0|100
0|2020-04-25|442.0|0|442.0|0|11.0|0|0.0|100
0|2020-04-26|457.0|0|457.0|0|11.0|0|0.0|100
0|2020-04-27|470.0|0|470.0|0|11.0|0|0.0|100
0|2020-04-28|485.0|0|485.0|0|11.0|0|0.0|100
0|2020-04-29|496.0|0|496.0|0|11.0|0|0.0|100
0|2020-04-30|506.0|0|506.0|0|11.0|0|0.0|100
0|2020-05-01|532.0|0|532.0|0|12.0|0|0.0|100
0|2020-05-02|538.0|0|538.0|0|13.0|0|0.0|100
0|2020-05-03|593.0|0|593.0|0|13.0|0|0.0|100
0|2020-05-04|595.0|0|595.0|0|13.0|0|0.0|100
0|2020-05-05|598.0|0|598.0|0|14.0|0|0.0|100
0|2020-05-06|604.0|0|604.0|0|15.0|0|0.0|100
0|2020-05-07|616.0|0|616.0|0|16.0|0|0.0|100
0|2020-05-08|618.0|0|618.0|0|18.0|0|0.0|100
0|2020-05-09|634.0|0|634.0|0|18.0|0|0.0|100
0|2020-05-10|638.0|0|638.0|0|18.0|0|0.0|100
0|2020-05-11|641.0|0|641.0|0|18.0|0|0.0|100
0|2020-05-12|659.0|0|659.0|0|19.0|0|0.0|100
0|2020-05-13|665.0|0|665.0|0|19.0|0|0.0|100
