|dates|Snohomish_Washington_UnitedStates.JHU_ConfirmedCases.data|Snohomish_Washington_UnitedStates.JHU_ConfirmedCases.missing|Snohomish_Washington_UnitedStates.NYT_ConfirmedCases.data|Snohomish_Washington_UnitedStates.NYT_ConfirmedCases.missing|Snohomish_Washington_UnitedStates.JHU_ConfirmedDeaths.data|Snohomish_Washington_UnitedStates.JHU_ConfirmedDeaths.missing|Snohomish_Washington_UnitedStates.JHU_ConfirmedRecoveries.data|Snohomish_Washington_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-01-22|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-01-23|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-01-24|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-01-25|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-01-26|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-01-27|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-01-28|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-01-29|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-01-30|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-01-31|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-01|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-02|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-03|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-04|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-05|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-06|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-07|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-08|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-09|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-10|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-11|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-12|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-13|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-14|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-15|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-16|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-17|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-18|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-19|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-20|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-21|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-22|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-23|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-24|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-25|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-26|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-27|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-28|0.0|0|2.0|0|0.0|0|0.0|100
0|2020-02-29|1.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-01|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-02|4.0|0|3.0|0|1.0|0|0.0|100
0|2020-03-03|6.0|0|5.0|0|1.0|0|0.0|100
0|2020-03-04|8.0|0|8.0|0|1.0|0|0.0|100
0|2020-03-05|18.0|0|17.0|0|1.0|0|0.0|100
0|2020-03-06|19.0|0|18.0|0|1.0|0|0.0|100
0|2020-03-07|27.0|0|26.0|0|1.0|0|0.0|100
0|2020-03-08|31.0|0|36.0|0|1.0|0|0.0|100
0|2020-03-09|31.0|0|45.0|0|1.0|0|0.0|100
0|2020-03-10|37.0|0|61.0|0|1.0|0|0.0|100
0|2020-03-11|68.0|0|69.0|0|1.0|0|0.0|100
0|2020-03-12|108.0|0|107.0|0|3.0|0|0.0|100
0|2020-03-13|133.0|0|132.0|0|4.0|0|0.0|100
0|2020-03-14|154.0|0|154.0|0|4.0|0|0.0|100
0|2020-03-15|154.0|0|175.0|0|4.0|0|0.0|100
0|2020-03-16|200.0|0|199.0|0|4.0|0|0.0|100
0|2020-03-17|266.0|0|265.0|0|6.0|0|0.0|100
0|2020-03-18|310.0|0|309.0|0|6.0|0|0.0|100
0|2020-03-19|348.0|0|347.0|0|7.0|0|0.0|100
0|2020-03-20|385.0|0|384.0|0|8.0|0|0.0|100
0|2020-03-21|447.0|0|446.0|0|10.0|0|0.0|100
0|2020-03-22|480.0|0|480.0|0|10.0|0|0.0|100
0|2020-03-23|519.0|0|518.0|0|11.0|0|0.0|100
0|2020-03-24|614.0|0|613.0|0|16.0|0|0.0|100
0|2020-03-25|634.0|0|633.0|0|16.0|0|0.0|100
0|2020-03-26|778.0|0|778.0|0|18.0|0|0.0|100
0|2020-03-27|912.0|0|913.0|0|23.0|0|0.0|100
0|2020-03-28|913.0|0|912.0|0|23.0|0|0.0|100
0|2020-03-29|912.0|0|1067.0|0|23.0|0|0.0|100
0|2020-03-30|1068.0|0|1126.0|0|23.0|0|0.0|100
0|2020-03-31|1229.0|0|1228.0|0|33.0|0|0.0|100
0|2020-04-01|1304.0|0|1304.0|0|40.0|0|0.0|100
0|2020-04-02|1376.0|0|1375.0|0|41.0|0|0.0|100
0|2020-04-03|1376.0|0|1449.0|0|42.0|0|0.0|100
0|2020-04-04|1503.0|0|1502.0|0|45.0|0|0.0|100
0|2020-04-05|1559.0|0|1558.0|0|48.0|0|0.0|100
0|2020-04-06|1603.0|0|1602.0|0|58.0|0|0.0|100
0|2020-04-07|1659.0|0|1658.0|0|61.0|0|0.0|100
0|2020-04-08|1695.0|0|1694.0|0|63.0|0|0.0|100
0|2020-04-09|1745.0|0|1701.0|0|64.0|0|0.0|100
0|2020-04-10|1802.0|0|1801.0|0|64.0|0|0.0|100
0|2020-04-11|1835.0|0|1834.0|0|68.0|0|0.0|100
0|2020-04-12|1867.0|0|1866.0|0|69.0|0|0.0|100
0|2020-04-13|1907.0|0|1907.0|0|73.0|0|0.0|100
0|2020-04-14|1950.0|0|1949.0|0|77.0|0|0.0|100
0|2020-04-15|1988.0|0|1987.0|0|80.0|0|0.0|100
0|2020-04-16|2032.0|0|2031.0|0|86.0|0|0.0|100
0|2020-04-17|2056.0|0|2055.0|0|88.0|0|0.0|100
0|2020-04-18|2093.0|0|2092.0|0|91.0|0|0.0|100
0|2020-04-19|2143.0|0|2142.0|0|93.0|0|0.0|100
0|2020-04-20|2163.0|0|2162.0|0|97.0|0|0.0|100
0|2020-04-21|2189.0|0|2162.0|0|98.0|0|0.0|100
0|2020-04-22|2209.0|0|2208.0|0|98.0|0|0.0|100
0|2020-04-23|2216.0|0|2239.0|0|101.0|0|0.0|100
0|2020-04-24|2243.0|0|2267.0|0|102.0|0|0.0|100
0|2020-04-25|2297.0|0|2297.0|0|102.0|0|0.0|100
0|2020-04-26|2311.0|0|2311.0|0|104.0|0|0.0|100
0|2020-04-27|2332.0|0|2355.0|0|106.0|0|0.0|100
0|2020-04-28|2365.0|0|2370.0|0|108.0|0|0.0|100
0|2020-04-29|2389.0|0|2416.0|0|108.0|0|0.0|100
0|2020-04-30|2433.0|0|2446.0|0|108.0|0|0.0|100
0|2020-05-01|2453.0|0|2466.0|0|109.0|0|0.0|100
0|2020-05-02|2493.0|0|2492.0|0|109.0|0|0.0|100
0|2020-05-03|2509.0|0|2737.0|0|109.0|0|0.0|100
0|2020-05-04|2537.0|0|2784.0|0|111.0|0|0.0|100
0|2020-05-05|2549.0|0|2807.0|0|112.0|0|0.0|100
0|2020-05-06|2584.0|0|2830.0|0|112.0|0|0.0|100
0|2020-05-07|2627.0|0|2889.0|0|114.0|0|0.0|100
0|2020-05-08|2634.0|0|2917.0|0|115.0|0|0.0|100
0|2020-05-09|2664.0|0|2917.0|0|117.0|0|0.0|100
0|2020-05-10|2681.0|0|2932.0|0|117.0|0|0.0|100
