|dates|Campbell_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Campbell_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Campbell_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Campbell_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Campbell_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Campbell_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Campbell_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Campbell_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-24|1.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-25|1.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-26|1.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-27|1.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-28|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-29|4.0|0|4.0|0|0.0|0|0.0|100
0|2020-03-30|4.0|0|5.0|0|0.0|0|0.0|100
0|2020-03-31|8.0|0|6.0|0|0.0|0|0.0|100
0|2020-04-01|8.0|0|6.0|0|0.0|0|0.0|100
0|2020-04-02|8.0|0|7.0|0|0.0|0|0.0|100
0|2020-04-03|8.0|0|7.0|0|1.0|0|0.0|100
0|2020-04-04|12.0|0|7.0|0|1.0|0|0.0|100
0|2020-04-05|12.0|0|27.0|0|1.0|0|0.0|100
0|2020-04-06|12.0|0|27.0|0|1.0|0|0.0|100
0|2020-04-07|13.0|0|37.0|0|3.0|0|0.0|100
0|2020-04-08|13.0|0|37.0|0|3.0|0|0.0|100
0|2020-04-09|29.0|0|41.0|0|3.0|0|0.0|100
0|2020-04-10|29.0|0|42.0|0|3.0|0|0.0|100
0|2020-04-11|29.0|0|47.0|0|3.0|0|0.0|100
0|2020-04-12|47.0|0|45.0|0|3.0|0|0.0|100
0|2020-04-13|47.0|0|45.0|0|3.0|0|0.0|100
0|2020-04-14|45.0|0|50.0|0|3.0|0|0.0|100
0|2020-04-15|47.0|0|51.0|0|3.0|0|0.0|100
0|2020-04-16|53.0|0|53.0|0|5.0|0|0.0|100
0|2020-04-17|55.0|0|55.0|0|5.0|0|0.0|100
0|2020-04-18|55.0|0|55.0|0|6.0|0|0.0|100
0|2020-04-19|56.0|0|56.0|0|6.0|0|0.0|100
0|2020-04-20|58.0|0|58.0|0|6.0|0|0.0|100
0|2020-04-21|60.0|0|60.0|0|6.0|0|0.0|100
0|2020-04-22|64.0|0|64.0|0|7.0|0|0.0|100
0|2020-04-23|64.0|0|66.0|0|7.0|0|0.0|100
0|2020-04-24|70.0|0|70.0|0|7.0|0|0.0|100
0|2020-04-25|73.0|0|73.0|0|7.0|0|0.0|100
0|2020-04-26|79.0|0|79.0|0|7.0|0|0.0|100
0|2020-04-27|81.0|0|81.0|0|7.0|0|0.0|100
0|2020-04-28|85.0|0|85.0|0|9.0|0|0.0|100
0|2020-04-29|86.0|0|86.0|0|9.0|0|0.0|100
0|2020-04-30|89.0|0|89.0|0|9.0|0|0.0|100
0|2020-05-01|92.0|0|92.0|0|9.0|0|0.0|100
0|2020-05-02|92.0|0|92.0|0|9.0|0|0.0|100
0|2020-05-03|95.0|0|95.0|0|9.0|0|0.0|100
0|2020-05-04|97.0|0|97.0|0|9.0|0|0.0|100
0|2020-05-05|103.0|0|103.0|0|9.0|0|0.0|100
0|2020-05-06|107.0|0|107.0|0|9.0|0|0.0|100
0|2020-05-07|110.0|0|110.0|0|9.0|0|0.0|100
0|2020-05-08|114.0|0|114.0|0|9.0|0|0.0|100
0|2020-05-09|115.0|0|115.0|0|9.0|0|0.0|100
0|2020-05-10|115.0|0|115.0|0|9.0|0|0.0|100
0|2020-05-11|118.0|0|118.0|0|9.0|0|0.0|100
0|2020-05-12|120.0|0|120.0|0|9.0|0|0.0|100
0|2020-05-13|120.0|0|120.0|0|9.0|0|0.0|100
