|dates|DeKalb_Illinois_UnitedStates.JHU_ConfirmedCases.data|DeKalb_Illinois_UnitedStates.JHU_ConfirmedCases.missing|DeKalb_Illinois_UnitedStates.NYT_ConfirmedCases.data|DeKalb_Illinois_UnitedStates.NYT_ConfirmedCases.missing|DeKalb_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|DeKalb_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|DeKalb_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|DeKalb_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-21|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-22|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-23|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-24|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-25|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-26|1.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-27|4.0|0|4.0|0|0.0|0|0.0|100
0|2020-03-28|4.0|0|4.0|0|0.0|0|0.0|100
0|2020-03-29|8.0|0|8.0|0|0.0|0|0.0|100
0|2020-03-30|4.0|0|8.0|0|0.0|0|0.0|100
0|2020-03-31|9.0|0|9.0|0|0.0|0|0.0|100
0|2020-04-01|14.0|0|14.0|0|0.0|0|0.0|100
0|2020-04-02|16.0|0|16.0|0|0.0|0|0.0|100
0|2020-04-03|16.0|0|16.0|0|0.0|0|0.0|100
0|2020-04-04|19.0|0|19.0|0|0.0|0|0.0|100
0|2020-04-05|22.0|0|22.0|0|0.0|0|0.0|100
0|2020-04-06|22.0|0|22.0|0|1.0|0|0.0|100
0|2020-04-07|22.0|0|26.0|0|1.0|0|0.0|100
0|2020-04-08|32.0|0|32.0|0|1.0|0|0.0|100
0|2020-04-09|32.0|0|32.0|0|1.0|0|0.0|100
0|2020-04-10|32.0|0|32.0|0|1.0|0|0.0|100
0|2020-04-11|33.0|0|33.0|0|1.0|0|0.0|100
0|2020-04-12|34.0|0|34.0|0|1.0|0|0.0|100
0|2020-04-13|34.0|0|34.0|0|1.0|0|0.0|100
0|2020-04-14|35.0|0|35.0|0|1.0|0|0.0|100
0|2020-04-15|37.0|0|37.0|0|1.0|0|0.0|100
0|2020-04-16|39.0|0|39.0|0|1.0|0|0.0|100
0|2020-04-17|46.0|0|46.0|0|1.0|0|0.0|100
0|2020-04-18|54.0|0|54.0|0|1.0|0|0.0|100
0|2020-04-19|55.0|0|55.0|0|1.0|0|0.0|100
0|2020-04-20|55.0|0|55.0|0|1.0|0|0.0|100
0|2020-04-21|56.0|0|56.0|0|1.0|0|0.0|100
0|2020-04-22|56.0|0|56.0|0|1.0|0|0.0|100
0|2020-04-23|56.0|0|56.0|0|1.0|0|0.0|100
0|2020-04-24|68.0|0|68.0|0|1.0|0|0.0|100
0|2020-04-25|71.0|0|71.0|0|1.0|0|0.0|100
0|2020-04-26|71.0|0|71.0|0|1.0|0|0.0|100
0|2020-04-27|76.0|0|76.0|0|1.0|0|0.0|100
0|2020-04-28|82.0|0|82.0|0|1.0|0|0.0|100
0|2020-04-29|90.0|0|90.0|0|1.0|0|0.0|100
0|2020-04-30|95.0|0|95.0|0|1.0|0|0.0|100
0|2020-05-01|105.0|0|105.0|0|1.0|0|0.0|100
0|2020-05-02|114.0|0|114.0|0|1.0|0|0.0|100
0|2020-05-03|125.0|0|125.0|0|1.0|0|0.0|100
0|2020-05-04|130.0|0|130.0|0|1.0|0|0.0|100
0|2020-05-05|132.0|0|132.0|0|1.0|0|0.0|100
0|2020-05-06|141.0|0|141.0|0|1.0|0|0.0|100
0|2020-05-07|149.0|0|149.0|0|1.0|0|0.0|100
0|2020-05-08|160.0|0|160.0|0|1.0|0|0.0|100
0|2020-05-09|170.0|0|170.0|0|2.0|0|0.0|100
0|2020-05-10|177.0|0|177.0|0|2.0|0|0.0|100
0|2020-05-11|183.0|0|183.0|0|2.0|0|0.0|100
0|2020-05-12|203.0|0|203.0|0|2.0|0|0.0|100
0|2020-05-13|211.0|0|211.0|0|2.0|0|0.0|100
