|dates|Orange_Florida_UnitedStates.JHU_ConfirmedCases.data|Orange_Florida_UnitedStates.JHU_ConfirmedCases.missing|Orange_Florida_UnitedStates.NYT_ConfirmedCases.data|Orange_Florida_UnitedStates.NYT_ConfirmedCases.missing|Orange_Florida_UnitedStates.JHU_ConfirmedDeaths.data|Orange_Florida_UnitedStates.JHU_ConfirmedDeaths.missing|Orange_Florida_UnitedStates.JHU_ConfirmedRecoveries.data|Orange_Florida_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-13|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-14|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-15|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-16|2.0|0|4.0|0|0.0|0|0.0|100
0|2020-03-17|6.0|0|6.0|0|1.0|0|0.0|100
0|2020-03-18|9.0|0|11.0|0|1.0|0|0.0|100
0|2020-03-19|19.0|0|19.0|0|2.0|0|0.0|100
0|2020-03-20|23.0|0|23.0|0|2.0|0|0.0|100
0|2020-03-21|29.0|0|29.0|0|2.0|0|0.0|100
0|2020-03-22|33.0|0|32.0|0|2.0|0|0.0|100
0|2020-03-23|48.0|0|47.0|0|2.0|0|0.0|100
0|2020-03-24|50.0|0|50.0|0|2.0|0|0.0|100
0|2020-03-25|77.0|0|87.0|0|2.0|0|0.0|100
0|2020-03-26|110.0|0|118.0|0|4.0|0|0.0|100
0|2020-03-27|156.0|0|174.0|0|4.0|0|0.0|100
0|2020-03-28|206.0|0|213.0|0|4.0|0|0.0|100
0|2020-03-29|246.0|0|267.0|0|4.0|0|0.0|100
0|2020-03-30|293.0|0|299.0|0|4.0|0|0.0|100
0|2020-03-31|373.0|0|373.0|0|4.0|0|0.0|100
0|2020-04-01|392.0|0|458.0|0|4.0|0|0.0|100
0|2020-04-02|541.0|0|540.0|0|5.0|0|0.0|100
0|2020-04-03|602.0|0|601.0|0|6.0|0|0.0|100
0|2020-04-04|657.0|0|656.0|0|8.0|0|0.0|100
0|2020-04-05|713.0|0|712.0|0|8.0|0|0.0|100
0|2020-04-06|744.0|0|753.0|0|8.0|0|0.0|100
0|2020-04-07|763.0|0|767.0|0|9.0|0|0.0|100
0|2020-04-08|803.0|0|823.0|0|10.0|0|0.0|100
0|2020-04-09|857.0|0|859.0|0|11.0|0|0.0|100
0|2020-04-10|895.0|0|901.0|0|13.0|0|0.0|100
0|2020-04-11|914.0|0|922.0|0|13.0|0|0.0|100
0|2020-04-12|949.0|0|948.0|0|13.0|0|0.0|100
0|2020-04-13|1024.0|0|1023.0|0|13.0|0|0.0|100
0|2020-04-14|1038.0|0|1037.0|0|13.0|0|0.0|100
0|2020-04-15|1073.0|0|1073.0|0|18.0|0|0.0|100
0|2020-04-16|1114.0|0|1113.0|0|21.0|0|0.0|100
0|2020-04-17|1158.0|0|1157.0|0|23.0|0|0.0|100
0|2020-04-18|1180.0|0|1179.0|0|23.0|0|0.0|100
0|2020-04-19|1198.0|0|1197.0|0|23.0|0|0.0|100
0|2020-04-20|1216.0|0|1215.0|0|27.0|0|0.0|100
0|2020-04-21|1235.0|0|1234.0|0|27.0|0|0.0|100
0|2020-04-22|1251.0|0|1250.0|0|28.0|0|0.0|100
0|2020-04-23|1274.0|0|1273.0|0|29.0|0|0.0|100
0|2020-04-24|1290.0|0|1289.0|0|30.0|0|0.0|100
0|2020-04-25|1304.0|0|1303.0|0|30.0|0|0.0|100
0|2020-04-26|1322.0|0|1321.0|0|30.0|0|0.0|100
0|2020-04-27|1339.0|0|1338.0|0|30.0|0|0.0|100
0|2020-04-28|1363.0|0|1362.0|0|32.0|0|0.0|100
0|2020-04-29|1371.0|0|1370.0|0|33.0|0|0.0|100
0|2020-04-30|1385.0|0|1384.0|0|34.0|0|0.0|100
0|2020-05-01|1413.0|0|1412.0|0|34.0|0|0.0|100
0|2020-05-02|1422.0|0|1421.0|0|35.0|0|0.0|100
0|2020-05-03|1434.0|0|1433.0|0|35.0|0|0.0|100
0|2020-05-04|1438.0|0|1437.0|0|35.0|0|0.0|100
0|2020-05-05|1446.0|0|1445.0|0|35.0|0|0.0|100
0|2020-05-06|1460.0|0|1459.0|0|36.0|0|0.0|100
0|2020-05-07|1474.0|0|1473.0|0|36.0|0|0.0|100
0|2020-05-08|1478.0|0|1477.0|0|35.0|0|0.0|100
0|2020-05-09|1505.0|0|1504.0|0|35.0|0|0.0|100
0|2020-05-10|1505.0|0|1504.0|0|35.0|0|0.0|100
0|2020-05-11|1512.0|0|1511.0|0|35.0|0|0.0|100
0|2020-05-12|1537.0|0|1536.0|0|35.0|0|0.0|100
