|dates|Camden_NewJersey_UnitedStates.JHU_ConfirmedCases.data|Camden_NewJersey_UnitedStates.JHU_ConfirmedCases.missing|Camden_NewJersey_UnitedStates.NYT_ConfirmedCases.data|Camden_NewJersey_UnitedStates.NYT_ConfirmedCases.missing|Camden_NewJersey_UnitedStates.JHU_ConfirmedDeaths.data|Camden_NewJersey_UnitedStates.JHU_ConfirmedDeaths.missing|Camden_NewJersey_UnitedStates.JHU_ConfirmedRecoveries.data|Camden_NewJersey_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-07|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-08|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-09|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-10|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-11|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-12|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-13|1.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-14|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-15|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-16|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-17|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-18|8.0|0|10.0|0|0.0|0|0.0|100
0|2020-03-19|13.0|0|11.0|0|0.0|0|0.0|100
0|2020-03-20|11.0|0|15.0|0|0.0|0|0.0|100
0|2020-03-21|15.0|0|15.0|0|0.0|0|0.0|100
0|2020-03-22|22.0|0|22.0|0|0.0|0|0.0|100
0|2020-03-23|33.0|0|33.0|0|1.0|0|0.0|100
0|2020-03-24|51.0|0|51.0|0|1.0|0|0.0|100
0|2020-03-25|61.0|0|61.0|0|1.0|0|0.0|100
0|2020-03-26|73.0|0|73.0|0|1.0|0|0.0|100
0|2020-03-27|95.0|0|95.0|0|1.0|0|0.0|100
0|2020-03-28|123.0|0|123.0|0|1.0|0|0.0|100
0|2020-03-29|163.0|0|163.0|0|1.0|0|0.0|100
0|2020-03-30|200.0|0|200.0|0|1.0|0|0.0|100
0|2020-03-31|228.0|0|228.0|0|3.0|0|0.0|100
0|2020-04-01|289.0|0|289.0|0|3.0|0|0.0|100
0|2020-04-02|343.0|0|343.0|0|6.0|0|0.0|100
0|2020-04-03|406.0|0|406.0|0|7.0|0|0.0|100
0|2020-04-04|481.0|0|481.0|0|8.0|0|0.0|100
0|2020-04-05|556.0|0|556.0|0|8.0|0|0.0|100
0|2020-04-06|645.0|0|645.0|0|8.0|0|0.0|100
0|2020-04-07|736.0|0|736.0|0|12.0|0|0.0|100
0|2020-04-08|838.0|0|838.0|0|22.0|0|0.0|100
0|2020-04-09|990.0|0|990.0|0|23.0|0|0.0|100
0|2020-04-10|1072.0|0|1072.0|0|29.0|0|0.0|100
0|2020-04-11|1180.0|0|1180.0|0|29.0|0|0.0|100
0|2020-04-12|1270.0|0|1270.0|0|32.0|0|0.0|100
0|2020-04-13|1401.0|0|1401.0|0|35.0|0|0.0|100
0|2020-04-14|1477.0|0|1477.0|0|41.0|0|0.0|100
0|2020-04-15|1587.0|0|1587.0|0|49.0|0|0.0|100
0|2020-04-16|1734.0|0|1734.0|0|60.0|0|0.0|100
0|2020-04-17|1807.0|0|1807.0|0|64.0|0|0.0|100
0|2020-04-18|1918.0|0|1918.0|0|73.0|0|0.0|100
0|2020-04-19|2131.0|0|2131.0|0|74.0|0|0.0|100
0|2020-04-20|2255.0|0|2255.0|0|81.0|0|0.0|100
0|2020-04-21|2379.0|0|2379.0|0|81.0|0|0.0|100
0|2020-04-22|2528.0|0|2528.0|0|94.0|0|0.0|100
0|2020-04-23|2683.0|0|2683.0|0|104.0|0|0.0|100
0|2020-04-24|2750.0|0|2750.0|0|106.0|0|0.0|100
0|2020-04-25|2870.0|0|2870.0|0|118.0|0|0.0|100
0|2020-04-26|2983.0|0|2983.0|0|121.0|0|0.0|100
0|2020-04-27|3124.0|0|3124.0|0|122.0|0|0.0|100
0|2020-04-28|3285.0|0|3285.0|0|124.0|0|0.0|100
0|2020-04-29|3385.0|0|3385.0|0|136.0|0|0.0|100
0|2020-04-30|3519.0|0|3519.0|0|147.0|0|0.0|100
0|2020-05-01|3646.0|0|3646.0|0|155.0|0|0.0|100
0|2020-05-02|3773.0|0|3773.0|0|161.0|0|0.0|100
0|2020-05-03|3973.0|0|3973.0|0|163.0|0|0.0|100
0|2020-05-04|4073.0|0|4073.0|0|163.0|0|0.0|100
0|2020-05-05|4251.0|0|4251.0|0|180.0|0|0.0|100
0|2020-05-06|4307.0|0|4307.0|0|189.0|0|0.0|100
0|2020-05-07|4479.0|0|4479.0|0|193.0|0|0.0|100
0|2020-05-08|4619.0|0|4619.0|0|199.0|0|0.0|100
0|2020-05-09|4758.0|0|4758.0|0|217.0|0|0.0|100
0|2020-05-10|4870.0|0|4870.0|0|225.0|0|0.0|100
0|2020-05-11|4959.0|0|4959.0|0|227.0|0|0.0|100
