|dates|Cook_Illinois_UnitedStates.JHU_ConfirmedCases.data|Cook_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Cook_Illinois_UnitedStates.NYT_ConfirmedCases.data|Cook_Illinois_UnitedStates.NYT_ConfirmedCases.missing|Cook_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Cook_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Cook_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Cook_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-01-25|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-01-26|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-01-27|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-01-28|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-01-29|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-01-30|1.0|0|2.0|0|0.0|0|0.0|100
0|2020-01-31|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-02-01|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-02-02|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-02-03|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-02-04|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-02-05|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-02-06|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-02-07|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-02-08|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-02-09|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-02-10|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-02-11|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-02-12|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-02-13|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-02-14|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-02-15|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-02-16|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-02-17|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-02-18|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-02-19|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-02-20|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-02-21|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-02-22|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-02-23|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-02-24|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-02-25|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-02-26|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-02-27|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-02-28|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-02-29|2.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-01|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-02|4.0|0|4.0|0|0.0|0|0.0|100
0|2020-03-03|4.0|0|4.0|0|0.0|0|0.0|100
0|2020-03-04|4.0|0|4.0|0|0.0|0|0.0|100
0|2020-03-05|5.0|0|5.0|0|0.0|0|0.0|100
0|2020-03-06|5.0|0|6.0|0|0.0|0|0.0|100
0|2020-03-07|6.0|0|6.0|0|0.0|0|0.0|100
0|2020-03-08|7.0|0|7.0|0|0.0|0|0.0|100
0|2020-03-09|7.0|0|11.0|0|0.0|0|0.0|100
0|2020-03-10|11.0|0|17.0|0|0.0|0|0.0|100
0|2020-03-11|22.0|0|22.0|0|0.0|0|0.0|100
0|2020-03-12|27.0|0|27.0|0|0.0|0|0.0|100
0|2020-03-13|40.0|0|40.0|0|0.0|0|0.0|100
0|2020-03-14|50.0|0|51.0|0|0.0|0|0.0|100
0|2020-03-15|50.0|0|76.0|0|0.0|0|0.0|100
0|2020-03-16|62.0|0|76.0|0|0.0|0|0.0|100
0|2020-03-17|107.0|0|107.0|0|1.0|0|0.0|100
0|2020-03-18|178.0|0|179.0|0|1.0|0|0.0|100
0|2020-03-19|278.0|0|279.0|0|2.0|0|0.0|100
0|2020-03-20|278.0|0|412.0|0|2.0|0|0.0|100
0|2020-03-21|548.0|0|548.0|0|3.0|0|0.0|100
0|2020-03-22|805.0|0|805.0|0|4.0|0|0.0|100
0|2020-03-23|922.0|0|922.0|0|9.0|0|0.0|100
0|2020-03-24|1194.0|0|1194.0|0|9.0|0|0.0|100
0|2020-03-25|1418.0|0|1418.0|0|14.0|0|0.0|100
0|2020-03-26|1418.0|0|1904.0|0|18.0|0|0.0|100
0|2020-03-27|2239.0|0|2239.0|0|20.0|0|0.0|100
0|2020-03-28|2613.0|0|2613.0|0|28.0|0|0.0|100
0|2020-03-29|3445.0|0|3445.0|0|40.0|0|0.0|100
0|2020-03-30|3727.0|0|3727.0|0|44.0|0|0.0|100
0|2020-03-31|4496.0|0|4496.0|0|61.0|0|0.0|100
0|2020-04-01|5152.0|0|5152.0|0|95.0|0|0.0|100
0|2020-04-02|5575.0|0|5575.0|0|107.0|0|0.0|100
0|2020-04-03|6111.0|0|6473.0|0|141.0|0|0.0|100
0|2020-04-04|7439.0|0|7439.0|0|167.0|0|0.0|100
0|2020-04-05|8034.0|0|8043.0|0|186.0|0|0.0|100
0|2020-04-06|8728.0|0|8728.0|0|209.0|0|0.0|100
0|2020-04-07|8728.0|0|9509.0|0|209.0|0|0.0|100
0|2020-04-08|10520.0|0|10520.0|0|310.0|0|0.0|100
0|2020-04-09|10520.0|0|11415.0|0|310.0|0|0.0|100
0|2020-04-10|12472.0|0|12472.0|0|399.0|0|0.0|100
0|2020-04-11|13417.0|0|13417.0|0|455.0|0|0.0|100
0|2020-04-12|14585.0|0|14585.0|0|485.0|0|0.0|100
0|2020-04-13|15474.0|0|15474.0|0|543.0|0|0.0|100
0|2020-04-14|16323.0|0|16323.0|0|577.0|0|0.0|100
0|2020-04-15|17306.0|0|17306.0|0|630.0|0|0.0|100
0|2020-04-16|18087.0|0|18087.0|0|722.0|0|0.0|100
0|2020-04-17|19391.0|0|19391.0|0|760.0|0|0.0|100
0|2020-04-18|20395.0|0|20395.0|0|860.0|0|0.0|100
0|2020-04-19|21272.0|0|21272.0|0|877.0|0|0.0|100
0|2020-04-20|22101.0|0|22101.0|0|915.0|0|0.0|100
0|2020-04-21|23181.0|0|23181.0|0|1002.0|0|0.0|100
0|2020-04-22|24546.0|0|24546.0|0|1072.0|0|0.0|100
0|2020-04-23|25811.0|0|25811.0|0|1142.0|0|0.0|100
0|2020-04-24|27616.0|0|27616.0|0|1220.0|0|0.0|100
0|2020-04-25|29058.0|0|29058.0|0|1267.0|0|0.0|100
0|2020-04-26|30574.0|0|30574.0|0|1313.0|0|0.0|100
0|2020-04-27|31953.0|0|31953.0|0|1347.0|0|0.0|100
0|2020-04-28|33449.0|0|33449.0|0|1457.0|0|0.0|100
0|2020-04-29|34880.0|0|34880.0|0|1516.0|0|0.0|100
0|2020-04-30|36513.0|0|36513.0|0|1607.0|0|0.0|100
0|2020-05-01|38668.0|0|38668.0|0|1673.0|0|0.0|100
0|2020-05-02|40227.0|0|40227.0|0|1743.0|0|0.0|100
0|2020-05-03|42324.0|0|42324.0|0|1786.0|0|0.0|100
0|2020-05-04|43715.0|0|43715.0|0|1802.0|0|0.0|100
0|2020-05-05|45223.0|0|45223.0|0|1922.0|0|0.0|100
0|2020-05-06|46689.0|0|46689.0|0|2004.0|0|0.0|100
0|2020-05-07|48341.0|0|48341.0|0|2110.0|0|0.0|100
0|2020-05-08|50236.0|0|50236.0|0|2197.0|0|0.0|100
0|2020-05-09|51674.0|0|51674.0|0|2264.0|0|0.0|100
0|2020-05-10|52655.0|0|52655.0|0|2317.0|0|0.0|100
