|dates|Nevada_California_UnitedStates.JHU_ConfirmedCases.data|Nevada_California_UnitedStates.JHU_ConfirmedCases.missing|Nevada_California_UnitedStates.NYT_ConfirmedCases.data|Nevada_California_UnitedStates.NYT_ConfirmedCases.missing|Nevada_California_UnitedStates.JHU_ConfirmedDeaths.data|Nevada_California_UnitedStates.JHU_ConfirmedDeaths.missing|Nevada_California_UnitedStates.JHU_ConfirmedRecoveries.data|Nevada_California_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-16|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-17|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-18|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-19|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-20|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-21|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-22|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-23|2.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-24|3.0|0|4.0|0|0.0|0|0.0|100
0|2020-03-25|4.0|0|4.0|0|0.0|0|0.0|100
0|2020-03-26|7.0|0|8.0|0|0.0|0|0.0|100
0|2020-03-27|8.0|0|12.0|0|0.0|0|0.0|100
0|2020-03-28|12.0|0|12.0|0|0.0|0|0.0|100
0|2020-03-29|12.0|0|12.0|0|0.0|0|0.0|100
0|2020-03-30|17.0|0|18.0|0|0.0|0|0.0|100
0|2020-03-31|21.0|0|21.0|0|0.0|0|0.0|100
0|2020-04-01|26.0|0|26.0|0|0.0|0|0.0|100
0|2020-04-02|26.0|0|30.0|0|0.0|0|0.0|100
0|2020-04-03|30.0|0|31.0|0|0.0|0|0.0|100
0|2020-04-04|31.0|0|31.0|0|1.0|0|0.0|100
0|2020-04-05|31.0|0|31.0|0|1.0|0|0.0|100
0|2020-04-06|32.0|0|32.0|0|1.0|0|0.0|100
0|2020-04-07|32.0|0|34.0|0|1.0|0|0.0|100
0|2020-04-08|34.0|0|34.0|0|1.0|0|0.0|100
0|2020-04-09|34.0|0|34.0|0|1.0|0|0.0|100
0|2020-04-10|34.0|0|34.0|0|1.0|0|0.0|100
0|2020-04-11|34.0|0|34.0|0|1.0|0|0.0|100
0|2020-04-12|34.0|0|34.0|0|1.0|0|0.0|100
0|2020-04-13|34.0|0|34.0|0|1.0|0|0.0|100
0|2020-04-14|34.0|0|34.0|0|1.0|0|0.0|100
0|2020-04-15|34.0|0|34.0|0|1.0|0|0.0|100
0|2020-04-16|34.0|0|34.0|0|1.0|0|0.0|100
0|2020-04-17|34.0|0|36.0|0|1.0|0|0.0|100
0|2020-04-18|36.0|0|36.0|0|1.0|0|0.0|100
0|2020-04-19|36.0|0|36.0|0|1.0|0|0.0|100
0|2020-04-20|36.0|0|38.0|0|1.0|0|0.0|100
0|2020-04-21|38.0|0|38.0|0|1.0|0|0.0|100
0|2020-04-22|38.0|0|36.0|0|1.0|0|0.0|100
0|2020-04-23|36.0|0|36.0|0|1.0|0|0.0|100
0|2020-04-24|37.0|0|37.0|0|1.0|0|0.0|100
0|2020-04-25|37.0|0|37.0|0|1.0|0|0.0|100
0|2020-04-26|37.0|0|37.0|0|1.0|0|0.0|100
0|2020-04-27|37.0|0|39.0|0|1.0|0|0.0|100
0|2020-04-28|39.0|0|41.0|0|1.0|0|0.0|100
0|2020-04-29|41.0|0|41.0|0|1.0|0|0.0|100
0|2020-04-30|41.0|0|41.0|0|1.0|0|0.0|100
0|2020-05-01|41.0|0|41.0|0|1.0|0|0.0|100
0|2020-05-02|41.0|0|41.0|0|1.0|0|0.0|100
0|2020-05-03|41.0|0|41.0|0|1.0|0|0.0|100
0|2020-05-04|41.0|0|41.0|0|1.0|0|0.0|100
0|2020-05-05|41.0|0|41.0|0|1.0|0|0.0|100
0|2020-05-06|41.0|0|41.0|0|1.0|0|0.0|100
0|2020-05-07|41.0|0|41.0|0|1.0|0|0.0|100
0|2020-05-08|41.0|0|41.0|0|1.0|0|0.0|100
0|2020-05-09|41.0|0|41.0|0|1.0|0|0.0|100
0|2020-05-10|41.0|0|41.0|0|1.0|0|0.0|100
0|2020-05-11|41.0|0|41.0|0|1.0|0|0.0|100
0|2020-05-12|41.0|0|41.0|0|1.0|0|0.0|100
0|2020-05-13|41.0|0|41.0|0|1.0|0|0.0|100
0|2020-05-14|41.0|0|41.0|0|1.0|0|0.0|100
