|dates|Worcester_Maryland_UnitedStates.JHU_ConfirmedCases.data|Worcester_Maryland_UnitedStates.JHU_ConfirmedCases.missing|Worcester_Maryland_UnitedStates.NYT_ConfirmedCases.data|Worcester_Maryland_UnitedStates.NYT_ConfirmedCases.missing|Worcester_Maryland_UnitedStates.JHU_ConfirmedDeaths.data|Worcester_Maryland_UnitedStates.JHU_ConfirmedDeaths.missing|Worcester_Maryland_UnitedStates.JHU_ConfirmedRecoveries.data|Worcester_Maryland_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-20|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-21|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-22|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-23|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-24|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-25|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-26|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-27|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-28|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-29|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-30|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-31|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-04-01|4.0|0|4.0|0|0.0|0|0.0|100
0|2020-04-02|5.0|0|5.0|0|0.0|0|0.0|100
0|2020-04-03|5.0|0|5.0|0|0.0|0|0.0|100
0|2020-04-04|7.0|0|7.0|0|0.0|0|0.0|100
0|2020-04-05|9.0|0|9.0|0|0.0|0|0.0|100
0|2020-04-06|10.0|0|10.0|0|0.0|0|0.0|100
0|2020-04-07|10.0|0|10.0|0|0.0|0|0.0|100
0|2020-04-08|10.0|0|10.0|0|0.0|0|0.0|100
0|2020-04-09|16.0|0|16.0|0|0.0|0|0.0|100
0|2020-04-10|16.0|0|16.0|0|0.0|0|0.0|100
0|2020-04-11|19.0|0|19.0|0|0.0|0|0.0|100
0|2020-04-12|20.0|0|20.0|0|0.0|0|0.0|100
0|2020-04-13|21.0|0|21.0|0|0.0|0|0.0|100
0|2020-04-14|21.0|0|21.0|0|0.0|0|0.0|100
0|2020-04-15|22.0|0|22.0|0|0.0|0|0.0|100
0|2020-04-16|25.0|0|25.0|0|0.0|0|0.0|100
0|2020-04-17|28.0|0|28.0|0|0.0|0|0.0|100
0|2020-04-18|31.0|0|31.0|0|0.0|0|0.0|100
0|2020-04-19|33.0|0|33.0|0|0.0|0|0.0|100
0|2020-04-20|34.0|0|34.0|0|0.0|0|0.0|100
0|2020-04-21|33.0|0|33.0|0|0.0|0|0.0|100
0|2020-04-22|34.0|0|34.0|0|0.0|0|0.0|100
0|2020-04-23|39.0|0|39.0|0|0.0|0|0.0|100
0|2020-04-24|39.0|0|44.0|0|0.0|0|0.0|100
0|2020-04-25|46.0|0|46.0|0|0.0|0|0.0|100
0|2020-04-26|48.0|0|48.0|0|0.0|0|0.0|100
0|2020-04-27|53.0|0|53.0|0|0.0|0|0.0|100
0|2020-04-28|54.0|0|54.0|0|1.0|0|0.0|100
0|2020-04-29|55.0|0|55.0|0|2.0|0|0.0|100
0|2020-04-30|61.0|0|61.0|0|2.0|0|0.0|100
0|2020-05-01|65.0|0|66.0|0|3.0|0|0.0|100
0|2020-05-02|72.0|0|73.0|0|3.0|0|0.0|100
0|2020-05-03|75.0|0|76.0|0|3.0|0|0.0|100
0|2020-05-04|80.0|0|81.0|0|3.0|0|0.0|100
0|2020-05-05|81.0|0|82.0|0|3.0|0|0.0|100
0|2020-05-06|86.0|0|87.0|0|3.0|0|0.0|100
0|2020-05-07|96.0|0|97.0|0|3.0|0|0.0|100
0|2020-05-08|98.0|0|99.0|0|3.0|0|0.0|100
0|2020-05-09|102.0|0|103.0|0|4.0|0|0.0|100
0|2020-05-10|106.0|0|107.0|0|4.0|0|0.0|100
0|2020-05-11|113.0|0|114.0|0|4.0|0|0.0|100
0|2020-05-12|114.0|0|115.0|0|4.0|0|0.0|100
0|2020-05-13|125.0|0|126.0|0|4.0|0|0.0|100
