|dates|Hancock_Georgia_UnitedStates.BLS_EmployedPopulation.data|Hancock_Georgia_UnitedStates.BLS_EmployedPopulation.missing|Hancock_Georgia_UnitedStates.BLS_UnemployedPopulation.data|Hancock_Georgia_UnitedStates.BLS_UnemployedPopulation.missing|Hancock_Georgia_UnitedStates.BLS_UnemploymentRate.data|Hancock_Georgia_UnitedStates.BLS_UnemploymentRate.missing|Hancock_Georgia_UnitedStates.BLS_LaborForcePopulation.data|Hancock_Georgia_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-12-11|2300.0|0|231.0|0|9.126827340971948|0|2531.0|0
0|2020-12-12|2300.0|0|231.0|0|9.126827340971948|0|2531.0|0
0|2020-12-13|2300.0|0|231.0|0|9.126827340971948|0|2531.0|0
0|2020-12-14|2300.0|0|231.0|0|9.126827340971948|0|2531.0|0
0|2020-12-15|2300.0|0|231.0|0|9.126827340971948|0|2531.0|0
0|2020-12-16|2300.0|0|231.0|0|9.126827340971948|0|2531.0|0
0|2020-12-17|2300.0|0|231.0|0|9.126827340971948|0|2531.0|0
0|2020-12-18|2300.0|0|231.0|0|9.126827340971948|0|2531.0|0
0|2020-12-19|2300.0|0|231.0|0|9.126827340971948|0|2531.0|0
0|2020-12-20|2300.0|0|231.0|0|9.126827340971948|0|2531.0|0
0|2020-12-21|2300.0|0|231.0|0|9.126827340971948|0|2531.0|0
0|2020-12-22|2300.0|0|231.0|0|9.126827340971948|0|2531.0|0
0|2020-12-23|2300.0|0|231.0|0|9.126827340971948|0|2531.0|0
0|2020-12-24|2300.0|0|231.0|0|9.126827340971948|0|2531.0|0
0|2020-12-25|2300.0|0|231.0|0|9.126827340971948|0|2531.0|0
0|2020-12-26|2300.0|0|231.0|0|9.126827340971948|0|2531.0|0
0|2020-12-27|2300.0|0|231.0|0|9.126827340971948|0|2531.0|0
0|2020-12-28|2300.0|0|231.0|0|9.126827340971948|0|2531.0|0
0|2020-12-29|2300.0|0|231.0|0|9.126827340971948|0|2531.0|0
0|2020-12-30|2300.0|0|231.0|0|9.126827340971948|0|2531.0|0
0|2020-12-31|2300.0|0|231.0|0|9.126827340971948|0|2531.0|0
0|2021-01-01|2411.0|0|212.0|0|8.08234845596645|0|2623.0|0
0|2021-01-02|2411.0|0|212.0|0|8.08234845596645|0|2623.0|0
0|2021-01-03|2411.0|0|212.0|0|8.08234845596645|0|2623.0|0
0|2021-01-04|2411.0|0|212.0|0|8.08234845596645|0|2623.0|0
0|2021-01-05|2411.0|0|212.0|0|8.08234845596645|0|2623.0|0
0|2021-01-06|2411.0|0|212.0|0|8.08234845596645|0|2623.0|0
0|2021-01-07|2411.0|0|212.0|0|8.08234845596645|0|2623.0|0
0|2021-01-08|2411.0|0|212.0|0|8.08234845596645|0|2623.0|0
0|2021-01-09|2411.0|0|212.0|0|8.08234845596645|0|2623.0|0
0|2021-01-10|2411.0|0|212.0|0|8.08234845596645|0|2623.0|0
0|2021-01-11|2411.0|0|212.0|0|8.08234845596645|0|2623.0|0
0|2021-01-12|2411.0|0|212.0|0|8.08234845596645|0|2623.0|0
0|2021-01-13|2411.0|0|212.0|0|8.08234845596645|0|2623.0|0
0|2021-01-14|2411.0|0|212.0|0|8.08234845596645|0|2623.0|0
0|2021-01-15|2411.0|0|212.0|0|8.08234845596645|0|2623.0|0
0|2021-01-16|2411.0|0|212.0|0|8.08234845596645|0|2623.0|0
0|2021-01-17|2411.0|0|212.0|0|8.08234845596645|0|2623.0|0
0|2021-01-18|2411.0|0|212.0|0|8.08234845596645|0|2623.0|0
0|2021-01-19|2411.0|0|212.0|0|8.08234845596645|0|2623.0|0
0|2021-01-20|2411.0|0|212.0|0|8.08234845596645|0|2623.0|0
0|2021-01-21|2411.0|0|212.0|0|8.08234845596645|0|2623.0|0
0|2021-01-22|2411.0|0|212.0|0|8.08234845596645|0|2623.0|0
0|2021-01-23|2411.0|0|212.0|0|8.08234845596645|0|2623.0|0
0|2021-01-24|2411.0|0|212.0|0|8.08234845596645|0|2623.0|0
0|2021-01-25|2411.0|0|212.0|0|8.08234845596645|0|2623.0|0
0|2021-01-26|2411.0|0|212.0|0|8.08234845596645|0|2623.0|0
0|2021-01-27|2411.0|0|212.0|0|8.08234845596645|0|2623.0|0
0|2021-01-28|2411.0|0|212.0|0|8.08234845596645|0|2623.0|0
0|2021-01-29|2411.0|0|212.0|0|8.08234845596645|0|2623.0|0
0|2021-01-30|2411.0|0|212.0|0|8.08234845596645|0|2623.0|0
0|2021-01-31|2411.0|0|212.0|0|8.08234845596645|0|2623.0|0
0|2021-02-01|2398.0|0|179.0|0|6.946061311602639|0|2577.0|0
0|2021-02-02|2398.0|0|179.0|0|6.946061311602639|0|2577.0|0
0|2021-02-03|2398.0|0|179.0|0|6.946061311602639|0|2577.0|0
0|2021-02-04|2398.0|0|179.0|0|6.946061311602639|0|2577.0|0
0|2021-02-05|2398.0|0|179.0|0|6.946061311602639|0|2577.0|0
0|2021-02-06|2398.0|0|179.0|0|6.946061311602639|0|2577.0|0
0|2021-02-07|2398.0|0|179.0|0|6.946061311602639|0|2577.0|0
0|2021-02-08|2398.0|0|179.0|0|6.946061311602639|0|2577.0|0
0|2021-02-09|2398.0|0|179.0|0|6.946061311602639|0|2577.0|0
0|2021-02-10|2398.0|0|179.0|0|6.946061311602639|0|2577.0|0
0|2021-02-11|2398.0|0|179.0|0|6.946061311602639|0|2577.0|0
0|2021-02-12|2398.0|0|179.0|0|6.946061311602639|0|2577.0|0
0|2021-02-13|2398.0|0|179.0|0|6.946061311602639|0|2577.0|0
0|2021-02-14|2398.0|0|179.0|0|6.946061311602639|0|2577.0|0
0|2021-02-15|2398.0|0|179.0|0|6.946061311602639|0|2577.0|0
0|2021-02-16|2398.0|0|179.0|0|6.946061311602639|0|2577.0|0
0|2021-02-17|2398.0|0|179.0|0|6.946061311602639|0|2577.0|0
0|2021-02-18|2398.0|0|179.0|0|6.946061311602639|0|2577.0|0
0|2021-02-19|2398.0|0|179.0|0|6.946061311602639|0|2577.0|0
0|2021-02-20|2398.0|0|179.0|0|6.946061311602639|0|2577.0|0
0|2021-02-21|2398.0|0|179.0|0|6.946061311602639|0|2577.0|0
0|2021-02-22|2398.0|0|179.0|0|6.946061311602639|0|2577.0|0
0|2021-02-23|2398.0|0|179.0|0|6.946061311602639|0|2577.0|0
0|2021-02-24|2398.0|0|179.0|0|6.946061311602639|0|2577.0|0
0|2021-02-25|2398.0|0|179.0|0|6.946061311602639|0|2577.0|0
0|2021-02-26|2398.0|0|179.0|0|6.946061311602639|0|2577.0|0
0|2021-02-27|2398.0|0|179.0|0|6.946061311602639|0|2577.0|0
0|2021-02-28|2398.0|0|179.0|0|6.946061311602639|0|2577.0|0
0|2021-03-01|2390.0|0|165.0|0|6.457925636007828|0|2555.0|0
0|2021-03-02|2390.0|0|165.0|0|6.457925636007828|0|2555.0|0
0|2021-03-03|2390.0|0|165.0|0|6.457925636007828|0|2555.0|0
0|2021-03-04|2390.0|0|165.0|0|6.457925636007828|0|2555.0|0
0|2021-03-05|2390.0|0|165.0|0|6.457925636007828|0|2555.0|0
0|2021-03-06|2390.0|0|165.0|0|6.457925636007828|0|2555.0|0
0|2021-03-07|2390.0|0|165.0|0|6.457925636007828|0|2555.0|0
0|2021-03-08|2390.0|0|165.0|0|6.457925636007828|0|2555.0|0
0|2021-03-09|2390.0|0|165.0|0|6.457925636007828|0|2555.0|0
0|2021-03-10|2390.0|0|165.0|0|6.457925636007828|0|2555.0|0
0|2021-03-11|2390.0|0|165.0|0|6.457925636007828|0|2555.0|0
0|2021-03-12|2390.0|0|165.0|0|6.457925636007828|0|2555.0|0
0|2021-03-13|2390.0|0|165.0|0|6.457925636007828|0|2555.0|0
0|2021-03-14|2390.0|0|165.0|0|6.457925636007828|0|2555.0|0
0|2021-03-15|2390.0|0|165.0|0|6.457925636007828|0|2555.0|0
0|2021-03-16|2390.0|0|165.0|0|6.457925636007828|0|2555.0|0
0|2021-03-17|2390.0|0|165.0|0|6.457925636007828|0|2555.0|0
0|2021-03-18|2390.0|0|165.0|0|6.457925636007828|0|2555.0|0
0|2021-03-19|2390.0|0|165.0|0|6.457925636007828|0|2555.0|0
0|2021-03-20|2390.0|0|165.0|0|6.457925636007828|0|2555.0|0
0|2021-03-21|2390.0|0|165.0|0|6.457925636007828|0|2555.0|0
0|2021-03-22|2390.0|0|165.0|0|6.457925636007828|0|2555.0|0
0|2021-03-23|2390.0|0|165.0|0|6.457925636007828|0|2555.0|0
0|2021-03-24|2390.0|0|165.0|0|6.457925636007828|0|2555.0|0
0|2021-03-25|2390.0|0|165.0|0|6.457925636007828|0|2555.0|0
0|2021-03-26|2390.0|0|165.0|0|6.457925636007828|0|2555.0|0
0|2021-03-27|2390.0|0|165.0|0|6.457925636007828|0|2555.0|0
0|2021-03-28|2390.0|0|165.0|0|6.457925636007828|0|2555.0|0
0|2021-03-29|2390.0|0|165.0|0|6.457925636007828|0|2555.0|0
0|2021-03-30|2390.0|0|165.0|0|6.457925636007828|0|2555.0|0
0|2021-03-31|2390.0|0|165.0|0|6.457925636007828|0|2555.0|0
0|2021-04-01|2342.0|0|158.0|0|6.32|0|2500.0|0
0|2021-04-02|2342.0|0|158.0|0|6.32|0|2500.0|0
0|2021-04-03|2342.0|0|158.0|0|6.32|0|2500.0|0
0|2021-04-04|2342.0|0|158.0|0|6.32|0|2500.0|0
0|2021-04-05|2342.0|0|158.0|0|6.32|0|2500.0|0
0|2021-04-06|2342.0|0|158.0|0|6.32|0|2500.0|0
0|2021-04-07|2342.0|0|158.0|0|6.32|0|2500.0|0
0|2021-04-08|2342.0|0|158.0|0|6.32|0|2500.0|0
0|2021-04-09|2342.0|0|158.0|0|6.32|0|2500.0|0
0|2021-04-10|2342.0|0|158.0|0|6.32|0|2500.0|0
0|2021-04-11|2342.0|0|158.0|0|6.32|0|2500.0|0
0|2021-04-12|2342.0|0|158.0|0|6.32|0|2500.0|0
0|2021-04-13|2342.0|0|158.0|0|6.32|0|2500.0|0
0|2021-04-14|2342.0|0|158.0|0|6.32|0|2500.0|0
0|2021-04-15|2342.0|0|158.0|0|6.32|0|2500.0|0
0|2021-04-16|2342.0|0|158.0|0|6.32|0|2500.0|0
0|2021-04-17|2342.0|0|158.0|0|6.32|0|2500.0|0
0|2021-04-18|2342.0|0|158.0|0|6.32|0|2500.0|0
0|2021-04-19|2342.0|0|158.0|0|6.32|0|2500.0|0
0|2021-04-20|2342.0|0|158.0|0|6.32|0|2500.0|0
0|2021-04-21|2342.0|0|158.0|0|6.32|0|2500.0|0
0|2021-04-22|2342.0|0|158.0|0|6.32|0|2500.0|0
0|2021-04-23|2342.0|0|158.0|0|6.32|0|2500.0|0
0|2021-04-24|2342.0|0|158.0|0|6.32|0|2500.0|0
0|2021-04-25|2342.0|0|158.0|0|6.32|0|2500.0|0
0|2021-04-26|2342.0|0|158.0|0|6.32|0|2500.0|0
0|2021-04-27|2342.0|0|158.0|0|6.32|0|2500.0|0
0|2021-04-28|2342.0|0|158.0|0|6.32|0|2500.0|0
0|2021-04-29|2342.0|0|158.0|0|6.32|0|2500.0|0
0|2021-04-30|2342.0|0|158.0|0|6.32|0|2500.0|0
0|2021-05-01|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-05-02|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-05-03|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-05-04|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-05-05|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-05-06|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-05-07|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-05-08|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-05-09|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-05-10|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-05-11|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-05-12|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-05-13|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-05-14|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-05-15|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-05-16|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-05-17|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-05-18|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-05-19|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-05-20|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-05-21|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-05-22|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-05-23|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-05-24|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-05-25|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-05-26|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-05-27|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-05-28|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-05-29|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-05-30|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-05-31|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-06-01|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-06-02|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-06-03|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-06-04|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-06-05|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-06-06|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-06-07|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-06-08|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-06-09|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-06-10|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-06-11|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-06-12|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-06-13|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-06-14|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-06-15|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-06-16|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-06-17|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-06-18|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-06-19|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-06-20|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-06-21|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-06-22|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-06-23|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-06-24|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-06-25|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-06-26|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-06-27|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-06-28|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-06-29|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-06-30|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-07-01|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-07-02|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-07-03|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-07-04|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-07-05|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-07-06|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-07-07|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-07-08|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-07-09|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-07-10|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-07-11|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-07-12|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-07-13|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-07-14|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-07-15|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-07-16|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-07-17|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-07-18|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-07-19|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-07-20|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-07-21|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-07-22|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-07-23|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-07-24|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-07-25|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-07-26|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-07-27|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-07-28|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-07-29|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-07-30|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-07-31|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-08-01|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-08-02|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-08-03|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-08-04|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-08-05|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-08-06|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-08-07|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-08-08|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-08-09|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-08-10|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-08-11|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-08-12|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-08-13|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-08-14|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-08-15|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-08-16|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-08-17|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-08-18|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-08-19|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-08-20|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-08-21|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-08-22|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-08-23|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-08-24|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-08-25|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-08-26|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-08-27|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-08-28|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-08-29|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-08-30|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-08-31|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-09-01|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-09-02|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-09-03|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-09-04|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-09-05|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-09-06|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-09-07|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-09-08|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-09-09|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-09-10|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-09-11|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-09-12|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-09-13|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-09-14|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-09-15|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-09-16|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-09-17|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-09-18|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-09-19|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-09-20|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-09-21|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-09-22|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-09-23|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-09-24|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-09-25|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-09-26|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-09-27|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-09-28|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-09-29|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-09-30|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-10-01|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-10-02|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-10-03|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-10-04|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-10-05|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-10-06|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-10-07|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-10-08|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-10-09|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-10-10|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-10-11|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-10-12|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-10-13|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-10-14|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
0|2021-10-15|2327.0|0|146.0|0|5.903760614638092|0|2473.0|0
