|dates|Atchison_Kansas_UnitedStates.BLS_EmployedPopulation.data|Atchison_Kansas_UnitedStates.BLS_EmployedPopulation.missing|Atchison_Kansas_UnitedStates.BLS_UnemployedPopulation.data|Atchison_Kansas_UnitedStates.BLS_UnemployedPopulation.missing|Atchison_Kansas_UnitedStates.BLS_UnemploymentRate.data|Atchison_Kansas_UnitedStates.BLS_UnemploymentRate.missing|Atchison_Kansas_UnitedStates.BLS_LaborForcePopulation.data|Atchison_Kansas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-12-11|6549.0|0|343.0|0|4.976784677887406|0|6892.0|0
0|2020-12-12|6549.0|0|343.0|0|4.976784677887406|0|6892.0|0
0|2020-12-13|6549.0|0|343.0|0|4.976784677887406|0|6892.0|0
0|2020-12-14|6549.0|0|343.0|0|4.976784677887406|0|6892.0|0
0|2020-12-15|6549.0|0|343.0|0|4.976784677887406|0|6892.0|0
0|2020-12-16|6549.0|0|343.0|0|4.976784677887406|0|6892.0|0
0|2020-12-17|6549.0|0|343.0|0|4.976784677887406|0|6892.0|0
0|2020-12-18|6549.0|0|343.0|0|4.976784677887406|0|6892.0|0
0|2020-12-19|6549.0|0|343.0|0|4.976784677887406|0|6892.0|0
0|2020-12-20|6549.0|0|343.0|0|4.976784677887406|0|6892.0|0
0|2020-12-21|6549.0|0|343.0|0|4.976784677887406|0|6892.0|0
0|2020-12-22|6549.0|0|343.0|0|4.976784677887406|0|6892.0|0
0|2020-12-23|6549.0|0|343.0|0|4.976784677887406|0|6892.0|0
0|2020-12-24|6549.0|0|343.0|0|4.976784677887406|0|6892.0|0
0|2020-12-25|6549.0|0|343.0|0|4.976784677887406|0|6892.0|0
0|2020-12-26|6549.0|0|343.0|0|4.976784677887406|0|6892.0|0
0|2020-12-27|6549.0|0|343.0|0|4.976784677887406|0|6892.0|0
0|2020-12-28|6549.0|0|343.0|0|4.976784677887406|0|6892.0|0
0|2020-12-29|6549.0|0|343.0|0|4.976784677887406|0|6892.0|0
0|2020-12-30|6549.0|0|343.0|0|4.976784677887406|0|6892.0|0
0|2020-12-31|6549.0|0|343.0|0|4.976784677887406|0|6892.0|0
0|2021-01-01|6448.0|0|420.0|0|6.115317414094351|0|6868.0|0
0|2021-01-02|6448.0|0|420.0|0|6.115317414094351|0|6868.0|0
0|2021-01-03|6448.0|0|420.0|0|6.115317414094351|0|6868.0|0
0|2021-01-04|6448.0|0|420.0|0|6.115317414094351|0|6868.0|0
0|2021-01-05|6448.0|0|420.0|0|6.115317414094351|0|6868.0|0
0|2021-01-06|6448.0|0|420.0|0|6.115317414094351|0|6868.0|0
0|2021-01-07|6448.0|0|420.0|0|6.115317414094351|0|6868.0|0
0|2021-01-08|6448.0|0|420.0|0|6.115317414094351|0|6868.0|0
0|2021-01-09|6448.0|0|420.0|0|6.115317414094351|0|6868.0|0
0|2021-01-10|6448.0|0|420.0|0|6.115317414094351|0|6868.0|0
0|2021-01-11|6448.0|0|420.0|0|6.115317414094351|0|6868.0|0
0|2021-01-12|6448.0|0|420.0|0|6.115317414094351|0|6868.0|0
0|2021-01-13|6448.0|0|420.0|0|6.115317414094351|0|6868.0|0
0|2021-01-14|6448.0|0|420.0|0|6.115317414094351|0|6868.0|0
0|2021-01-15|6448.0|0|420.0|0|6.115317414094351|0|6868.0|0
0|2021-01-16|6448.0|0|420.0|0|6.115317414094351|0|6868.0|0
0|2021-01-17|6448.0|0|420.0|0|6.115317414094351|0|6868.0|0
0|2021-01-18|6448.0|0|420.0|0|6.115317414094351|0|6868.0|0
0|2021-01-19|6448.0|0|420.0|0|6.115317414094351|0|6868.0|0
0|2021-01-20|6448.0|0|420.0|0|6.115317414094351|0|6868.0|0
0|2021-01-21|6448.0|0|420.0|0|6.115317414094351|0|6868.0|0
0|2021-01-22|6448.0|0|420.0|0|6.115317414094351|0|6868.0|0
0|2021-01-23|6448.0|0|420.0|0|6.115317414094351|0|6868.0|0
0|2021-01-24|6448.0|0|420.0|0|6.115317414094351|0|6868.0|0
0|2021-01-25|6448.0|0|420.0|0|6.115317414094351|0|6868.0|0
0|2021-01-26|6448.0|0|420.0|0|6.115317414094351|0|6868.0|0
0|2021-01-27|6448.0|0|420.0|0|6.115317414094351|0|6868.0|0
0|2021-01-28|6448.0|0|420.0|0|6.115317414094351|0|6868.0|0
0|2021-01-29|6448.0|0|420.0|0|6.115317414094351|0|6868.0|0
0|2021-01-30|6448.0|0|420.0|0|6.115317414094351|0|6868.0|0
0|2021-01-31|6448.0|0|420.0|0|6.115317414094351|0|6868.0|0
0|2021-02-01|6504.0|0|340.0|0|4.967855055523086|0|6844.0|0
0|2021-02-02|6504.0|0|340.0|0|4.967855055523086|0|6844.0|0
0|2021-02-03|6504.0|0|340.0|0|4.967855055523086|0|6844.0|0
0|2021-02-04|6504.0|0|340.0|0|4.967855055523086|0|6844.0|0
0|2021-02-05|6504.0|0|340.0|0|4.967855055523086|0|6844.0|0
0|2021-02-06|6504.0|0|340.0|0|4.967855055523086|0|6844.0|0
0|2021-02-07|6504.0|0|340.0|0|4.967855055523086|0|6844.0|0
0|2021-02-08|6504.0|0|340.0|0|4.967855055523086|0|6844.0|0
0|2021-02-09|6504.0|0|340.0|0|4.967855055523086|0|6844.0|0
0|2021-02-10|6504.0|0|340.0|0|4.967855055523086|0|6844.0|0
0|2021-02-11|6504.0|0|340.0|0|4.967855055523086|0|6844.0|0
0|2021-02-12|6504.0|0|340.0|0|4.967855055523086|0|6844.0|0
0|2021-02-13|6504.0|0|340.0|0|4.967855055523086|0|6844.0|0
0|2021-02-14|6504.0|0|340.0|0|4.967855055523086|0|6844.0|0
0|2021-02-15|6504.0|0|340.0|0|4.967855055523086|0|6844.0|0
0|2021-02-16|6504.0|0|340.0|0|4.967855055523086|0|6844.0|0
0|2021-02-17|6504.0|0|340.0|0|4.967855055523086|0|6844.0|0
0|2021-02-18|6504.0|0|340.0|0|4.967855055523086|0|6844.0|0
0|2021-02-19|6504.0|0|340.0|0|4.967855055523086|0|6844.0|0
0|2021-02-20|6504.0|0|340.0|0|4.967855055523086|0|6844.0|0
0|2021-02-21|6504.0|0|340.0|0|4.967855055523086|0|6844.0|0
0|2021-02-22|6504.0|0|340.0|0|4.967855055523086|0|6844.0|0
0|2021-02-23|6504.0|0|340.0|0|4.967855055523086|0|6844.0|0
0|2021-02-24|6504.0|0|340.0|0|4.967855055523086|0|6844.0|0
0|2021-02-25|6504.0|0|340.0|0|4.967855055523086|0|6844.0|0
0|2021-02-26|6504.0|0|340.0|0|4.967855055523086|0|6844.0|0
0|2021-02-27|6504.0|0|340.0|0|4.967855055523086|0|6844.0|0
0|2021-02-28|6504.0|0|340.0|0|4.967855055523086|0|6844.0|0
0|2021-03-01|6481.0|0|305.0|0|4.494547597995874|0|6786.0|0
0|2021-03-02|6481.0|0|305.0|0|4.494547597995874|0|6786.0|0
0|2021-03-03|6481.0|0|305.0|0|4.494547597995874|0|6786.0|0
0|2021-03-04|6481.0|0|305.0|0|4.494547597995874|0|6786.0|0
0|2021-03-05|6481.0|0|305.0|0|4.494547597995874|0|6786.0|0
0|2021-03-06|6481.0|0|305.0|0|4.494547597995874|0|6786.0|0
0|2021-03-07|6481.0|0|305.0|0|4.494547597995874|0|6786.0|0
0|2021-03-08|6481.0|0|305.0|0|4.494547597995874|0|6786.0|0
0|2021-03-09|6481.0|0|305.0|0|4.494547597995874|0|6786.0|0
0|2021-03-10|6481.0|0|305.0|0|4.494547597995874|0|6786.0|0
0|2021-03-11|6481.0|0|305.0|0|4.494547597995874|0|6786.0|0
0|2021-03-12|6481.0|0|305.0|0|4.494547597995874|0|6786.0|0
0|2021-03-13|6481.0|0|305.0|0|4.494547597995874|0|6786.0|0
0|2021-03-14|6481.0|0|305.0|0|4.494547597995874|0|6786.0|0
0|2021-03-15|6481.0|0|305.0|0|4.494547597995874|0|6786.0|0
0|2021-03-16|6481.0|0|305.0|0|4.494547597995874|0|6786.0|0
0|2021-03-17|6481.0|0|305.0|0|4.494547597995874|0|6786.0|0
0|2021-03-18|6481.0|0|305.0|0|4.494547597995874|0|6786.0|0
0|2021-03-19|6481.0|0|305.0|0|4.494547597995874|0|6786.0|0
0|2021-03-20|6481.0|0|305.0|0|4.494547597995874|0|6786.0|0
0|2021-03-21|6481.0|0|305.0|0|4.494547597995874|0|6786.0|0
0|2021-03-22|6481.0|0|305.0|0|4.494547597995874|0|6786.0|0
0|2021-03-23|6481.0|0|305.0|0|4.494547597995874|0|6786.0|0
0|2021-03-24|6481.0|0|305.0|0|4.494547597995874|0|6786.0|0
0|2021-03-25|6481.0|0|305.0|0|4.494547597995874|0|6786.0|0
0|2021-03-26|6481.0|0|305.0|0|4.494547597995874|0|6786.0|0
0|2021-03-27|6481.0|0|305.0|0|4.494547597995874|0|6786.0|0
0|2021-03-28|6481.0|0|305.0|0|4.494547597995874|0|6786.0|0
0|2021-03-29|6481.0|0|305.0|0|4.494547597995874|0|6786.0|0
0|2021-03-30|6481.0|0|305.0|0|4.494547597995874|0|6786.0|0
0|2021-03-31|6481.0|0|305.0|0|4.494547597995874|0|6786.0|0
0|2021-04-01|6395.0|0|257.0|0|3.863499699338545|0|6652.0|0
0|2021-04-02|6395.0|0|257.0|0|3.863499699338545|0|6652.0|0
0|2021-04-03|6395.0|0|257.0|0|3.863499699338545|0|6652.0|0
0|2021-04-04|6395.0|0|257.0|0|3.863499699338545|0|6652.0|0
0|2021-04-05|6395.0|0|257.0|0|3.863499699338545|0|6652.0|0
0|2021-04-06|6395.0|0|257.0|0|3.863499699338545|0|6652.0|0
0|2021-04-07|6395.0|0|257.0|0|3.863499699338545|0|6652.0|0
0|2021-04-08|6395.0|0|257.0|0|3.863499699338545|0|6652.0|0
0|2021-04-09|6395.0|0|257.0|0|3.863499699338545|0|6652.0|0
0|2021-04-10|6395.0|0|257.0|0|3.863499699338545|0|6652.0|0
0|2021-04-11|6395.0|0|257.0|0|3.863499699338545|0|6652.0|0
0|2021-04-12|6395.0|0|257.0|0|3.863499699338545|0|6652.0|0
0|2021-04-13|6395.0|0|257.0|0|3.863499699338545|0|6652.0|0
0|2021-04-14|6395.0|0|257.0|0|3.863499699338545|0|6652.0|0
0|2021-04-15|6395.0|0|257.0|0|3.863499699338545|0|6652.0|0
0|2021-04-16|6395.0|0|257.0|0|3.863499699338545|0|6652.0|0
0|2021-04-17|6395.0|0|257.0|0|3.863499699338545|0|6652.0|0
0|2021-04-18|6395.0|0|257.0|0|3.863499699338545|0|6652.0|0
0|2021-04-19|6395.0|0|257.0|0|3.863499699338545|0|6652.0|0
0|2021-04-20|6395.0|0|257.0|0|3.863499699338545|0|6652.0|0
0|2021-04-21|6395.0|0|257.0|0|3.863499699338545|0|6652.0|0
0|2021-04-22|6395.0|0|257.0|0|3.863499699338545|0|6652.0|0
0|2021-04-23|6395.0|0|257.0|0|3.863499699338545|0|6652.0|0
0|2021-04-24|6395.0|0|257.0|0|3.863499699338545|0|6652.0|0
0|2021-04-25|6395.0|0|257.0|0|3.863499699338545|0|6652.0|0
0|2021-04-26|6395.0|0|257.0|0|3.863499699338545|0|6652.0|0
0|2021-04-27|6395.0|0|257.0|0|3.863499699338545|0|6652.0|0
0|2021-04-28|6395.0|0|257.0|0|3.863499699338545|0|6652.0|0
0|2021-04-29|6395.0|0|257.0|0|3.863499699338545|0|6652.0|0
0|2021-04-30|6395.0|0|257.0|0|3.863499699338545|0|6652.0|0
0|2021-05-01|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-05-02|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-05-03|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-05-04|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-05-05|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-05-06|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-05-07|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-05-08|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-05-09|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-05-10|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-05-11|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-05-12|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-05-13|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-05-14|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-05-15|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-05-16|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-05-17|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-05-18|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-05-19|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-05-20|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-05-21|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-05-22|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-05-23|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-05-24|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-05-25|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-05-26|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-05-27|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-05-28|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-05-29|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-05-30|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-05-31|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-06-01|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-06-02|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-06-03|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-06-04|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-06-05|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-06-06|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-06-07|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-06-08|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-06-09|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-06-10|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-06-11|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-06-12|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-06-13|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-06-14|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-06-15|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-06-16|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-06-17|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-06-18|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-06-19|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-06-20|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-06-21|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-06-22|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-06-23|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-06-24|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-06-25|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-06-26|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-06-27|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-06-28|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-06-29|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-06-30|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-07-01|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-07-02|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-07-03|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-07-04|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-07-05|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-07-06|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-07-07|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-07-08|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-07-09|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-07-10|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-07-11|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-07-12|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-07-13|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-07-14|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-07-15|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-07-16|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-07-17|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-07-18|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-07-19|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-07-20|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-07-21|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-07-22|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-07-23|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-07-24|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-07-25|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-07-26|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-07-27|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-07-28|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-07-29|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-07-30|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-07-31|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-08-01|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-08-02|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-08-03|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-08-04|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-08-05|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-08-06|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-08-07|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-08-08|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-08-09|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-08-10|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-08-11|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-08-12|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-08-13|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-08-14|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-08-15|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-08-16|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-08-17|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-08-18|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-08-19|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-08-20|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-08-21|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-08-22|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-08-23|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-08-24|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-08-25|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-08-26|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-08-27|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-08-28|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-08-29|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-08-30|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-08-31|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-09-01|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-09-02|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-09-03|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-09-04|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-09-05|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-09-06|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-09-07|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-09-08|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-09-09|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-09-10|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-09-11|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-09-12|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-09-13|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-09-14|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-09-15|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-09-16|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-09-17|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-09-18|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-09-19|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-09-20|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-09-21|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-09-22|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-09-23|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-09-24|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-09-25|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-09-26|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-09-27|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-09-28|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-09-29|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-09-30|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-10-01|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-10-02|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-10-03|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-10-04|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-10-05|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-10-06|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-10-07|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-10-08|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-10-09|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-10-10|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-10-11|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-10-12|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-10-13|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-10-14|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
0|2021-10-15|6396.0|0|286.0|0|4.280155642023346|0|6682.0|0
