|dates|Delaware_Oklahoma_UnitedStates.JHU_ConfirmedCases.data|Delaware_Oklahoma_UnitedStates.JHU_ConfirmedCases.missing|Delaware_Oklahoma_UnitedStates.NYT_ConfirmedCases.data|Delaware_Oklahoma_UnitedStates.NYT_ConfirmedCases.missing|Delaware_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.data|Delaware_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.missing|Delaware_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.data|Delaware_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-25|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-26|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-27|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-28|4.0|0|4.0|0|0.0|0|0.0|100
0|2020-03-29|4.0|0|4.0|0|0.0|0|0.0|100
0|2020-03-30|7.0|0|7.0|0|0.0|0|0.0|100
0|2020-03-31|7.0|0|7.0|0|0.0|0|0.0|100
0|2020-04-01|8.0|0|8.0|0|0.0|0|0.0|100
0|2020-04-02|10.0|0|10.0|0|0.0|0|0.0|100
0|2020-04-03|11.0|0|11.0|0|0.0|0|0.0|100
0|2020-04-04|11.0|0|11.0|0|0.0|0|0.0|100
0|2020-04-05|12.0|0|12.0|0|0.0|0|0.0|100
0|2020-04-06|13.0|0|13.0|0|0.0|0|0.0|100
0|2020-04-07|13.0|0|13.0|0|0.0|0|0.0|100
0|2020-04-08|13.0|0|13.0|0|0.0|0|0.0|100
0|2020-04-09|14.0|0|14.0|0|0.0|0|0.0|100
0|2020-04-10|23.0|0|23.0|0|0.0|0|0.0|100
0|2020-04-11|24.0|0|24.0|0|0.0|0|0.0|100
0|2020-04-12|50.0|0|50.0|0|0.0|0|0.0|100
0|2020-04-13|63.0|0|63.0|0|0.0|0|0.0|100
0|2020-04-14|71.0|0|71.0|0|0.0|0|0.0|100
0|2020-04-15|72.0|0|72.0|0|0.0|0|0.0|100
0|2020-04-16|74.0|0|74.0|0|2.0|0|0.0|100
0|2020-04-17|74.0|0|76.0|0|2.0|0|0.0|100
0|2020-04-18|74.0|0|80.0|0|2.0|0|0.0|100
0|2020-04-19|83.0|0|83.0|0|5.0|0|0.0|100
0|2020-04-20|86.0|0|86.0|0|5.0|0|0.0|100
0|2020-04-21|87.0|0|87.0|0|9.0|0|0.0|100
0|2020-04-22|88.0|0|88.0|0|9.0|0|0.0|100
0|2020-04-23|89.0|0|89.0|0|9.0|0|0.0|100
0|2020-04-24|90.0|0|90.0|0|9.0|0|0.0|100
0|2020-04-25|90.0|0|90.0|0|10.0|0|0.0|100
0|2020-04-26|90.0|0|90.0|0|10.0|0|0.0|100
0|2020-04-27|90.0|0|90.0|0|10.0|0|0.0|100
0|2020-04-28|90.0|0|90.0|0|11.0|0|0.0|100
0|2020-04-29|90.0|0|90.0|0|11.0|0|0.0|100
0|2020-04-30|90.0|0|90.0|0|13.0|0|0.0|100
0|2020-05-01|91.0|0|91.0|0|13.0|0|0.0|100
0|2020-05-02|91.0|0|91.0|0|13.0|0|0.0|100
0|2020-05-03|91.0|0|91.0|0|13.0|0|0.0|100
0|2020-05-04|91.0|0|91.0|0|13.0|0|0.0|100
0|2020-05-05|92.0|0|92.0|0|14.0|0|0.0|100
0|2020-05-06|92.0|0|92.0|0|14.0|0|0.0|100
0|2020-05-07|92.0|0|92.0|0|15.0|0|0.0|100
0|2020-05-08|92.0|0|92.0|0|15.0|0|0.0|100
0|2020-05-09|92.0|0|92.0|0|16.0|0|0.0|100
0|2020-05-10|92.0|0|92.0|0|16.0|0|0.0|100
0|2020-05-11|93.0|0|93.0|0|16.0|0|0.0|100
0|2020-05-12|94.0|0|94.0|0|16.0|0|0.0|100
0|2020-05-13|94.0|0|93.0|0|16.0|0|0.0|100
