|dates|Guilford_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Guilford_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Guilford_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data|Guilford_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Guilford_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Guilford_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Guilford_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Guilford_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-17|1.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-18|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-19|3.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-20|4.0|0|4.0|0|0.0|0|0.0|100
0|2020-03-21|7.0|0|4.0|0|0.0|0|0.0|100
0|2020-03-22|11.0|0|11.0|0|0.0|0|0.0|100
0|2020-03-23|11.0|0|11.0|0|0.0|0|0.0|100
0|2020-03-24|16.0|0|16.0|0|0.0|0|0.0|100
0|2020-03-25|22.0|0|22.0|0|0.0|0|0.0|100
0|2020-03-26|24.0|0|24.0|0|0.0|0|0.0|100
0|2020-03-27|31.0|0|31.0|0|0.0|0|0.0|100
0|2020-03-28|34.0|0|34.0|0|0.0|0|0.0|100
0|2020-03-29|39.0|0|39.0|0|0.0|0|0.0|100
0|2020-03-30|44.0|0|44.0|0|0.0|0|0.0|100
0|2020-03-31|50.0|0|52.0|0|1.0|0|0.0|100
0|2020-04-01|55.0|0|55.0|0|1.0|0|0.0|100
0|2020-04-02|74.0|0|71.0|0|3.0|0|0.0|100
0|2020-04-03|88.0|0|79.0|0|4.0|0|0.0|100
0|2020-04-04|94.0|0|94.0|0|5.0|0|0.0|100
0|2020-04-05|96.0|0|96.0|0|5.0|0|0.0|100
0|2020-04-06|104.0|0|104.0|0|5.0|0|0.0|100
0|2020-04-07|119.0|0|119.0|0|5.0|0|0.0|100
0|2020-04-08|122.0|0|122.0|0|8.0|0|0.0|100
0|2020-04-09|125.0|0|125.0|0|8.0|0|0.0|100
0|2020-04-10|127.0|0|127.0|0|9.0|0|0.0|100
0|2020-04-11|134.0|0|134.0|0|9.0|0|0.0|100
0|2020-04-12|135.0|0|135.0|0|9.0|0|0.0|100
0|2020-04-13|138.0|0|138.0|0|10.0|0|0.0|100
0|2020-04-14|138.0|0|137.0|0|10.0|0|0.0|100
0|2020-04-15|151.0|0|149.0|0|10.0|0|0.0|100
0|2020-04-16|160.0|0|154.0|0|11.0|0|0.0|100
0|2020-04-17|171.0|0|162.0|0|12.0|0|0.0|100
0|2020-04-18|176.0|0|168.0|0|13.0|0|0.0|100
0|2020-04-19|176.0|0|172.0|0|13.0|0|0.0|100
0|2020-04-20|176.0|0|175.0|0|13.0|0|0.0|100
0|2020-04-21|201.0|0|190.0|0|15.0|0|0.0|100
0|2020-04-22|233.0|0|226.0|0|16.0|0|0.0|100
0|2020-04-23|240.0|0|240.0|0|16.0|0|0.0|100
0|2020-04-24|275.0|0|272.0|0|19.0|0|0.0|100
0|2020-04-25|304.0|0|293.0|0|19.0|0|0.0|100
0|2020-04-26|314.0|0|299.0|0|22.0|0|0.0|100
0|2020-04-27|314.0|0|301.0|0|21.0|0|0.0|100
0|2020-04-28|345.0|0|318.0|0|23.0|0|0.0|100
0|2020-04-29|358.0|0|357.0|0|23.0|0|0.0|100
0|2020-04-30|381.0|0|381.0|0|28.0|0|0.0|100
0|2020-05-01|415.0|0|415.0|0|30.0|0|0.0|100
0|2020-05-02|437.0|0|437.0|0|31.0|0|0.0|100
0|2020-05-03|439.0|0|439.0|0|31.0|0|0.0|100
0|2020-05-04|443.0|0|443.0|0|31.0|0|0.0|100
0|2020-05-05|464.0|0|464.0|0|33.0|0|0.0|100
0|2020-05-06|527.0|0|507.0|0|35.0|0|0.0|100
0|2020-05-07|536.0|0|536.0|0|35.0|0|0.0|100
0|2020-05-08|553.0|0|553.0|0|38.0|0|0.0|100
0|2020-05-09|574.0|0|574.0|0|38.0|0|0.0|100
0|2020-05-10|592.0|0|592.0|0|38.0|0|0.0|100
0|2020-05-11|641.0|0|609.0|0|38.0|0|0.0|100
0|2020-05-12|649.0|0|626.0|0|42.0|0|0.0|100
