|dates|Dallas_Texas_UnitedStates.JHU_ConfirmedCases.data|Dallas_Texas_UnitedStates.JHU_ConfirmedCases.missing|Dallas_Texas_UnitedStates.NYT_ConfirmedCases.data|Dallas_Texas_UnitedStates.NYT_ConfirmedCases.missing|Dallas_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Dallas_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Dallas_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Dallas_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-10|0.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-11|2.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-12|3.0|0|8.0|0|0.0|0|0.0|100
0|2020-03-13|8.0|0|9.0|0|0.0|0|0.0|100
0|2020-03-14|9.0|0|11.0|0|0.0|0|0.0|100
0|2020-03-15|11.0|0|14.0|0|0.0|0|0.0|100
0|2020-03-16|19.0|0|14.0|0|0.0|0|0.0|100
0|2020-03-17|28.0|0|23.0|0|0.0|0|0.0|100
0|2020-03-18|39.0|0|34.0|0|0.0|0|0.0|100
0|2020-03-19|59.0|0|56.0|0|1.0|0|0.0|100
0|2020-03-20|74.0|0|74.0|0|1.0|0|0.0|100
0|2020-03-21|95.0|0|95.0|0|1.0|0|0.0|100
0|2020-03-22|131.0|0|132.0|0|2.0|0|0.0|100
0|2020-03-23|155.0|0|159.0|0|4.0|0|0.0|100
0|2020-03-24|169.0|0|169.0|0|5.0|0|0.0|100
0|2020-03-25|247.0|0|169.0|0|6.0|0|0.0|100
0|2020-03-26|303.0|0|303.0|0|7.0|0|0.0|100
0|2020-03-27|367.0|0|367.0|0|7.0|0|0.0|100
0|2020-03-28|439.0|0|439.0|0|9.0|0|0.0|100
0|2020-03-29|488.0|0|443.0|0|10.0|0|0.0|100
0|2020-03-30|549.0|0|549.0|0|11.0|0|0.0|100
0|2020-03-31|631.0|0|631.0|0|13.0|0|0.0|100
0|2020-04-01|731.0|0|731.0|0|15.0|0|0.0|100
0|2020-04-02|831.0|0|831.0|0|17.0|0|0.0|100
0|2020-04-03|921.0|0|921.0|0|17.0|0|0.0|100
0|2020-04-04|1105.0|0|1015.0|0|18.0|0|0.0|100
0|2020-04-05|1112.0|0|1112.0|0|18.0|0|0.0|100
0|2020-04-06|1155.0|0|1155.0|0|18.0|0|0.0|100
0|2020-04-07|1261.0|0|1261.0|0|19.0|0|0.0|100
0|2020-04-08|1324.0|0|1324.0|0|20.0|0|0.0|100
0|2020-04-09|1432.0|0|1432.0|0|22.0|0|0.0|100
0|2020-04-10|1537.0|0|1537.0|0|25.0|0|0.0|100
0|2020-04-11|1644.0|0|1648.0|0|27.0|0|0.0|100
0|2020-04-12|1723.0|0|1723.0|0|31.0|0|0.0|100
0|2020-04-13|1788.0|0|1788.0|0|32.0|0|0.0|100
0|2020-04-14|1877.0|0|1877.0|0|42.0|0|0.0|100
0|2020-04-15|1986.0|0|1986.0|0|43.0|0|0.0|100
0|2020-04-16|2066.0|0|2066.0|0|50.0|0|0.0|100
0|2020-04-17|2190.0|0|2190.0|0|55.0|0|0.0|100
0|2020-04-18|2324.0|0|2324.0|0|60.0|0|0.0|100
0|2020-04-19|2428.0|0|2428.0|0|60.0|0|0.0|100
0|2020-04-20|2512.0|0|2512.0|0|60.0|0|0.0|100
0|2020-04-21|2512.0|0|2602.0|0|60.0|0|0.0|100
0|2020-04-22|2683.0|0|2683.0|0|65.0|0|0.0|100
0|2020-04-23|2763.0|0|2763.0|0|72.0|0|0.0|100
0|2020-04-24|2834.0|0|2834.0|0|77.0|0|0.0|100
0|2020-04-25|2909.0|0|2909.0|0|81.0|0|0.0|100
0|2020-04-26|3014.0|0|3014.0|0|82.0|0|0.0|100
0|2020-04-27|3014.0|0|3105.0|0|82.0|0|0.0|100
0|2020-04-28|3240.0|0|3240.0|0|94.0|0|0.0|100
0|2020-04-29|3240.0|0|3352.0|0|94.0|0|0.0|100
0|2020-04-30|3531.0|0|3531.0|0|104.0|0|0.0|100
0|2020-05-01|3718.0|0|3718.0|0|106.0|0|0.0|100
0|2020-05-02|3899.0|0|3899.0|0|110.0|0|0.0|100
0|2020-05-03|4133.0|0|4133.0|0|111.0|0|0.0|100
0|2020-05-04|4370.0|0|4370.0|0|114.0|0|0.0|100
0|2020-05-05|4623.0|0|4623.0|0|121.0|0|0.0|100
0|2020-05-06|4869.0|0|4869.0|0|123.0|0|0.0|100
0|2020-05-07|5120.0|0|5120.0|0|125.0|0|0.0|100
0|2020-05-08|5369.0|0|5369.0|0|135.0|0|0.0|100
0|2020-05-09|5619.0|0|5619.0|0|143.0|0|0.0|100
0|2020-05-10|5870.0|0|5870.0|0|143.0|0|0.0|100
0|2020-05-11|6123.0|0|6123.0|0|145.0|0|0.0|100
