|dates|Windsor_Vermont_UnitedStates.JHU_ConfirmedCases.data|Windsor_Vermont_UnitedStates.JHU_ConfirmedCases.missing|Windsor_Vermont_UnitedStates.NYT_ConfirmedCases.data|Windsor_Vermont_UnitedStates.NYT_ConfirmedCases.missing|Windsor_Vermont_UnitedStates.JHU_ConfirmedDeaths.data|Windsor_Vermont_UnitedStates.JHU_ConfirmedDeaths.missing|Windsor_Vermont_UnitedStates.JHU_ConfirmedRecoveries.data|Windsor_Vermont_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-14|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-15|2.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-16|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-17|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-18|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-19|3.0|0|3.0|0|1.0|0|0.0|100
0|2020-03-20|3.0|0|6.0|0|1.0|0|0.0|100
0|2020-03-21|9.0|0|8.0|0|1.0|0|0.0|100
0|2020-03-22|8.0|0|8.0|0|1.0|0|0.0|100
0|2020-03-23|12.0|0|8.0|0|1.0|0|0.0|100
0|2020-03-24|15.0|0|15.0|0|1.0|0|0.0|100
0|2020-03-25|17.0|0|17.0|0|1.0|0|0.0|100
0|2020-03-26|17.0|0|17.0|0|1.0|0|0.0|100
0|2020-03-27|18.0|0|18.0|0|1.0|0|0.0|100
0|2020-03-28|18.0|0|18.0|0|1.0|0|0.0|100
0|2020-03-29|18.0|0|18.0|0|1.0|0|0.0|100
0|2020-03-30|18.0|0|18.0|0|1.0|0|0.0|100
0|2020-03-31|18.0|0|18.0|0|1.0|0|0.0|100
0|2020-04-01|18.0|0|18.0|0|1.0|0|0.0|100
0|2020-04-02|20.0|0|20.0|0|1.0|0|0.0|100
0|2020-04-03|20.0|0|20.0|0|1.0|0|0.0|100
0|2020-04-04|21.0|0|24.0|0|1.0|0|0.0|100
0|2020-04-05|22.0|0|22.0|0|1.0|0|0.0|100
0|2020-04-06|22.0|0|22.0|0|1.0|0|0.0|100
0|2020-04-07|24.0|0|24.0|0|1.0|0|0.0|100
0|2020-04-08|24.0|0|24.0|0|1.0|0|0.0|100
0|2020-04-09|24.0|0|24.0|0|2.0|0|0.0|100
0|2020-04-10|24.0|0|24.0|0|2.0|0|0.0|100
0|2020-04-11|25.0|0|25.0|0|2.0|0|0.0|100
0|2020-04-12|25.0|0|25.0|0|2.0|0|0.0|100
0|2020-04-13|27.0|0|27.0|0|2.0|0|0.0|100
0|2020-04-14|27.0|0|27.0|0|2.0|0|0.0|100
0|2020-04-15|27.0|0|29.0|0|2.0|0|0.0|100
0|2020-04-16|31.0|0|31.0|0|2.0|0|0.0|100
0|2020-04-17|33.0|0|33.0|0|2.0|0|0.0|100
0|2020-04-18|34.0|0|34.0|0|2.0|0|0.0|100
0|2020-04-19|37.0|0|37.0|0|2.0|0|0.0|100
0|2020-04-20|37.0|0|37.0|0|2.0|0|0.0|100
0|2020-04-21|38.0|0|38.0|0|2.0|0|0.0|100
0|2020-04-22|38.0|0|38.0|0|2.0|0|0.0|100
0|2020-04-23|38.0|0|38.0|0|2.0|0|0.0|100
0|2020-04-24|38.0|0|38.0|0|2.0|0|0.0|100
0|2020-04-25|39.0|0|39.0|0|2.0|0|0.0|100
0|2020-04-26|39.0|0|39.0|0|2.0|0|0.0|100
0|2020-04-27|40.0|0|40.0|0|2.0|0|0.0|100
0|2020-04-28|40.0|0|40.0|0|2.0|0|0.0|100
0|2020-04-29|40.0|0|40.0|0|2.0|0|0.0|100
0|2020-04-30|40.0|0|40.0|0|2.0|0|0.0|100
0|2020-05-01|40.0|0|40.0|0|2.0|0|0.0|100
0|2020-05-02|41.0|0|41.0|0|2.0|0|0.0|100
0|2020-05-03|42.0|0|42.0|0|2.0|0|0.0|100
0|2020-05-04|43.0|0|43.0|0|2.0|0|0.0|100
0|2020-05-05|43.0|0|43.0|0|2.0|0|0.0|100
0|2020-05-06|44.0|0|44.0|0|2.0|0|0.0|100
0|2020-05-07|46.0|0|46.0|0|2.0|0|0.0|100
0|2020-05-08|46.0|0|46.0|0|2.0|0|0.0|100
0|2020-05-09|46.0|0|46.0|0|2.0|0|0.0|100
0|2020-05-10|45.0|0|45.0|0|2.0|0|0.0|100
0|2020-05-11|45.0|0|45.0|0|2.0|0|0.0|100
0|2020-05-12|45.0|0|45.0|0|2.0|0|0.0|100
0|2020-05-13|46.0|0|46.0|0|2.0|0|0.0|100
