|dates|Suffolk_Massachusetts_UnitedStates.JHU_ConfirmedCases.data|Suffolk_Massachusetts_UnitedStates.JHU_ConfirmedCases.missing|Suffolk_Massachusetts_UnitedStates.NYT_ConfirmedCases.data|Suffolk_Massachusetts_UnitedStates.NYT_ConfirmedCases.missing|Suffolk_Massachusetts_UnitedStates.JHU_ConfirmedDeaths.data|Suffolk_Massachusetts_UnitedStates.JHU_ConfirmedDeaths.missing|Suffolk_Massachusetts_UnitedStates.JHU_ConfirmedRecoveries.data|Suffolk_Massachusetts_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-02|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-03|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-04|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-05|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-06|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-07|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-08|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-09|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-10|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-11|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-12|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-13|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-14|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-15|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-16|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-17|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-18|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-19|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-20|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-21|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-22|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-23|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-24|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-25|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-26|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-27|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-28|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-29|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-01|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-02|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-03|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-04|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-05|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-06|3.0|0|4.0|0|0.0|0|0.0|100
0|2020-03-07|3.0|0|4.0|0|0.0|0|0.0|100
0|2020-03-08|8.0|0|9.0|0|0.0|0|0.0|100
0|2020-03-09|8.0|0|10.0|0|0.0|0|0.0|100
0|2020-03-10|10.0|0|20.0|0|0.0|0|0.0|100
0|2020-03-11|20.0|0|20.0|0|0.0|0|0.0|100
0|2020-03-12|22.0|0|22.0|0|0.0|0|0.0|100
0|2020-03-13|26.0|0|26.0|0|0.0|0|0.0|100
0|2020-03-14|27.0|0|27.0|0|0.0|0|0.0|100
0|2020-03-15|27.0|0|31.0|0|0.0|0|0.0|100
0|2020-03-16|36.0|0|42.0|0|0.0|0|0.0|100
0|2020-03-17|42.0|0|42.0|0|0.0|0|0.0|100
0|2020-03-18|51.0|0|51.0|0|0.0|0|0.0|100
0|2020-03-19|72.0|0|72.0|0|0.0|0|0.0|100
0|2020-03-20|86.0|0|87.0|0|1.0|0|0.0|100
0|2020-03-21|108.0|0|108.0|0|1.0|0|0.0|100
0|2020-03-22|126.0|0|126.0|0|1.0|0|0.0|100
0|2020-03-23|154.0|0|154.0|0|1.0|0|0.0|100
0|2020-03-24|234.0|0|234.0|0|1.0|0|0.0|100
0|2020-03-25|342.0|0|342.0|0|1.0|0|0.0|100
0|2020-03-26|448.0|0|448.0|0|2.0|0|0.0|100
0|2020-03-27|631.0|0|631.0|0|2.0|0|0.0|100
0|2020-03-28|843.0|0|843.0|0|3.0|0|0.0|100
0|2020-03-29|940.0|0|940.0|0|3.0|0|0.0|100
0|2020-03-30|1115.0|0|1115.0|0|5.0|0|0.0|100
0|2020-03-31|1373.0|0|1373.0|0|6.0|0|0.0|100
0|2020-04-01|1624.0|0|1624.0|0|13.0|0|0.0|100
0|2020-04-02|1896.0|0|1896.0|0|19.0|0|0.0|100
0|2020-04-03|2183.0|0|2183.0|0|21.0|0|0.0|100
0|2020-04-04|2429.0|0|2429.0|0|26.0|0|0.0|100
0|2020-04-05|2658.0|0|2658.0|0|27.0|0|0.0|100
0|2020-04-06|2929.0|0|2929.0|0|31.0|0|0.0|100
0|2020-04-07|3245.0|0|3245.0|0|40.0|0|0.0|100
0|2020-04-08|3600.0|0|3600.0|0|48.0|0|0.0|100
0|2020-04-09|4041.0|0|4041.0|0|48.0|0|0.0|100
0|2020-04-10|4534.0|0|4534.0|0|48.0|0|0.0|100
0|2020-04-11|4926.0|0|4926.0|0|79.0|0|0.0|100
0|2020-04-12|5359.0|0|5359.0|0|86.0|0|0.0|100
0|2020-04-13|5579.0|0|5579.0|0|86.0|0|0.0|100
0|2020-04-14|5872.0|0|5872.0|0|86.0|0|0.0|100
0|2020-04-15|6279.0|0|6279.0|0|145.0|0|0.0|100
0|2020-04-16|6820.0|0|6820.0|0|145.0|0|0.0|100
0|2020-04-17|7272.0|0|7272.0|0|164.0|0|0.0|100
0|2020-04-18|7696.0|0|7696.0|0|188.0|0|0.0|100
0|2020-04-19|8074.0|0|8074.0|0|236.0|0|0.0|100
0|2020-04-20|8074.0|0|8314.0|0|236.0|0|0.0|100
0|2020-04-21|8669.0|0|8669.0|0|285.0|0|0.0|100
0|2020-04-22|9060.0|0|9060.0|0|285.0|0|0.0|100
0|2020-04-23|9739.0|0|9739.0|0|285.0|0|0.0|100
0|2020-04-24|10724.0|0|10724.0|0|285.0|0|0.0|100
0|2020-04-25|11218.0|0|11218.0|0|391.0|0|0.0|100
0|2020-04-26|11543.0|0|11543.0|0|391.0|0|0.0|100
0|2020-04-27|11883.0|0|11883.0|0|448.0|0|0.0|100
0|2020-04-28|12140.0|0|12140.0|0|469.0|0|0.0|100
0|2020-04-29|12539.0|0|12539.0|0|504.0|0|0.0|100
0|2020-04-30|12890.0|0|12890.0|0|524.0|0|0.0|100
0|2020-05-01|13295.0|0|13295.0|0|550.0|0|0.0|100
0|2020-05-02|13606.0|0|13606.0|0|569.0|0|0.0|100
0|2020-05-03|13777.0|0|13777.0|0|588.0|0|0.0|100
0|2020-05-04|13941.0|0|13941.0|0|596.0|0|0.0|100
0|2020-05-05|14173.0|0|14173.0|0|609.0|0|0.0|100
0|2020-05-06|14476.0|0|14476.0|0|642.0|0|0.0|100
0|2020-05-07|14732.0|0|14732.0|0|663.0|0|0.0|100
0|2020-05-08|14944.0|0|14944.0|0|683.0|0|0.0|100
0|2020-05-09|15119.0|0|15119.0|0|703.0|0|0.0|100
0|2020-05-10|15279.0|0|15279.0|0|718.0|0|0.0|100
