|dates|Howard_Maryland_UnitedStates.JHU_ConfirmedCases.data|Howard_Maryland_UnitedStates.JHU_ConfirmedCases.missing|Howard_Maryland_UnitedStates.NYT_ConfirmedCases.data|Howard_Maryland_UnitedStates.NYT_ConfirmedCases.missing|Howard_Maryland_UnitedStates.JHU_ConfirmedDeaths.data|Howard_Maryland_UnitedStates.JHU_ConfirmedDeaths.missing|Howard_Maryland_UnitedStates.JHU_ConfirmedRecoveries.data|Howard_Maryland_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-15|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-16|4.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-17|4.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-18|8.0|0|8.0|0|0.0|0|0.0|100
0|2020-03-19|16.0|0|16.0|0|0.0|0|0.0|100
0|2020-03-20|18.0|0|18.0|0|0.0|0|0.0|100
0|2020-03-21|19.0|0|19.0|0|0.0|0|0.0|100
0|2020-03-22|24.0|0|24.0|0|0.0|0|0.0|100
0|2020-03-23|26.0|0|26.0|0|0.0|0|0.0|100
0|2020-03-24|30.0|0|30.0|0|0.0|0|0.0|100
0|2020-03-25|35.0|0|35.0|0|0.0|0|0.0|100
0|2020-03-26|49.0|0|49.0|0|0.0|0|0.0|100
0|2020-03-27|62.0|0|62.0|0|0.0|0|0.0|100
0|2020-03-28|73.0|0|73.0|0|0.0|0|0.0|100
0|2020-03-29|81.0|0|81.0|0|0.0|0|0.0|100
0|2020-03-30|96.0|0|96.0|0|1.0|0|0.0|100
0|2020-03-31|117.0|0|117.0|0|2.0|0|0.0|100
0|2020-04-01|142.0|0|142.0|0|2.0|0|0.0|100
0|2020-04-02|152.0|0|152.0|0|2.0|0|0.0|100
0|2020-04-03|166.0|0|166.0|0|2.0|0|0.0|100
0|2020-04-04|180.0|0|180.0|0|3.0|0|0.0|100
0|2020-04-05|199.0|0|199.0|0|3.0|0|0.0|100
0|2020-04-06|214.0|0|214.0|0|3.0|0|0.0|100
0|2020-04-07|236.0|0|236.0|0|3.0|0|0.0|100
0|2020-04-08|274.0|0|274.0|0|3.0|0|0.0|100
0|2020-04-09|299.0|0|299.0|0|5.0|0|0.0|100
0|2020-04-10|319.0|0|319.0|0|5.0|0|0.0|100
0|2020-04-11|351.0|0|351.0|0|6.0|0|0.0|100
0|2020-04-12|371.0|0|371.0|0|6.0|0|0.0|100
0|2020-04-13|386.0|0|386.0|0|8.0|0|0.0|100
0|2020-04-14|403.0|0|403.0|0|9.0|0|0.0|100
0|2020-04-15|424.0|0|425.0|0|9.0|0|0.0|100
0|2020-04-16|451.0|0|452.0|0|10.0|0|0.0|100
0|2020-04-17|475.0|0|476.0|0|10.0|0|0.0|100
0|2020-04-18|508.0|0|510.0|0|12.0|0|0.0|100
0|2020-04-19|515.0|0|516.0|0|12.0|0|0.0|100
0|2020-04-20|538.0|0|539.0|0|13.0|0|0.0|100
0|2020-04-21|565.0|0|566.0|0|13.0|0|0.0|100
0|2020-04-22|592.0|0|593.0|0|14.0|0|0.0|100
0|2020-04-23|618.0|0|619.0|0|15.0|0|0.0|100
0|2020-04-24|618.0|0|643.0|0|15.0|0|0.0|100
0|2020-04-25|686.0|0|687.0|0|16.0|0|0.0|100
0|2020-04-26|707.0|0|708.0|0|16.0|0|0.0|100
0|2020-04-27|778.0|0|779.0|0|17.0|0|0.0|100
0|2020-04-28|802.0|0|803.0|0|18.0|0|0.0|100
0|2020-04-29|831.0|0|832.0|0|19.0|0|0.0|100
0|2020-04-30|867.0|0|867.0|0|19.0|0|0.0|100
0|2020-05-01|896.0|0|897.0|0|19.0|0|0.0|100
0|2020-05-02|931.0|0|932.0|0|20.0|0|0.0|100
0|2020-05-03|969.0|0|970.0|0|20.0|0|0.0|100
0|2020-05-04|992.0|0|993.0|0|22.0|0|0.0|100
0|2020-05-05|1010.0|0|1011.0|0|23.0|0|0.0|100
0|2020-05-06|1061.0|0|1062.0|0|25.0|0|0.0|100
0|2020-05-07|1098.0|0|1099.0|0|27.0|0|0.0|100
0|2020-05-08|1138.0|0|1139.0|0|27.0|0|0.0|100
0|2020-05-09|1170.0|0|1171.0|0|29.0|0|0.0|100
0|2020-05-10|1205.0|0|1206.0|0|29.0|0|0.0|100
0|2020-05-11|1223.0|0|1224.0|0|31.0|0|0.0|100
0|2020-05-12|1234.0|0|1235.0|0|35.0|0|0.0|100
0|2020-05-13|1258.0|0|1260.0|0|38.0|0|0.0|100
