|dates|Fresno_California_UnitedStates.JHU_ConfirmedCases.data|Fresno_California_UnitedStates.JHU_ConfirmedCases.missing|Fresno_California_UnitedStates.NYT_ConfirmedCases.data|Fresno_California_UnitedStates.NYT_ConfirmedCases.missing|Fresno_California_UnitedStates.JHU_ConfirmedDeaths.data|Fresno_California_UnitedStates.JHU_ConfirmedDeaths.missing|Fresno_California_UnitedStates.JHU_ConfirmedRecoveries.data|Fresno_California_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-07|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-08|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-09|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-10|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-11|2.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-12|2.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-13|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-14|1.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-15|1.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-16|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-17|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-18|2.0|0|4.0|0|0.0|0|0.0|100
0|2020-03-19|3.0|0|4.0|0|0.0|0|0.0|100
0|2020-03-20|6.0|0|10.0|0|0.0|0|0.0|100
0|2020-03-21|6.0|0|10.0|0|0.0|0|0.0|100
0|2020-03-22|6.0|0|10.0|0|0.0|0|0.0|100
0|2020-03-23|6.0|0|13.0|0|0.0|0|0.0|100
0|2020-03-24|13.0|0|18.0|0|0.0|0|0.0|100
0|2020-03-25|18.0|0|19.0|0|0.0|0|0.0|100
0|2020-03-26|19.0|0|27.0|0|0.0|0|0.0|100
0|2020-03-27|27.0|0|31.0|0|0.0|0|0.0|100
0|2020-03-28|31.0|0|43.0|0|0.0|0|0.0|100
0|2020-03-29|43.0|0|43.0|0|0.0|0|0.0|100
0|2020-03-30|43.0|0|53.0|0|0.0|0|0.0|100
0|2020-03-31|53.0|0|68.0|0|0.0|0|0.0|100
0|2020-04-01|68.0|0|82.0|0|0.0|0|0.0|100
0|2020-04-02|82.0|0|94.0|0|0.0|0|0.0|100
0|2020-04-03|94.0|0|100.0|0|0.0|0|0.0|100
0|2020-04-04|100.0|0|103.0|0|1.0|0|0.0|100
0|2020-04-05|103.0|0|108.0|0|1.0|0|0.0|100
0|2020-04-06|108.0|0|124.0|0|1.0|0|0.0|100
0|2020-04-07|124.0|0|146.0|0|2.0|0|0.0|100
0|2020-04-08|146.0|0|156.0|0|3.0|0|0.0|100
0|2020-04-09|156.0|0|173.0|0|3.0|0|0.0|100
0|2020-04-10|173.0|0|191.0|0|3.0|0|0.0|100
0|2020-04-11|191.0|0|201.0|0|5.0|0|0.0|100
0|2020-04-12|201.0|0|201.0|0|5.0|0|0.0|100
0|2020-04-13|201.0|0|222.0|0|5.0|0|0.0|100
0|2020-04-14|222.0|0|222.0|0|5.0|0|0.0|100
0|2020-04-15|251.0|0|265.0|0|7.0|0|0.0|100
0|2020-04-16|265.0|0|295.0|0|7.0|0|0.0|100
0|2020-04-17|295.0|0|311.0|0|7.0|0|0.0|100
0|2020-04-18|311.0|0|315.0|0|7.0|0|0.0|100
0|2020-04-19|315.0|0|315.0|0|7.0|0|0.0|100
0|2020-04-20|315.0|0|351.0|0|7.0|0|0.0|100
0|2020-04-21|351.0|0|371.0|0|7.0|0|0.0|100
0|2020-04-22|371.0|0|384.0|0|7.0|0|0.0|100
0|2020-04-23|419.0|0|419.0|0|7.0|0|0.0|100
0|2020-04-24|443.0|0|443.0|0|7.0|0|0.0|100
0|2020-04-25|443.0|0|458.0|0|7.0|0|0.0|100
0|2020-04-26|458.0|0|458.0|0|7.0|0|0.0|100
0|2020-04-27|458.0|0|498.0|0|7.0|0|0.0|100
0|2020-04-28|498.0|0|521.0|0|7.0|0|0.0|100
0|2020-04-29|538.0|0|538.0|0|7.0|0|0.0|100
0|2020-04-30|538.0|0|564.0|0|7.0|0|0.0|100
0|2020-05-01|615.0|0|615.0|0|8.0|0|0.0|100
0|2020-05-02|615.0|0|633.0|0|8.0|0|0.0|100
0|2020-05-03|633.0|0|633.0|0|8.0|0|0.0|100
0|2020-05-04|633.0|0|672.0|0|8.0|0|0.0|100
0|2020-05-05|672.0|0|724.0|0|9.0|0|0.0|100
0|2020-05-06|777.0|0|777.0|0|9.0|0|0.0|100
0|2020-05-07|777.0|0|813.0|0|9.0|0|0.0|100
0|2020-05-08|813.0|0|841.0|0|9.0|0|0.0|100
0|2020-05-09|841.0|0|885.0|0|9.0|0|0.0|100
0|2020-05-10|885.0|0|885.0|0|9.0|0|0.0|100
0|2020-05-11|945.0|0|945.0|0|9.0|0|0.0|100
0|2020-05-12|984.0|0|984.0|0|10.0|0|0.0|100
0|2020-05-13|984.0|0|1014.0|0|10.0|0|0.0|100
0|2020-05-14|1074.0|0|1074.0|0|13.0|0|0.0|100
