|dates|Dougherty_Georgia_UnitedStates.JHU_ConfirmedCases.data|Dougherty_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Dougherty_Georgia_UnitedStates.NYT_ConfirmedCases.data|Dougherty_Georgia_UnitedStates.NYT_ConfirmedCases.missing|Dougherty_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Dougherty_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Dougherty_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Dougherty_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-14|7.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-15|6.0|0|6.0|0|0.0|0|0.0|100
0|2020-03-16|6.0|0|6.0|0|0.0|0|0.0|100
0|2020-03-17|6.0|0|6.0|0|0.0|0|0.0|100
0|2020-03-18|7.0|0|7.0|0|2.0|0|0.0|100
0|2020-03-19|20.0|0|22.0|0|2.0|0|0.0|100
0|2020-03-20|44.0|0|45.0|0|4.0|0|0.0|100
0|2020-03-21|47.0|0|47.0|0|6.0|0|0.0|100
0|2020-03-22|52.0|0|52.0|0|6.0|0|0.0|100
0|2020-03-23|64.0|0|69.0|0|6.0|0|0.0|100
0|2020-03-24|90.0|0|101.0|0|6.0|0|0.0|100
0|2020-03-25|109.0|0|123.0|0|6.0|0|0.0|100
0|2020-03-26|156.0|0|164.0|0|6.0|0|0.0|100
0|2020-03-27|193.0|0|203.0|0|12.0|0|0.0|100
0|2020-03-28|205.0|0|224.0|0|13.0|0|0.0|100
0|2020-03-29|239.0|0|247.0|0|17.0|0|0.0|100
0|2020-03-30|267.0|0|278.0|0|17.0|0|0.0|100
0|2020-03-31|462.0|0|466.0|0|18.0|0|0.0|100
0|2020-04-01|480.0|0|490.0|0|27.0|0|0.0|100
0|2020-04-02|507.0|0|521.0|0|29.0|0|0.0|100
0|2020-04-03|560.0|0|607.0|0|30.0|0|0.0|100
0|2020-04-04|636.0|0|685.0|0|30.0|0|0.0|100
0|2020-04-05|686.0|0|688.0|0|30.0|0|0.0|100
0|2020-04-06|716.0|0|722.0|0|31.0|0|0.0|100
0|2020-04-07|939.0|0|973.0|0|52.0|0|0.0|100
0|2020-04-08|986.0|0|1001.0|0|61.0|0|0.0|100
0|2020-04-09|1020.0|0|1042.0|0|62.0|0|0.0|100
0|2020-04-10|1062.0|0|1072.0|0|67.0|0|0.0|100
0|2020-04-11|1076.0|0|1102.0|0|69.0|0|0.0|100
0|2020-04-12|1154.0|0|1178.0|0|72.0|0|0.0|100
0|2020-04-13|1217.0|0|1245.0|0|77.0|0|0.0|100
0|2020-04-14|1297.0|0|1297.0|0|78.0|0|0.0|100
0|2020-04-15|1308.0|0|1320.0|0|83.0|0|0.0|100
0|2020-04-16|1338.0|0|1358.0|0|83.0|0|0.0|100
0|2020-04-17|1381.0|0|1385.0|0|91.0|0|0.0|100
0|2020-04-18|1406.0|0|1409.0|0|91.0|0|0.0|100
0|2020-04-19|1422.0|0|1425.0|0|94.0|0|0.0|100
0|2020-04-20|1436.0|0|1436.0|0|98.0|0|0.0|100
0|2020-04-21|1446.0|0|1456.0|0|103.0|0|0.0|100
0|2020-04-22|1479.0|0|1479.0|0|107.0|0|0.0|100
0|2020-04-23|1478.0|0|1478.0|0|109.0|0|0.0|100
0|2020-04-24|1465.0|0|1465.0|0|108.0|0|0.0|100
0|2020-04-25|1470.0|0|1470.0|0|108.0|0|0.0|100
0|2020-04-26|1470.0|0|1470.0|0|108.0|0|0.0|100
0|2020-04-27|1480.0|0|1480.0|0|114.0|0|0.0|100
0|2020-04-28|1491.0|0|1493.0|0|118.0|0|0.0|100
0|2020-04-29|1499.0|0|1500.0|0|120.0|0|0.0|100
0|2020-04-30|1505.0|0|1506.0|0|120.0|0|0.0|100
0|2020-05-01|1530.0|0|1531.0|0|123.0|0|0.0|100
0|2020-05-02|1534.0|0|1534.0|0|124.0|0|0.0|100
0|2020-05-03|1536.0|0|1536.0|0|124.0|0|0.0|100
0|2020-05-04|1543.0|0|1543.0|0|125.0|0|0.0|100
0|2020-05-05|1550.0|0|1550.0|0|126.0|0|0.0|100
0|2020-05-06|1555.0|0|1555.0|0|126.0|0|0.0|100
0|2020-05-07|1566.0|0|1566.0|0|126.0|0|0.0|100
0|2020-05-08|1583.0|0|1583.0|0|126.0|0|0.0|100
0|2020-05-09|1587.0|0|1587.0|0|126.0|0|0.0|100
0|2020-05-10|1593.0|0|1593.0|0|126.0|0|0.0|100
0|2020-05-11|1609.0|0|1609.0|0|128.0|0|0.0|100
