|dates|Dunn_NorthDakota_UnitedStates.BLS_EmployedPopulation.data|Dunn_NorthDakota_UnitedStates.BLS_EmployedPopulation.missing|Dunn_NorthDakota_UnitedStates.BLS_UnemployedPopulation.data|Dunn_NorthDakota_UnitedStates.BLS_UnemployedPopulation.missing|Dunn_NorthDakota_UnitedStates.BLS_UnemploymentRate.data|Dunn_NorthDakota_UnitedStates.BLS_UnemploymentRate.missing|Dunn_NorthDakota_UnitedStates.BLS_LaborForcePopulation.data|Dunn_NorthDakota_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|3139.5|0|49.5|0|1.5522107243650047|0|3189.0|0
0|2020-01-02|3139.5|0|49.5|0|1.5522107243650047|0|3189.0|0
0|2020-01-03|3139.5|0|49.5|0|1.5522107243650047|0|3189.0|0
0|2020-01-04|3139.5|0|49.5|0|1.5522107243650047|0|3189.0|0
0|2020-01-05|3139.5|0|49.5|0|1.5522107243650047|0|3189.0|0
0|2020-01-06|3139.5|0|49.5|0|1.5522107243650047|0|3189.0|0
0|2020-01-07|3139.5|0|49.5|0|1.5522107243650047|0|3189.0|0
0|2020-01-08|3139.5|0|49.5|0|1.5522107243650047|0|3189.0|0
0|2020-01-09|3139.5|0|49.5|0|1.5522107243650047|0|3189.0|0
0|2020-01-10|3139.5|0|49.5|0|1.5522107243650047|0|3189.0|0
0|2020-01-11|3139.5|0|49.5|0|1.5522107243650047|0|3189.0|0
0|2020-01-12|3139.5|0|49.5|0|1.5522107243650047|0|3189.0|0
0|2020-01-13|3139.5|0|49.5|0|1.5522107243650047|0|3189.0|0
0|2020-01-14|3139.5|0|49.5|0|1.5522107243650047|0|3189.0|0
0|2020-01-15|3139.5|0|49.5|0|1.5522107243650047|0|3189.0|0
0|2020-01-16|3139.5|0|49.5|0|1.5522107243650047|0|3189.0|0
0|2020-01-17|3139.5|0|49.5|0|1.5522107243650047|0|3189.0|0
0|2020-01-18|3139.5|0|49.5|0|1.5522107243650047|0|3189.0|0
0|2020-01-19|3139.5|0|49.5|0|1.5522107243650047|0|3189.0|0
0|2020-01-20|3139.5|0|49.5|0|1.5522107243650047|0|3189.0|0
0|2020-01-21|3139.5|0|49.5|0|1.5522107243650047|0|3189.0|0
0|2020-01-22|3139.5|0|49.5|0|1.5522107243650047|0|3189.0|0
0|2020-01-23|3139.5|0|49.5|0|1.5522107243650047|0|3189.0|0
0|2020-01-24|3139.5|0|49.5|0|1.5522107243650047|0|3189.0|0
0|2020-01-25|3139.5|0|49.5|0|1.5522107243650047|0|3189.0|0
