|dates|Loudoun_Virginia_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Loudoun_Virginia_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Loudoun_Virginia_UnitedStates.Male_Total_Population.data|Loudoun_Virginia_UnitedStates.Male_Total_Population.missing|Loudoun_Virginia_UnitedStates.Female_Total_Population.data|Loudoun_Virginia_UnitedStates.Female_Total_Population.missing|Loudoun_Virginia_UnitedStates.MaleAndFemale_Under18_Population.data|Loudoun_Virginia_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-01-02|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-01-03|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-01-04|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-01-05|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-01-06|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-01-07|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-01-08|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-01-09|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-01-10|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-01-11|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-01-12|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-01-13|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-01-14|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-01-15|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-01-16|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-01-17|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-01-18|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-01-19|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-01-20|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-01-21|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-01-22|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-01-23|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-01-24|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-01-25|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-01-26|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-01-27|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-01-28|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-01-29|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-01-30|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-01-31|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-02-01|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-02-02|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-02-03|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-02-04|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-02-05|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-02-06|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-02-07|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-02-08|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-02-09|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-02-10|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-02-11|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-02-12|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-02-13|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-02-14|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-02-15|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-02-16|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-02-17|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-02-18|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-02-19|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-02-20|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-02-21|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-02-22|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-02-23|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-02-24|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-02-25|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-02-26|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-02-27|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-02-28|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-02-29|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-03-01|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-03-02|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-03-03|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-03-04|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-03-05|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-03-06|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-03-07|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-03-08|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-03-09|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-03-10|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-03-11|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-03-12|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-03-13|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-03-14|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-03-15|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-03-16|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-03-17|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-03-18|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-03-19|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-03-20|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-03-21|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-03-22|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-03-23|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-03-24|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-03-25|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-03-26|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-03-27|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-03-28|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-03-29|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-03-30|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-03-31|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-04-01|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-04-02|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-04-03|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-04-04|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-04-05|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-04-06|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-04-07|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-04-08|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-04-09|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-04-10|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-04-11|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-04-12|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-04-13|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-04-14|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-04-15|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-04-16|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-04-17|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-04-18|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-04-19|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-04-20|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-04-21|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-04-22|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-04-23|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-04-24|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-04-25|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-04-26|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-04-27|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-04-28|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-04-29|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-04-30|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-05-01|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-05-02|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-05-03|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-05-04|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-05-05|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-05-06|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-05-07|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-05-08|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-05-09|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-05-10|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-05-11|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-05-12|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-05-13|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-05-14|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-05-15|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-05-16|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-05-17|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-05-18|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-05-19|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-05-20|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-05-21|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-05-22|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-05-23|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-05-24|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-05-25|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-05-26|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-05-27|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-05-28|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-05-29|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-05-30|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-05-31|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-06-01|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-06-02|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-06-03|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-06-04|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-06-05|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-06-06|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-06-07|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-06-08|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-06-09|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-06-10|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-06-11|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-06-12|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-06-13|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-06-14|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-06-15|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-06-16|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-06-17|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-06-18|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-06-19|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-06-20|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-06-21|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-06-22|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-06-23|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-06-24|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-06-25|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-06-26|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-06-27|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-06-28|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-06-29|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-06-30|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-07-01|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-07-02|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-07-03|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-07-04|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-07-05|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-07-06|37802.0|0|201469.0|0|205381.0|0|115028.0|0
