|dates|Morgan_Alabama_UnitedStates.JHU_ConfirmedCases.data|Morgan_Alabama_UnitedStates.JHU_ConfirmedCases.missing|Morgan_Alabama_UnitedStates.NYT_ConfirmedCases.data|Morgan_Alabama_UnitedStates.NYT_ConfirmedCases.missing|Morgan_Alabama_UnitedStates.JHU_ConfirmedDeaths.data|Morgan_Alabama_UnitedStates.JHU_ConfirmedDeaths.missing|Morgan_Alabama_UnitedStates.JHU_ConfirmedRecoveries.data|Morgan_Alabama_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-24|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-25|5.0|0|5.0|0|0.0|0|0.0|100
0|2020-03-26|9.0|0|9.0|0|0.0|0|0.0|100
0|2020-03-27|9.0|0|13.0|0|0.0|0|0.0|100
0|2020-03-28|15.0|0|15.0|0|0.0|0|0.0|100
0|2020-03-29|17.0|0|17.0|0|0.0|0|0.0|100
0|2020-03-30|17.0|0|19.0|0|0.0|0|0.0|100
0|2020-03-31|20.0|0|20.0|0|0.0|0|0.0|100
0|2020-04-01|19.0|0|20.0|0|0.0|0|0.0|100
0|2020-04-02|21.0|0|22.0|0|0.0|0|0.0|100
0|2020-04-03|24.0|0|24.0|0|0.0|0|0.0|100
0|2020-04-04|24.0|0|24.0|0|0.0|0|0.0|100
0|2020-04-05|27.0|0|27.0|0|0.0|0|0.0|100
0|2020-04-06|29.0|0|30.0|0|0.0|0|0.0|100
0|2020-04-07|30.0|0|31.0|0|0.0|0|0.0|100
0|2020-04-08|31.0|0|34.0|0|0.0|0|0.0|100
0|2020-04-09|36.0|0|36.0|0|0.0|0|0.0|100
0|2020-04-10|36.0|0|36.0|0|0.0|0|0.0|100
0|2020-04-11|37.0|0|37.0|0|0.0|0|0.0|100
0|2020-04-12|38.0|0|39.0|0|0.0|0|0.0|100
0|2020-04-13|42.0|0|41.0|0|0.0|0|0.0|100
0|2020-04-14|41.0|0|41.0|0|0.0|0|0.0|100
0|2020-04-15|42.0|0|44.0|0|0.0|0|0.0|100
0|2020-04-16|44.0|0|44.0|0|0.0|0|0.0|100
0|2020-04-17|46.0|0|47.0|0|0.0|0|0.0|100
0|2020-04-18|45.0|0|45.0|0|0.0|0|0.0|100
0|2020-04-19|47.0|0|47.0|0|0.0|0|0.0|100
0|2020-04-20|48.0|0|48.0|0|0.0|0|0.0|100
0|2020-04-21|51.0|0|51.0|0|0.0|0|0.0|100
0|2020-04-22|52.0|0|50.0|0|0.0|0|0.0|100
0|2020-04-23|50.0|0|50.0|0|0.0|0|0.0|100
0|2020-04-24|55.0|0|55.0|0|0.0|0|0.0|100
0|2020-04-25|55.0|0|57.0|0|0.0|0|0.0|100
0|2020-04-26|64.0|0|64.0|0|0.0|0|0.0|100
0|2020-04-27|65.0|0|65.0|0|0.0|0|0.0|100
0|2020-04-28|68.0|0|68.0|0|0.0|0|0.0|100
0|2020-04-29|68.0|0|67.0|0|0.0|0|0.0|100
0|2020-04-30|68.0|0|68.0|0|0.0|0|0.0|100
0|2020-05-01|71.0|0|71.0|0|0.0|0|0.0|100
0|2020-05-02|73.0|0|73.0|0|0.0|0|0.0|100
0|2020-05-03|74.0|0|74.0|0|0.0|0|0.0|100
0|2020-05-04|76.0|0|76.0|0|0.0|0|0.0|100
0|2020-05-05|78.0|0|78.0|0|0.0|0|0.0|100
0|2020-05-06|81.0|0|81.0|0|0.0|0|0.0|100
0|2020-05-07|84.0|0|84.0|0|0.0|0|0.0|100
0|2020-05-08|87.0|0|87.0|0|0.0|0|0.0|100
0|2020-05-09|92.0|0|92.0|0|0.0|0|0.0|100
0|2020-05-10|93.0|0|93.0|0|0.0|0|0.0|100
0|2020-05-11|95.0|0|95.0|0|0.0|0|0.0|100
0|2020-05-12|98.0|0|98.0|0|1.0|0|0.0|100
0|2020-05-13|99.0|0|99.0|0|1.0|0|0.0|100
