|dates|Madison_Alabama_UnitedStates.JHU_ConfirmedCases.data|Madison_Alabama_UnitedStates.JHU_ConfirmedCases.missing|Madison_Alabama_UnitedStates.NYT_ConfirmedCases.data|Madison_Alabama_UnitedStates.NYT_ConfirmedCases.missing|Madison_Alabama_UnitedStates.JHU_ConfirmedDeaths.data|Madison_Alabama_UnitedStates.JHU_ConfirmedDeaths.missing|Madison_Alabama_UnitedStates.JHU_ConfirmedRecoveries.data|Madison_Alabama_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-14|1.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-17|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-18|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-19|5.0|0|5.0|0|0.0|0|0.0|100
0|2020-03-20|7.0|0|7.0|0|0.0|0|0.0|100
0|2020-03-21|9.0|0|9.0|0|0.0|0|0.0|100
0|2020-03-22|16.0|0|16.0|0|0.0|0|0.0|100
0|2020-03-23|21.0|0|21.0|0|0.0|0|0.0|100
0|2020-03-24|21.0|0|21.0|0|0.0|0|0.0|100
0|2020-03-25|35.0|0|35.0|0|0.0|0|0.0|100
0|2020-03-26|43.0|0|43.0|0|0.0|0|0.0|100
0|2020-03-27|47.0|0|61.0|0|1.0|0|0.0|100
0|2020-03-28|62.0|0|62.0|0|1.0|0|0.0|100
0|2020-03-29|79.0|0|80.0|0|1.0|0|0.0|100
0|2020-03-30|91.0|0|96.0|0|1.0|0|0.0|100
0|2020-03-31|99.0|0|100.0|0|1.0|0|0.0|100
0|2020-04-01|105.0|0|107.0|0|1.0|0|0.0|100
0|2020-04-02|114.0|0|116.0|0|1.0|0|0.0|100
0|2020-04-03|121.0|0|123.0|0|1.0|0|0.0|100
0|2020-04-04|125.0|0|126.0|0|1.0|0|0.0|100
0|2020-04-05|134.0|0|137.0|0|1.0|0|0.0|100
0|2020-04-06|141.0|0|141.0|0|2.0|0|0.0|100
0|2020-04-07|150.0|0|150.0|0|2.0|0|0.0|100
0|2020-04-08|153.0|0|165.0|0|2.0|0|0.0|100
0|2020-04-09|173.0|0|177.0|0|3.0|0|0.0|100
0|2020-04-10|178.0|0|177.0|0|3.0|0|0.0|100
0|2020-04-11|186.0|0|186.0|0|3.0|0|0.0|100
0|2020-04-12|187.0|0|187.0|0|3.0|0|0.0|100
0|2020-04-13|187.0|0|188.0|0|3.0|0|0.0|100
0|2020-04-14|191.0|0|191.0|0|3.0|0|0.0|100
0|2020-04-15|191.0|0|194.0|0|3.0|0|0.0|100
0|2020-04-16|198.0|0|198.0|0|4.0|0|0.0|100
0|2020-04-17|217.0|0|216.0|0|4.0|0|0.0|100
0|2020-04-18|197.0|0|197.0|0|4.0|0|0.0|100
0|2020-04-19|199.0|0|199.0|0|4.0|0|0.0|100
0|2020-04-20|202.0|0|202.0|0|4.0|0|0.0|100
0|2020-04-21|203.0|0|203.0|0|4.0|0|0.0|100
0|2020-04-22|205.0|0|205.0|0|4.0|0|0.0|100
0|2020-04-23|205.0|0|205.0|0|4.0|0|0.0|100
0|2020-04-24|202.0|0|202.0|0|4.0|0|0.0|100
0|2020-04-25|202.0|0|210.0|0|4.0|0|0.0|100
0|2020-04-26|211.0|0|211.0|0|4.0|0|0.0|100
0|2020-04-27|214.0|0|214.0|0|4.0|0|0.0|100
0|2020-04-28|222.0|0|222.0|0|4.0|0|0.0|100
0|2020-04-29|224.0|0|224.0|0|4.0|0|0.0|100
0|2020-04-30|227.0|0|227.0|0|4.0|0|0.0|100
0|2020-05-01|225.0|0|225.0|0|4.0|0|0.0|100
0|2020-05-02|233.0|0|233.0|0|4.0|0|0.0|100
0|2020-05-03|234.0|0|234.0|0|4.0|0|0.0|100
0|2020-05-04|237.0|0|237.0|0|4.0|0|0.0|100
0|2020-05-05|238.0|0|238.0|0|4.0|0|0.0|100
0|2020-05-06|238.0|0|238.0|0|4.0|0|0.0|100
0|2020-05-07|241.0|0|241.0|0|4.0|0|0.0|100
0|2020-05-08|244.0|0|244.0|0|4.0|0|0.0|100
0|2020-05-09|247.0|0|247.0|0|4.0|0|0.0|100
0|2020-05-10|247.0|0|247.0|0|4.0|0|0.0|100
0|2020-05-11|250.0|0|250.0|0|4.0|0|0.0|100
0|2020-05-12|255.0|0|255.0|0|4.0|0|0.0|100
0|2020-05-13|259.0|0|259.0|0|4.0|0|0.0|100
