|dates|Swift_Minnesota_UnitedStates.BLS_EmployedPopulation.data|Swift_Minnesota_UnitedStates.BLS_EmployedPopulation.missing|Swift_Minnesota_UnitedStates.BLS_UnemployedPopulation.data|Swift_Minnesota_UnitedStates.BLS_UnemployedPopulation.missing|Swift_Minnesota_UnitedStates.BLS_UnemploymentRate.data|Swift_Minnesota_UnitedStates.BLS_UnemploymentRate.missing|Swift_Minnesota_UnitedStates.BLS_LaborForcePopulation.data|Swift_Minnesota_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-12-10|4684.0|0|287.0|0|5.773486220076443|0|4971.0|0
0|2020-12-11|4684.0|0|287.0|0|5.773486220076443|0|4971.0|0
0|2020-12-12|4684.0|0|287.0|0|5.773486220076443|0|4971.0|0
0|2020-12-13|4684.0|0|287.0|0|5.773486220076443|0|4971.0|0
0|2020-12-14|4684.0|0|287.0|0|5.773486220076443|0|4971.0|0
0|2020-12-15|4684.0|0|287.0|0|5.773486220076443|0|4971.0|0
0|2020-12-16|4684.0|0|287.0|0|5.773486220076443|0|4971.0|0
0|2020-12-17|4684.0|0|287.0|0|5.773486220076443|0|4971.0|0
0|2020-12-18|4684.0|0|287.0|0|5.773486220076443|0|4971.0|0
0|2020-12-19|4684.0|0|287.0|0|5.773486220076443|0|4971.0|0
0|2020-12-20|4684.0|0|287.0|0|5.773486220076443|0|4971.0|0
0|2020-12-21|4684.0|0|287.0|0|5.773486220076443|0|4971.0|0
0|2020-12-22|4684.0|0|287.0|0|5.773486220076443|0|4971.0|0
0|2020-12-23|4684.0|0|287.0|0|5.773486220076443|0|4971.0|0
0|2020-12-24|4684.0|0|287.0|0|5.773486220076443|0|4971.0|0
0|2020-12-25|4684.0|0|287.0|0|5.773486220076443|0|4971.0|0
0|2020-12-26|4684.0|0|287.0|0|5.773486220076443|0|4971.0|0
0|2020-12-27|4684.0|0|287.0|0|5.773486220076443|0|4971.0|0
0|2020-12-28|4684.0|0|287.0|0|5.773486220076443|0|4971.0|0
0|2020-12-29|4684.0|0|287.0|0|5.773486220076443|0|4971.0|0
0|2020-12-30|4684.0|0|287.0|0|5.773486220076443|0|4971.0|0
0|2020-12-31|4684.0|0|287.0|0|5.773486220076443|0|4971.0|0
0|2021-01-01|4338.0|0|287.0|0|6.205405405405405|0|4625.0|0
0|2021-01-02|4338.0|0|287.0|0|6.205405405405405|0|4625.0|0
0|2021-01-03|4338.0|0|287.0|0|6.205405405405405|0|4625.0|0
0|2021-01-04|4338.0|0|287.0|0|6.205405405405405|0|4625.0|0
0|2021-01-05|4338.0|0|287.0|0|6.205405405405405|0|4625.0|0
0|2021-01-06|4338.0|0|287.0|0|6.205405405405405|0|4625.0|0
0|2021-01-07|4338.0|0|287.0|0|6.205405405405405|0|4625.0|0
0|2021-01-08|4338.0|0|287.0|0|6.205405405405405|0|4625.0|0
0|2021-01-09|4338.0|0|287.0|0|6.205405405405405|0|4625.0|0
0|2021-01-10|4338.0|0|287.0|0|6.205405405405405|0|4625.0|0
0|2021-01-11|4338.0|0|287.0|0|6.205405405405405|0|4625.0|0
0|2021-01-12|4338.0|0|287.0|0|6.205405405405405|0|4625.0|0
0|2021-01-13|4338.0|0|287.0|0|6.205405405405405|0|4625.0|0
0|2021-01-14|4338.0|0|287.0|0|6.205405405405405|0|4625.0|0
0|2021-01-15|4338.0|0|287.0|0|6.205405405405405|0|4625.0|0
0|2021-01-16|4338.0|0|287.0|0|6.205405405405405|0|4625.0|0
0|2021-01-17|4338.0|0|287.0|0|6.205405405405405|0|4625.0|0
0|2021-01-18|4338.0|0|287.0|0|6.205405405405405|0|4625.0|0
0|2021-01-19|4338.0|0|287.0|0|6.205405405405405|0|4625.0|0
0|2021-01-20|4338.0|0|287.0|0|6.205405405405405|0|4625.0|0
0|2021-01-21|4338.0|0|287.0|0|6.205405405405405|0|4625.0|0
0|2021-01-22|4338.0|0|287.0|0|6.205405405405405|0|4625.0|0
0|2021-01-23|4338.0|0|287.0|0|6.205405405405405|0|4625.0|0
0|2021-01-24|4338.0|0|287.0|0|6.205405405405405|0|4625.0|0
0|2021-01-25|4338.0|0|287.0|0|6.205405405405405|0|4625.0|0
0|2021-01-26|4338.0|0|287.0|0|6.205405405405405|0|4625.0|0
0|2021-01-27|4338.0|0|287.0|0|6.205405405405405|0|4625.0|0
0|2021-01-28|4338.0|0|287.0|0|6.205405405405405|0|4625.0|0
0|2021-01-29|4338.0|0|287.0|0|6.205405405405405|0|4625.0|0
0|2021-01-30|4338.0|0|287.0|0|6.205405405405405|0|4625.0|0
0|2021-01-31|4338.0|0|287.0|0|6.205405405405405|0|4625.0|0
0|2021-02-01|4342.0|0|272.0|0|5.895101863892501|0|4614.0|0
0|2021-02-02|4342.0|0|272.0|0|5.895101863892501|0|4614.0|0
0|2021-02-03|4342.0|0|272.0|0|5.895101863892501|0|4614.0|0
0|2021-02-04|4342.0|0|272.0|0|5.895101863892501|0|4614.0|0
0|2021-02-05|4342.0|0|272.0|0|5.895101863892501|0|4614.0|0
0|2021-02-06|4342.0|0|272.0|0|5.895101863892501|0|4614.0|0
0|2021-02-07|4342.0|0|272.0|0|5.895101863892501|0|4614.0|0
0|2021-02-08|4342.0|0|272.0|0|5.895101863892501|0|4614.0|0
0|2021-02-09|4342.0|0|272.0|0|5.895101863892501|0|4614.0|0
0|2021-02-10|4342.0|0|272.0|0|5.895101863892501|0|4614.0|0
0|2021-02-11|4342.0|0|272.0|0|5.895101863892501|0|4614.0|0
0|2021-02-12|4342.0|0|272.0|0|5.895101863892501|0|4614.0|0
0|2021-02-13|4342.0|0|272.0|0|5.895101863892501|0|4614.0|0
0|2021-02-14|4342.0|0|272.0|0|5.895101863892501|0|4614.0|0
0|2021-02-15|4342.0|0|272.0|0|5.895101863892501|0|4614.0|0
0|2021-02-16|4342.0|0|272.0|0|5.895101863892501|0|4614.0|0
0|2021-02-17|4342.0|0|272.0|0|5.895101863892501|0|4614.0|0
0|2021-02-18|4342.0|0|272.0|0|5.895101863892501|0|4614.0|0
0|2021-02-19|4342.0|0|272.0|0|5.895101863892501|0|4614.0|0
0|2021-02-20|4342.0|0|272.0|0|5.895101863892501|0|4614.0|0
0|2021-02-21|4342.0|0|272.0|0|5.895101863892501|0|4614.0|0
0|2021-02-22|4342.0|0|272.0|0|5.895101863892501|0|4614.0|0
0|2021-02-23|4342.0|0|272.0|0|5.895101863892501|0|4614.0|0
0|2021-02-24|4342.0|0|272.0|0|5.895101863892501|0|4614.0|0
0|2021-02-25|4342.0|0|272.0|0|5.895101863892501|0|4614.0|0
0|2021-02-26|4342.0|0|272.0|0|5.895101863892501|0|4614.0|0
0|2021-02-27|4342.0|0|272.0|0|5.895101863892501|0|4614.0|0
0|2021-02-28|4342.0|0|272.0|0|5.895101863892501|0|4614.0|0
0|2021-03-01|4235.0|0|250.0|0|5.574136008918618|0|4485.0|0
0|2021-03-02|4235.0|0|250.0|0|5.574136008918618|0|4485.0|0
0|2021-03-03|4235.0|0|250.0|0|5.574136008918618|0|4485.0|0
0|2021-03-04|4235.0|0|250.0|0|5.574136008918618|0|4485.0|0
0|2021-03-05|4235.0|0|250.0|0|5.574136008918618|0|4485.0|0
0|2021-03-06|4235.0|0|250.0|0|5.574136008918618|0|4485.0|0
0|2021-03-07|4235.0|0|250.0|0|5.574136008918618|0|4485.0|0
0|2021-03-08|4235.0|0|250.0|0|5.574136008918618|0|4485.0|0
0|2021-03-09|4235.0|0|250.0|0|5.574136008918618|0|4485.0|0
0|2021-03-10|4235.0|0|250.0|0|5.574136008918618|0|4485.0|0
0|2021-03-11|4235.0|0|250.0|0|5.574136008918618|0|4485.0|0
0|2021-03-12|4235.0|0|250.0|0|5.574136008918618|0|4485.0|0
0|2021-03-13|4235.0|0|250.0|0|5.574136008918618|0|4485.0|0
0|2021-03-14|4235.0|0|250.0|0|5.574136008918618|0|4485.0|0
0|2021-03-15|4235.0|0|250.0|0|5.574136008918618|0|4485.0|0
0|2021-03-16|4235.0|0|250.0|0|5.574136008918618|0|4485.0|0
0|2021-03-17|4235.0|0|250.0|0|5.574136008918618|0|4485.0|0
0|2021-03-18|4235.0|0|250.0|0|5.574136008918618|0|4485.0|0
0|2021-03-19|4235.0|0|250.0|0|5.574136008918618|0|4485.0|0
0|2021-03-20|4235.0|0|250.0|0|5.574136008918618|0|4485.0|0
0|2021-03-21|4235.0|0|250.0|0|5.574136008918618|0|4485.0|0
0|2021-03-22|4235.0|0|250.0|0|5.574136008918618|0|4485.0|0
0|2021-03-23|4235.0|0|250.0|0|5.574136008918618|0|4485.0|0
0|2021-03-24|4235.0|0|250.0|0|5.574136008918618|0|4485.0|0
0|2021-03-25|4235.0|0|250.0|0|5.574136008918618|0|4485.0|0
0|2021-03-26|4235.0|0|250.0|0|5.574136008918618|0|4485.0|0
0|2021-03-27|4235.0|0|250.0|0|5.574136008918618|0|4485.0|0
0|2021-03-28|4235.0|0|250.0|0|5.574136008918618|0|4485.0|0
0|2021-03-29|4235.0|0|250.0|0|5.574136008918618|0|4485.0|0
0|2021-03-30|4235.0|0|250.0|0|5.574136008918618|0|4485.0|0
0|2021-03-31|4235.0|0|250.0|0|5.574136008918618|0|4485.0|0
0|2021-04-01|4301.0|0|201.0|0|4.464682363394047|0|4502.0|0
0|2021-04-02|4301.0|0|201.0|0|4.464682363394047|0|4502.0|0
0|2021-04-03|4301.0|0|201.0|0|4.464682363394047|0|4502.0|0
0|2021-04-04|4301.0|0|201.0|0|4.464682363394047|0|4502.0|0
0|2021-04-05|4301.0|0|201.0|0|4.464682363394047|0|4502.0|0
0|2021-04-06|4301.0|0|201.0|0|4.464682363394047|0|4502.0|0
0|2021-04-07|4301.0|0|201.0|0|4.464682363394047|0|4502.0|0
0|2021-04-08|4301.0|0|201.0|0|4.464682363394047|0|4502.0|0
0|2021-04-09|4301.0|0|201.0|0|4.464682363394047|0|4502.0|0
0|2021-04-10|4301.0|0|201.0|0|4.464682363394047|0|4502.0|0
0|2021-04-11|4301.0|0|201.0|0|4.464682363394047|0|4502.0|0
0|2021-04-12|4301.0|0|201.0|0|4.464682363394047|0|4502.0|0
0|2021-04-13|4301.0|0|201.0|0|4.464682363394047|0|4502.0|0
0|2021-04-14|4301.0|0|201.0|0|4.464682363394047|0|4502.0|0
0|2021-04-15|4301.0|0|201.0|0|4.464682363394047|0|4502.0|0
0|2021-04-16|4301.0|0|201.0|0|4.464682363394047|0|4502.0|0
0|2021-04-17|4301.0|0|201.0|0|4.464682363394047|0|4502.0|0
0|2021-04-18|4301.0|0|201.0|0|4.464682363394047|0|4502.0|0
0|2021-04-19|4301.0|0|201.0|0|4.464682363394047|0|4502.0|0
0|2021-04-20|4301.0|0|201.0|0|4.464682363394047|0|4502.0|0
0|2021-04-21|4301.0|0|201.0|0|4.464682363394047|0|4502.0|0
0|2021-04-22|4301.0|0|201.0|0|4.464682363394047|0|4502.0|0
0|2021-04-23|4301.0|0|201.0|0|4.464682363394047|0|4502.0|0
0|2021-04-24|4301.0|0|201.0|0|4.464682363394047|0|4502.0|0
0|2021-04-25|4301.0|0|201.0|0|4.464682363394047|0|4502.0|0
0|2021-04-26|4301.0|0|201.0|0|4.464682363394047|0|4502.0|0
0|2021-04-27|4301.0|0|201.0|0|4.464682363394047|0|4502.0|0
0|2021-04-28|4301.0|0|201.0|0|4.464682363394047|0|4502.0|0
0|2021-04-29|4301.0|0|201.0|0|4.464682363394047|0|4502.0|0
0|2021-04-30|4301.0|0|201.0|0|4.464682363394047|0|4502.0|0
0|2021-05-01|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-05-02|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-05-03|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-05-04|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-05-05|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-05-06|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-05-07|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-05-08|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-05-09|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-05-10|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-05-11|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-05-12|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-05-13|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-05-14|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-05-15|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-05-16|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-05-17|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-05-18|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-05-19|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-05-20|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-05-21|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-05-22|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-05-23|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-05-24|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-05-25|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-05-26|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-05-27|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-05-28|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-05-29|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-05-30|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-05-31|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-06-01|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-06-02|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-06-03|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-06-04|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-06-05|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-06-06|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-06-07|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-06-08|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-06-09|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-06-10|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-06-11|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-06-12|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-06-13|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-06-14|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-06-15|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-06-16|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-06-17|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-06-18|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-06-19|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-06-20|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-06-21|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-06-22|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-06-23|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-06-24|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-06-25|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-06-26|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-06-27|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-06-28|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-06-29|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-06-30|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-07-01|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-07-02|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-07-03|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-07-04|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-07-05|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-07-06|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-07-07|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-07-08|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-07-09|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-07-10|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-07-11|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-07-12|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-07-13|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-07-14|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-07-15|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-07-16|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-07-17|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-07-18|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-07-19|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-07-20|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-07-21|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-07-22|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-07-23|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-07-24|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-07-25|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-07-26|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-07-27|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-07-28|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-07-29|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-07-30|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-07-31|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-08-01|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-08-02|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-08-03|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-08-04|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-08-05|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-08-06|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-08-07|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-08-08|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-08-09|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-08-10|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-08-11|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-08-12|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-08-13|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-08-14|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-08-15|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-08-16|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-08-17|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-08-18|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-08-19|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-08-20|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-08-21|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-08-22|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-08-23|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-08-24|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-08-25|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-08-26|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-08-27|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-08-28|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-08-29|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-08-30|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-08-31|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-09-01|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-09-02|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-09-03|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-09-04|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-09-05|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-09-06|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-09-07|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-09-08|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-09-09|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-09-10|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-09-11|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-09-12|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-09-13|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-09-14|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-09-15|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-09-16|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-09-17|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-09-18|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-09-19|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-09-20|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-09-21|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-09-22|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-09-23|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-09-24|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-09-25|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-09-26|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-09-27|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-09-28|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-09-29|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-09-30|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-10-01|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-10-02|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-10-03|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-10-04|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-10-05|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-10-06|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-10-07|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-10-08|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-10-09|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-10-10|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-10-11|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-10-12|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-10-13|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-10-14|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
0|2021-10-15|4414.0|0|156.0|0|3.413566739606127|0|4570.0|0
