|dates|Litchfield_Connecticut_UnitedStates.JHU_ConfirmedCases.data|Litchfield_Connecticut_UnitedStates.JHU_ConfirmedCases.missing|Litchfield_Connecticut_UnitedStates.NYT_ConfirmedCases.data|Litchfield_Connecticut_UnitedStates.NYT_ConfirmedCases.missing|Litchfield_Connecticut_UnitedStates.JHU_ConfirmedDeaths.data|Litchfield_Connecticut_UnitedStates.JHU_ConfirmedDeaths.missing|Litchfield_Connecticut_UnitedStates.JHU_ConfirmedRecoveries.data|Litchfield_Connecticut_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-11|1.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-12|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-13|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-14|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-15|3.0|0|4.0|0|0.0|0|0.0|100
0|2020-03-16|4.0|0|4.0|0|0.0|0|0.0|100
0|2020-03-17|5.0|0|5.0|0|0.0|0|0.0|100
0|2020-03-18|5.0|0|5.0|0|0.0|0|0.0|100
0|2020-03-19|7.0|0|7.0|0|0.0|0|0.0|100
0|2020-03-20|8.0|0|8.0|0|0.0|0|0.0|100
0|2020-03-21|8.0|0|11.0|0|0.0|0|0.0|100
0|2020-03-22|12.0|0|12.0|0|0.0|0|0.0|100
0|2020-03-23|13.0|0|13.0|0|0.0|0|0.0|100
0|2020-03-24|22.0|0|22.0|0|0.0|0|0.0|100
0|2020-03-25|33.0|0|33.0|0|0.0|0|0.0|100
0|2020-03-26|44.0|0|44.0|0|0.0|0|0.0|100
0|2020-03-27|52.0|0|52.0|0|0.0|0|0.0|100
0|2020-03-28|65.0|0|65.0|0|0.0|0|0.0|100
0|2020-03-29|87.0|0|87.0|0|0.0|0|0.0|100
0|2020-03-30|113.0|0|113.0|0|1.0|0|0.0|100
0|2020-03-31|121.0|0|121.0|0|1.0|0|0.0|100
0|2020-04-01|131.0|0|131.0|0|1.0|0|0.0|100
0|2020-04-02|141.0|0|141.0|0|2.0|0|0.0|100
0|2020-04-03|173.0|0|173.0|0|4.0|0|0.0|100
0|2020-04-04|182.0|0|182.0|0|5.0|0|0.0|100
0|2020-04-05|197.0|0|197.0|0|6.0|0|0.0|100
0|2020-04-06|230.0|0|230.0|0|8.0|0|0.0|100
0|2020-04-07|255.0|0|255.0|0|9.0|0|0.0|100
0|2020-04-08|255.0|0|292.0|0|9.0|0|0.0|100
0|2020-04-09|315.0|0|315.0|0|13.0|0|0.0|100
0|2020-04-10|346.0|0|346.0|0|16.0|0|0.0|100
0|2020-04-11|388.0|0|388.0|0|20.0|0|0.0|100
0|2020-04-12|403.0|0|403.0|0|24.0|0|0.0|100
0|2020-04-13|446.0|0|446.0|0|24.0|0|0.0|100
0|2020-04-14|460.0|0|460.0|0|29.0|0|0.0|100
0|2020-04-15|490.0|0|490.0|0|35.0|0|0.0|100
0|2020-04-16|535.0|0|535.0|0|44.0|0|0.0|100
0|2020-04-17|569.0|0|569.0|0|46.0|0|0.0|100
0|2020-04-18|593.0|0|593.0|0|48.0|0|0.0|100
0|2020-04-19|600.0|0|600.0|0|48.0|0|0.0|100
0|2020-04-20|639.0|0|639.0|0|58.0|0|0.0|100
0|2020-04-21|643.0|0|643.0|0|59.0|0|0.0|100
0|2020-04-22|722.0|0|722.0|0|63.0|0|0.0|100
0|2020-04-23|751.0|0|751.0|0|66.0|0|0.0|100
0|2020-04-24|808.0|0|808.0|0|69.0|0|0.0|100
0|2020-04-25|834.0|0|834.0|0|73.0|0|0.0|100
0|2020-04-26|864.0|0|864.0|0|74.0|0|0.0|100
0|2020-04-27|892.0|0|892.0|0|75.0|0|0.0|100
0|2020-04-28|900.0|0|900.0|0|76.0|0|0.0|100
0|2020-04-29|919.0|0|919.0|0|79.0|0|0.0|100
0|2020-04-30|963.0|0|963.0|0|80.0|0|0.0|100
0|2020-05-01|1014.0|0|1014.0|0|86.0|0|0.0|100
0|2020-05-02|1036.0|0|1036.0|0|89.0|0|0.0|100
0|2020-05-03|1036.0|0|1036.0|0|89.0|0|0.0|100
0|2020-05-04|1047.0|0|1047.0|0|94.0|0|0.0|100
0|2020-05-05|1065.0|0|1065.0|0|95.0|0|0.0|100
0|2020-05-06|1085.0|0|1085.0|0|100.0|0|0.0|100
0|2020-05-07|1114.0|0|1114.0|0|104.0|0|0.0|100
0|2020-05-08|1130.0|0|1130.0|0|103.0|0|0.0|100
0|2020-05-09|1142.0|0|1142.0|0|105.0|0|0.0|100
0|2020-05-10|1153.0|0|1153.0|0|107.0|0|0.0|100
0|2020-05-11|1161.0|0|1161.0|0|109.0|0|0.0|100
0|2020-05-12|1171.0|0|1171.0|0|110.0|0|0.0|100
