|dates|St.Louis_Minnesota_UnitedStates.JHU_ConfirmedCases.data|St.Louis_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|St.Louis_Minnesota_UnitedStates.NYT_ConfirmedCases.data|St.Louis_Minnesota_UnitedStates.NYT_ConfirmedCases.missing|St.Louis_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|St.Louis_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|St.Louis_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|St.Louis_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-21|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-22|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-23|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-24|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-25|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-26|5.0|0|5.0|0|0.0|0|0.0|100
0|2020-03-27|5.0|0|5.0|0|0.0|0|0.0|100
0|2020-03-28|5.0|0|5.0|0|0.0|0|0.0|100
0|2020-03-29|10.0|0|10.0|0|0.0|0|0.0|100
0|2020-03-30|12.0|0|12.0|0|0.0|0|0.0|100
0|2020-03-31|12.0|0|12.0|0|0.0|0|0.0|100
0|2020-04-01|13.0|0|13.0|0|0.0|0|0.0|100
0|2020-04-02|13.0|0|13.0|0|0.0|0|0.0|100
0|2020-04-03|13.0|0|13.0|0|0.0|0|0.0|100
0|2020-04-04|13.0|0|13.0|0|0.0|0|0.0|100
0|2020-04-05|15.0|0|15.0|0|0.0|0|0.0|100
0|2020-04-06|16.0|0|16.0|0|0.0|0|0.0|100
0|2020-04-07|17.0|0|17.0|0|0.0|0|0.0|100
0|2020-04-08|28.0|0|28.0|0|0.0|0|0.0|100
0|2020-04-09|33.0|0|33.0|0|1.0|0|0.0|100
0|2020-04-10|34.0|0|34.0|0|4.0|0|0.0|100
0|2020-04-11|37.0|0|37.0|0|4.0|0|0.0|100
0|2020-04-12|38.0|0|38.0|0|5.0|0|0.0|100
0|2020-04-13|38.0|0|38.0|0|5.0|0|0.0|100
0|2020-04-14|42.0|0|42.0|0|5.0|0|0.0|100
0|2020-04-15|43.0|0|43.0|0|6.0|0|0.0|100
0|2020-04-16|43.0|0|44.0|0|6.0|0|0.0|100
0|2020-04-17|45.0|0|45.0|0|7.0|0|0.0|100
0|2020-04-18|46.0|0|46.0|0|8.0|0|0.0|100
0|2020-04-19|48.0|0|48.0|0|9.0|0|0.0|100
0|2020-04-20|52.0|0|52.0|0|10.0|0|0.0|100
0|2020-04-21|53.0|0|53.0|0|10.0|0|0.0|100
0|2020-04-22|54.0|0|54.0|0|10.0|0|0.0|100
0|2020-04-23|58.0|0|58.0|0|10.0|0|0.0|100
0|2020-04-24|59.0|0|59.0|0|10.0|0|0.0|100
0|2020-04-25|61.0|0|61.0|0|10.0|0|0.0|100
0|2020-04-26|61.0|0|63.0|0|10.0|0|0.0|100
0|2020-04-27|67.0|0|67.0|0|10.0|0|0.0|100
0|2020-04-28|69.0|0|69.0|0|11.0|0|0.0|100
0|2020-04-29|71.0|0|71.0|0|11.0|0|0.0|100
0|2020-04-30|71.0|0|71.0|0|11.0|0|0.0|100
0|2020-05-01|73.0|0|73.0|0|11.0|0|0.0|100
0|2020-05-02|74.0|0|74.0|0|11.0|0|0.0|100
0|2020-05-03|75.0|0|75.0|0|11.0|0|0.0|100
0|2020-05-04|79.0|0|79.0|0|11.0|0|0.0|100
0|2020-05-05|81.0|0|81.0|0|11.0|0|0.0|100
0|2020-05-06|86.0|0|86.0|0|11.0|0|0.0|100
0|2020-05-07|89.0|0|89.0|0|11.0|0|0.0|100
0|2020-05-08|90.0|0|90.0|0|12.0|0|0.0|100
0|2020-05-09|91.0|0|91.0|0|12.0|0|0.0|100
0|2020-05-10|92.0|0|92.0|0|12.0|0|0.0|100
0|2020-05-11|96.0|0|96.0|0|12.0|0|0.0|100
0|2020-05-12|96.0|0|96.0|0|12.0|0|0.0|100
0|2020-05-13|99.0|0|96.0|0|12.0|0|0.0|100
