|dates|Kankakee_Illinois_UnitedStates.JHU_ConfirmedCases.data|Kankakee_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Kankakee_Illinois_UnitedStates.NYT_ConfirmedCases.data|Kankakee_Illinois_UnitedStates.NYT_ConfirmedCases.missing|Kankakee_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Kankakee_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Kankakee_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Kankakee_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-18|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-19|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-20|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-21|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-22|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-23|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-24|4.0|0|4.0|0|0.0|0|0.0|100
0|2020-03-25|6.0|0|6.0|0|0.0|0|0.0|100
0|2020-03-26|6.0|0|15.0|0|0.0|0|0.0|100
0|2020-03-27|17.0|0|17.0|0|0.0|0|0.0|100
0|2020-03-28|27.0|0|27.0|0|0.0|0|0.0|100
0|2020-03-29|33.0|0|38.0|0|0.0|0|0.0|100
0|2020-03-30|33.0|0|38.0|0|0.0|0|0.0|100
0|2020-03-31|42.0|0|47.0|0|0.0|0|0.0|100
0|2020-04-01|51.0|0|57.0|0|0.0|0|0.0|100
0|2020-04-02|55.0|0|59.0|0|0.0|0|0.0|100
0|2020-04-03|58.0|0|68.0|0|2.0|0|0.0|100
0|2020-04-04|68.0|0|74.0|0|3.0|0|0.0|100
0|2020-04-05|76.0|0|76.0|0|4.0|0|0.0|100
0|2020-04-06|85.0|0|90.0|0|4.0|0|0.0|100
0|2020-04-07|85.0|0|128.0|0|4.0|0|0.0|100
0|2020-04-08|145.0|0|145.0|0|5.0|0|0.0|100
0|2020-04-09|145.0|0|156.0|0|5.0|0|0.0|100
0|2020-04-10|167.0|0|167.0|0|7.0|0|0.0|100
0|2020-04-11|185.0|0|185.0|0|9.0|0|0.0|100
0|2020-04-12|204.0|0|204.0|0|9.0|0|0.0|100
0|2020-04-13|210.0|0|210.0|0|9.0|0|0.0|100
0|2020-04-14|220.0|0|228.0|0|10.0|0|0.0|100
0|2020-04-15|226.0|0|228.0|0|10.0|0|0.0|100
0|2020-04-16|252.0|0|252.0|0|10.0|0|0.0|100
0|2020-04-17|260.0|0|260.0|0|10.0|0|0.0|100
0|2020-04-18|272.0|0|272.0|0|12.0|0|0.0|100
0|2020-04-19|275.0|0|275.0|0|12.0|0|0.0|100
0|2020-04-20|278.0|0|278.0|0|12.0|0|0.0|100
0|2020-04-21|278.0|0|278.0|0|13.0|0|0.0|100
0|2020-04-22|285.0|0|285.0|0|14.0|0|0.0|100
0|2020-04-23|289.0|0|289.0|0|19.0|0|0.0|100
0|2020-04-24|297.0|0|297.0|0|21.0|0|0.0|100
0|2020-04-25|299.0|0|299.0|0|23.0|0|0.0|100
0|2020-04-26|304.0|0|304.0|0|23.0|0|0.0|100
0|2020-04-27|309.0|0|309.0|0|23.0|0|0.0|100
0|2020-04-28|313.0|0|313.0|0|24.0|0|0.0|100
0|2020-04-29|326.0|0|326.0|0|25.0|0|0.0|100
0|2020-04-30|338.0|0|338.0|0|25.0|0|0.0|100
0|2020-05-01|350.0|0|350.0|0|25.0|0|0.0|100
0|2020-05-02|358.0|0|358.0|0|26.0|0|0.0|100
0|2020-05-03|358.0|0|358.0|0|26.0|0|0.0|100
0|2020-05-04|383.0|0|383.0|0|25.0|0|0.0|100
0|2020-05-05|393.0|0|393.0|0|27.0|0|0.0|100
0|2020-05-06|416.0|0|416.0|0|27.0|0|0.0|100
0|2020-05-07|428.0|0|428.0|0|28.0|0|0.0|100
0|2020-05-08|458.0|0|458.0|0|29.0|0|0.0|100
0|2020-05-09|479.0|0|479.0|0|29.0|0|0.0|100
0|2020-05-10|540.0|0|540.0|0|30.0|0|0.0|100
0|2020-05-11|557.0|0|753.0|0|30.0|0|0.0|100
0|2020-05-12|583.0|0|809.0|0|31.0|0|0.0|100
0|2020-05-13|607.0|0|835.0|0|31.0|0|0.0|100
